player,player_id,team_name,team_id,mins_played,goals,total_shots,assists,chances_created,total_pass,accurate_pass,expected_goals
Miguel Britos,52153,Watford,57,798,1,4,0,3,388,313,0.82
Mike van der Hoorn,97615,Swansea City,80,1949,1,10,0,5,858,655,0.97
Mikel Merino,195384,Newcastle United,4,1343,1,16,1,16,812,644,0.59
Mohamed Diamé,28147,Newcastle United,4,2043,2,20,0,13,816,665,1.37
Mohamed Elneny,153256,Arsenal,3,869,0,8,1,10,837,784,0.3
Mohamed Salah,118748,Liverpool,14,2921,32,144,10,62,946,726,24.34
Molla Wagué,103127,Watford,57,440,1,3,0,0,145,108,0.4
Morgan Schneiderlin,42774,Everton,11,2128,0,5,0,7,1130,948,0.39
Moritz Bauer,102366,Stoke City,110,1308,0,3,0,14,286,189,0.17
Moses Makasi,156660,West Ham United,21,0,0,0,0,0,0,0,0.0
Mousa Dembélé,39104,Tottenham Hotspur,6,1883,0,11,0,18,1422,1311,0.35
Moussa Sissoko,45268,Tottenham Hotspur,6,1394,1,19,1,27,869,726,2.25
Muhamed Besic,87447,Everton,11,46,0,0,0,1,28,27,0.0
N'Golo Kanté,116594,Chelsea,8,2998,1,25,1,41,2150,1919,0.77
Nacer Chadli,54908,West Bromwich Albion,35,216,1,4,0,2,69,53,0.18
Nacho Monreal,38411,Arsenal,3,2242,5,22,2,13,1719,1539,1.7
Nahki Wells,92383,Burnley,90,46,0,3,0,0,16,16,0.58
Nathan Aké,126184,Bournemouth,91,3353,2,18,3,9,1589,1333,1.43
Nathan Dyer,21083,Swansea City,80,1312,0,10,0,10,512,415,0.94
Nathan Ferguson,232423,West Bromwich Albion,35,0,0,0,0,0,0,0,0.0
Nathan Redmond,83283,Southampton,20,1947,1,44,3,42,799,613,2.18
Nathan Trott,232398,West Ham United,21,0,0,0,0,0,0,0,0.0
Nathaniel Chalobah,89085,Watford,57,447,0,12,0,1,182,132,0.86
Nathaniel Clyne,57328,Liverpool,14,174,0,2,0,1,104,83,0.13
Nemanja Matic,62398,Manchester United,1,3119,1,18,1,24,2601,2281,0.66
