Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Pass,2,6,22210,13,Successful,43.8,27.1,54.7,7.7,OpenPlay,False,False
Pass,2,8,342563,13,Successful,54.7,7.7,21.9,45.8,OpenPlay,False,False
Pass,2,13,102248,13,Successful,21.9,45.8,26.4,63.7,OpenPlay,False,False
Pass,2,16,288795,13,Successful,27.1,68.1,37.8,92.4,OpenPlay,False,False
Pass,2,19,144890,13,Successful,38.1,93.6,92.2,83.5,OpenPlay,False,False
Pass,2,23,297403,13,Successful,92.2,83.5,87.9,11.1,OpenPlay,False,False
Pass,2,30,255169,13,Successful,94.6,18.3,96.1,43,ShotAssist,False,False
MissedShots,2,32,239872,13,Successful,96.1,43.0,,,OpenPlay,False,False
Pass,3,0,39315,107,Unsuccessful,5.0,63.0,58.7,88.6,OpenPlay,False,False
Aerial,3,2,332558,107,Unsuccessful,58.1,86.7,,,OpenPlay,False,False
Aerial,3,2,80921,13,Successful,41.9,13.3,,,OpenPlay,False,False
Pass,3,2,80921,13,Successful,42.5,15.2,65.6,9.7,OpenPlay,False,False
BallRecovery,3,4,239872,13,Successful,65.6,9.7,,,OpenPlay,False,False
Dispossessed,3,7,239872,13,Successful,62.8,10.8,,,OpenPlay,False,False
Tackle,3,7,131079,107,Successful,37.2,89.2,,,OpenPlay,False,False
BallRecovery,3,9,302664,107,Successful,37.4,95.6,,,OpenPlay,False,False
Pass,3,10,302664,107,Successful,37.4,95.3,35.6,80.6,OpenPlay,False,False
Pass,3,12,112440,107,Unsuccessful,35.6,80.6,46.2,100,OpenPlay,False,False
Pass,3,23,255169,13,Successful,56.0,0.0,72.9,4.6,ThrowIn,False,False
BallTouch,3,24,380706,13,Unsuccessful,72.9,4.6,,,OpenPlay,False,False
Pass,3,31,302664,107,Successful,30.4,100.0,33.4,90.3,ThrowIn,False,False
Pass,3,32,112440,107,Successful,33.4,90.3,34.8,95.9,OpenPlay,False,False
Pass,3,33,302664,107,Successful,34.8,95.9,45.4,84.8,OpenPlay,False,False
Pass,3,34,131079,107,Successful,45.4,84.8,38,72.6,OpenPlay,False,False
Pass,3,37,344716,107,Successful,36.8,64.2,45,24.9,OpenPlay,False,False
Pass,3,43,96825,107,Successful,69.2,12.6,60.3,29.1,OpenPlay,False,False
Pass,3,46,344716,107,Successful,59.8,32.7,46.4,56.7,OpenPlay,False,False
