Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
Pass,5,36,392649,843,Successful,37.7,21.3,34.9,50.1,OpenPlay,False,False
Pass,5,37,289330,843,Successful,39.2,64.5,44.3,78.5,OpenPlay,False,False
Pass,5,38,244784,843,Successful,42.9,82.9,43.1,69.1,OpenPlay,False,False
Pass,5,40,24929,843,Successful,44.3,78.5,58.3,64.5,OpenPlay,False,False
Pass,5,42,357900,843,Successful,58.3,64.5,44.7,77.5,OpenPlay,False,False
Pass,5,43,24929,843,Successful,56.9,81.1,64.6,97.1,OpenPlay,False,False
Pass,5,45,244784,843,Unsuccessful,67.0,95.6,71.9,84.8,OpenPlay,False,False
Interception,5,47,144890,13,Successful,28.4,11.1,,,OpenPlay,False,False
BallRecovery,5,48,144890,13,Successful,27.2,3.2,,,OpenPlay,False,False
Pass,5,49,144890,13,Successful,27.2,3.2,34.6,9.1,OpenPlay,False,False
Pass,5,50,239872,13,Successful,34.5,7.4,23.8,5.5,OpenPlay,False,False
Pass,5,51,144890,13,Successful,23.7,5.5,24.9,27.4,OpenPlay,False,False
Pass,5,53,89401,13,Successful,24.9,27.4,1.2,41.9,OpenPlay,False,False
Pass,5,58,92173,13,Successful,2.7,47.6,3.8,66.6,OpenPlay,False,False
Pass,6,0,27586,13,Successful,4.9,58.8,20.1,7.9,OpenPlay,False,False
BallTouch,6,7,125211,13,Unsuccessful,22.8,5.6,,,OpenPlay,False,False
Pass,6,19,301455,843,Successful,66.7,100.0,38.6,84.7,ThrowIn,False,False
Pass,6,23,289330,843,Successful,37.4,78.1,14.8,49.4,OpenPlay,False,False
Pass,6,27,122714,843,Successful,18.7,45.5,28.7,28.5,OpenPlay,False,False
Pass,6,34,392649,843,Successful,44.9,20.1,54.1,2.8,OpenPlay,False,False
Pass,6,36,94936,843,Unsuccessful,54.2,3.2,56.8,4.7,OpenPlay,False,False
BlockedPass,6,36,44120,13,Successful,44.1,97.7,,,OpenPlay,False,False
Pass,6,41,94936,843,Successful,55.4,0.0,70.1,24.4,ThrowIn,False,False
Pass,6,49,70080,843,Successful,56.2,27.1,45.6,47.6,OpenPlay,False,False
Pass,6,51,102044,843,Successful,45.7,52.5,59,91.8,OpenPlay,False,False
Pass,6,55,24929,843,Successful,59.9,92.3,69.1,81.4,OpenPlay,False,False
Pass,6,56,357900,843,Successful,69.1,81.4,61.6,77,OpenPlay,False,False
Pass,6,59,24929,843,Successful,61.1,75.3,83.5,17.1,OpenPlay,False,False
Pass,7,6,377263,843,Unsuccessful,93.3,24.2,93.3,25.8,OpenPlay,False,False
Clearance,7,6,44120,13,Successful,6.6,75.6,6.6,75.6,OpenPlay,False,False
