Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
TakeOn,5,11,135891,23,Successful,95.3,19.5,,,OpenPlay,False,False
BallTouch,5,13,135891,23,Unsuccessful,98.0,19.2,,,OpenPlay,False,False
BallRecovery,5,15,367185,13,Successful,1.3,71.4,,,OpenPlay,False,False
Pass,5,17,367185,13,Successful,9.1,75.1,29.3,86.9,OpenPlay,False,False
Pass,5,20,345845,13,Successful,29.1,93.0,19.5,98,OpenPlay,False,False
Pass,5,21,44120,13,Successful,19.5,98.0,21.4,89.1,OpenPlay,False,False
Pass,5,24,367185,13,Successful,21.3,84.5,21.2,69.6,OpenPlay,False,False
Pass,5,26,144890,13,Successful,27.0,62.4,44.6,13.1,OpenPlay,False,False
Pass,5,36,239872,13,Successful,71.2,27.1,69.1,48.8,OpenPlay,False,False
Pass,5,38,89401,13,Successful,69.1,48.8,78.1,87.8,OpenPlay,False,False
Pass,5,42,44120,13,Unsuccessful,88.5,79.6,100,34.3,OpenPlay,False,False
OffsideGiven,6,,201755,23,Unsuccessful,61.4,26.8,,,OpenPlay,False,False
Pass,6,16,46092,23,Unsuccessful,5.1,49.9,52.7,65.2,OpenPlay,False,False
Aerial,6,18,201755,23,Unsuccessful,56.6,65.3,,,OpenPlay,False,False
Aerial,6,18,89401,13,Successful,43.4,34.7,,,OpenPlay,False,False
Pass,6,19,89401,13,Unsuccessful,39.4,34.6,60.8,34.9,OpenPlay,False,False
Pass,6,20,105171,23,Unsuccessful,41.6,68.8,43,68.8,OpenPlay,False,False
BlockedPass,6,20,345845,13,Successful,60.4,34.9,,,OpenPlay,False,False
Pass,6,22,105171,23,Successful,42.9,68.4,46.6,70.9,OpenPlay,False,False
Pass,6,24,137521,23,Successful,51.1,67.5,44.9,53.1,OpenPlay,False,False
Pass,6,25,342811,23,Successful,44.7,51.3,41.8,28.2,OpenPlay,False,False
Pass,6,29,44847,23,Successful,45.3,18.6,51.9,4.1,OpenPlay,False,False
Pass,6,30,114323,23,Successful,53.0,2.6,41.9,10.9,OpenPlay,False,False
