Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Assist,Assist_2nd
BallRecovery,2,25,279177,107,Successful,63.0,15.6,,,OpenPlay,False,False
Dispossessed,2,28,279177,107,Successful,61.8,4.4,,,OpenPlay,False,False
Tackle,2,28,342563,13,Successful,38.2,95.6,,,OpenPlay,False,False
BallTouch,2,29,342563,13,Unsuccessful,39.2,96.9,,,OpenPlay,False,False
Pass,2,40,96825,107,Successful,58.1,0.0,55.8,12.6,ThrowIn,False,False
Pass,2,41,322246,107,Successful,59.2,23.7,56.3,35.1,OpenPlay,False,False
Pass,2,43,293985,107,Successful,52.7,43.9,41.9,61.5,OpenPlay,False,False
Pass,2,49,369446,107,Successful,69.0,88.7,79.1,96.2,OpenPlay,False,False
Pass,2,50,124006,107,Successful,79.2,96.2,86.4,82.7,OpenPlay,False,False
Pass,2,53,332558,107,Successful,93.4,76.3,92.5,60.3,OpenPlay,False,False
BallTouch,2,55,382261,107,Unsuccessful,92.5,60.3,,,OpenPlay,False,False
Pass,3,8,102248,13,Successful,5.3,41.0,19.5,74.8,OpenPlay,False,False
Pass,3,10,288795,13,Successful,21.3,77.6,32.5,97.1,OpenPlay,False,False
Pass,3,11,297403,13,Successful,31.9,96.3,37.1,87.7,OpenPlay,False,False
Pass,3,13,363686,13,Successful,37.1,87.7,30.2,96.8,OpenPlay,False,False
Pass,3,15,297403,13,Successful,32.6,95.9,44.3,98.9,OpenPlay,False,False
Pass,3,17,380706,13,Successful,44.3,98.9,33,97.7,OpenPlay,False,False
Pass,3,19,297403,13,Successful,33.0,97.7,25.9,85.7,OpenPlay,False,False
Pass,3,21,342563,13,Successful,25.5,83.8,15.1,69.7,OpenPlay,False,False
Pass,3,22,288795,13,Successful,15.1,69.7,20.7,26.5,OpenPlay,False,False
Pass,3,25,80921,13,Successful,30.5,25.5,49.5,25.2,OpenPlay,False,False
BallTouch,3,27,255169,13,Unsuccessful,49.5,25.2,,,OpenPlay,False,False
BallRecovery,3,28,332558,107,Successful,63.7,60.3,,,OpenPlay,False,False
Challenge,3,29,255169,13,Unsuccessful,42.3,29.4,,,OpenPlay,False,False
TakeOn,3,29,332558,107,Successful,57.7,70.6,,,OpenPlay,False,False
Challenge,3,30,248109,13,Unsuccessful,41.5,31.4,,,OpenPlay,False,False
