eventId,expandedMinute,id,isTouch,minute,qualifiers,satisfiedEventsTypes,second,teamId,x,y,outcomeType_displayName,outcomeType_value,period_displayName,period_value,type_displayName,type_value,endX,endY,playerId,blockedX,blockedY,goalMouthY,goalMouthZ,isShot,relatedEventId,relatedPlayerId,cardType_displayName,cardType_value,isGoal,$idx,$len,field,satisfiers,text,minuteInfo_expandedMinute,minuteInfo_extraTime,minuteInfo_isEndOfPeriod,minuteInfo_minute,minuteInfo_minuteString,minuteInfo_period,type_$idx,type_$len,Assist
19.0,0,425693436.0,True,0,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '10.6'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '37.4'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '58.7'}]","[90, 116, 29, 35, 215, 217]",49.0,13,27.3,58.7,Successful,1,FirstHalf,1,Pass,1,37.4,58.7,30051.0,,,,,,,,,,,,,,,,,,,,,,,,
20.0,0,1255731175.0,True,0,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '43.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.9'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '9.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '40.8'}]","[90, 116, 29, 35, 37, 215, 217]",52.0,13,34.6,46.4,Successful,1,FirstHalf,1,Pass,1,43.0,40.8,4522.0,,,,,,,,,,,,,,,,,,,,,,,,
21.0,0,563750415.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '46.1'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '36.4'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '8.6'}]","[90, 116, 29, 34, 36, 215, 217]",54.0,13,44.1,41.6,Successful,1,FirstHalf,1,Pass,1,36.4,46.1,69738.0,,,,,,,,,,,,,,,,,,,,,,,,
22.0,0,10183338.0,True,0,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '4.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '38.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '28.2'}]","[90, 116, 29, 35, 37, 215, 217]",56.0,13,36.4,46.1,Successful,1,FirstHalf,1,Pass,1,38.2,4.7,4522.0,,,,,,,,,,,,,,,,,,,,,,,,
23.0,0,220099742.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '35.5'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '25.3'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '2.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '24.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}]","[90, 116, 29, 34, 36, 214, 217]",58.0,13,38.2,4.7,Successful,1,FirstHalf,1,Pass,1,24.6,35.5,125211.0,,,,,,,,,,,,,,,,,,,,,,,,
24.0,0,1263217351.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '67.0'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '21.5'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.5'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '26.6'}]","[90, 116, 29, 35, 36, 214, 217]",59.0,13,24.6,35.5,Successful,1,FirstHalf,1,Pass,1,26.6,67.0,6292.0,,,,,,,,,,,,,,,,,,,,,,,,
25.0,1,774138489.0,True,1,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '41.9'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '85.6'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '18.5'}]","[90, 116, 29, 35, 36, 215, 217]",1.0,13,27.7,69.4,Successful,1,FirstHalf,1,Pass,1,41.9,85.6,30051.0,,,,,,,,,,,,,,,,,,,,,,,,
26.0,1,265418278.0,True,1,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '25.7'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '17.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '72.7'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.5'}]","[90, 116, 29, 34, 37, 214, 217]",5.0,13,40.9,84.7,Successful,1,FirstHalf,1,Pass,1,17.7,72.7,23072.0,,,,,,,,,,,,,,,,,,,,,,,,
27.0,1,1814353293.0,True,1,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '58.8'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.8'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '5.1'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '16.3'}]","[90, 116, 29, 34, 37, 214, 217]",8.0,13,17.7,72.7,Successful,1,FirstHalf,1,Pass,1,5.1,58.8,30051.0,,,,,,,,,,,,,,,,,,,,,,,,
28.0,1,918065109.0,True,1,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '55.1'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '21.0'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.0'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '51.5'}]","[90, 118, 116, 126, 35, 37, 215, 217]",13.0,13,7.6,40.1,Successful,1,FirstHalf,1,Pass,1,55.1,21.0,6775.0,,,,,,,,,,,,,,,,,,,,,,,,
