eventId,expandedMinute,id,isTouch,minute,qualifiers,satisfiedEventsTypes,second,teamId,x,y,outcomeType_displayName,outcomeType_value,period_displayName,period_value,type_displayName,type_value,endX,endY,playerId,goalMouthY,goalMouthZ,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,cardType_displayName,cardType_value,isGoal,$idx,$len,field,satisfiers,text,minuteInfo_expandedMinute,minuteInfo_extraTime,minuteInfo_isEndOfPeriod,minuteInfo_minute,minuteInfo_minuteString,minuteInfo_period,type_$idx,type_$len,Assist
13.0,1,963957100.0,True,1,"[{'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.4'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '39.5'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '59.8'}, {'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '38.1'}]","[90, 118, 116, 138, 126, 35, 36, 215, 217]",12.0,167,26.3,18.0,Successful,1,FirstHalf,1,Pass,1,59.8,39.5,19471.0,,,,,,,,,,,,,,,,,,,,,,,,
14.0,1,1086460340.0,False,1,[],[92],15.0,167,60.9,43.0,Successful,1,FirstHalf,1,BallRecovery,49,,,14260.0,,,,,,,,,,,,,,,,,,,,,,,,
15.0,1,1202207404.0,True,1,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]","[90, 68]",18.0,167,59.8,63.1,Unsuccessful,0,FirstHalf,1,BallTouch,61,,,14260.0,,,,,,,,,,,,,,,,,,,,,,,,
855.0,1,1538979626.0,False,1,[],[92],19.0,13,40.4,34.0,Successful,1,FirstHalf,1,BallRecovery,49,,,30051.0,,,,,,,,,,,,,,,,,,,,,,,,
16.0,1,971600644.0,False,1,"[{'type': {'displayName': 'Defensive', 'value': 285}}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '22'}, {'type': {'displayName': 'Foul', 'value': 13}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]",[63],24.0,167,54.8,65.2,Unsuccessful,0,FirstHalf,1,Foul,4,,,12267.0,,,,,,,,,,,,,,,,,,,,,,,,
22.0,1,2044167967.0,False,1,"[{'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'OppositeRelatedEvent', 'value': 233}, 'value': '16'}, {'type': {'displayName': 'Foul', 'value': 13}}, {'type': {'displayName': 'Offensive', 'value': 286}}]",[62],24.0,13,45.2,34.8,Successful,1,FirstHalf,1,Foul,4,,,30051.0,,,,,,,,,,,,,,,,,,,,,,,,
23.0,1,997518480.0,True,1,"[{'type': {'displayName': 'Length', 'value': 212}, 'value': '33.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '5.4'}, {'type': {'displayName': 'FreekickTaken', 'value': 5}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.7'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '69.9'}]","[90, 118, 116, 126, 131, 204, 35, 37, 216, 217]",38.0,13,43.2,33.2,Successful,1,FirstHalf,1,Pass,1,69.9,5.4,6321.0,,,,,,,,,,,,,,,,,,,,,,,,
17.0,1,658712081.0,False,1,[],[61],44.0,167,15.0,70.3,Successful,1,FirstHalf,1,OffsideProvoked,55,,,19119.0,,,,,,,,,,,,,,,,,,,,,,,,
24.0,1,1836814376.0,True,1,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '23.6'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '85.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'PlayerCaughtOffside', 'value': 7}, 'value': '24444'}]","[90, 216]",44.0,13,80.0,12.0,Successful,1,FirstHalf,1,OffsidePass,2,85.8,23.6,95977.0,,,,,,,,,,,,,,,,,,,,,,,,
18.0,2,573062373.0,True,2,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '57.9'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}, {'type': {'displayName': 'FreekickTaken', 'value': 5}}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '58.6'}, {'type': {'displayName': 'IndirectFreekickTaken', 'value': 241}}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '1.4'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.5'}]","[90, 118, 116, 126, 131, 35, 37, 215, 217]",14.0,167,19.6,64.0,Successful,1,FirstHalf,1,Pass,1,57.9,1.4,8786.0,,,,,,,,,,,,,,,,,,,,,,,,
