eventId,expandedMinute,id,isTouch,minute,qualifiers,satisfiedEventsTypes,second,teamId,x,y,outcomeType_displayName,outcomeType_value,period_displayName,period_value,type_displayName,type_value,endX,endY,playerId,goalMouthY,goalMouthZ,isShot,relatedEventId,relatedPlayerId,blockedX,blockedY,isGoal,cardType_displayName,cardType_value,$idx,$len,field,satisfiers,text,minuteInfo_expandedMinute,minuteInfo_extraTime,minuteInfo_isEndOfPeriod,minuteInfo_minute,minuteInfo_minuteString,minuteInfo_period,type_$idx,type_$len,cardType_$idx,cardType_$len,Assist
15.0,0,1406028570.0,True,0,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '48.9'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '33.8'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '15.0'}]","[90, 116, 29, 35, 37, 215, 217]",39.0,13,32.3,70.9,Successful,1,FirstHalf,1,Pass,1,33.8,48.9,4522.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,0,726627711.0,True,0,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '25.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '11.0'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '3.8'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '33.2'}]","[90, 116, 29, 34, 37, 214, 217]",41.0,13,34.1,42.9,Successful,1,FirstHalf,1,Pass,1,25.7,33.2,69738.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17.0,0,1858715540.0,True,0,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '70.1'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '46.7'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '37.7'}, {'type': {'displayName': 'Longball', 'value': 1}}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '0.1'}]","[90, 119, 127, 35, 36, 216, 217]",44.0,13,25.7,33.2,Unsuccessful,0,FirstHalf,1,Pass,1,70.1,37.7,6292.0,,,,,,,,,,,,,,,,,,,,,,,,,,
11.0,0,700066397.0,False,0,[],[92],47.0,259,30.3,58.3,Successful,1,FirstHalf,1,BallRecovery,49,,,8408.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12.0,0,64034894.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '35.5'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.0'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '21.2'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '13.9'}]","[90, 116, 29, 34, 37, 214, 217]",49.0,259,26.7,59.6,Successful,1,FirstHalf,1,Pass,1,13.9,35.5,8408.0,,,,,,,,,,,,,,,,,,,,,,,,,,
13.0,0,1457189818.0,True,0,"[{'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '66.0'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.1'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '22.3'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '19.7'}]","[90, 116, 29, 35, 36, 214, 217]",52.0,259,14.2,39.8,Successful,1,FirstHalf,1,Pass,1,22.3,66.0,20973.0,,,,,,,,,,,,,,,,,,,,,,,,,,
14.0,0,1020887691.0,True,0,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '4.6'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '25.2'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '13.0'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '47.8'}]","[90, 116, 29, 34, 37, 214, 217]",57.0,259,26.1,66.8,Successful,1,FirstHalf,1,Pass,1,25.2,47.8,8408.0,,,,,,,,,,,,,,,,,,,,,,,,,,
15.0,1,191252667.0,True,1,"[{'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '30.5'}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '1.5'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '63.4'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Back'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '10.8'}]","[90, 116, 29, 35, 36, 214, 217]",1.0,259,29.8,47.5,Successful,1,FirstHalf,1,Pass,1,30.5,63.4,42916.0,,,,,,,,,,,,,,,,,,,,,,,,,,
16.0,1,1118558470.0,True,1,"[{'type': {'displayName': 'Angle', 'value': 213}, 'value': '6.2'}, {'type': {'displayName': 'Chipped', 'value': 155}}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '56.1'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '74.1'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '19.2'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Center'}]","[90, 119, 28, 123, 35, 37, 215, 217]",6.0,259,37.9,76.8,Unsuccessful,0,FirstHalf,1,Pass,1,56.1,74.1,8408.0,,,,,,,,,,,,,,,,,,,,,,,,,,
18.0,1,1405833252.0,True,1,"[{'type': {'displayName': 'HeadPass', 'value': 3}}, {'type': {'displayName': 'Angle', 'value': 213}, 'value': '5.9'}, {'type': {'displayName': 'Length', 'value': 212}, 'value': '11.6'}, {'type': {'displayName': 'PassEndX', 'value': 140}, 'value': '53.6'}, {'type': {'displayName': 'PassEndY', 'value': 141}, 'value': '13.7'}, {'type': {'displayName': 'Zone', 'value': 56}, 'value': 'Right'}]","[90, 118, 116, 29, 138, 35, 37, 215, 217]",7.0,13,43.2,19.3,Successful,1,FirstHalf,1,Pass,1,53.6,13.7,69738.0,,,,,,,,,,,,,,,,,,,,,,,,,,
