,PC-1,PC-2,Player,Clusters
87,1.12206078867986,0.26799903500026057,Bernardo,1
88,-1.1860869413429538,-0.12965224798390299,Conor Coady,0
89,1.3447856051780103,-0.42872862669753425,Jonny,1
90,0.5782827001916575,1.459871030033658,Matt Doherty,4
91,-0.7278269023753022,-0.6486508130966351,Willy Boly,0
92,-0.8780496501291465,-0.8220642981198899,Ryan Bennett,0
93,1.8851680601325747,-0.09090489470190147,Rúben Vinagre,1
94,1.0230185245268468,1.0576197816704107,Kyle Walker,4
95,-1.2562360812100017,1.6855610063207092,Nicolás Otamendi,2
96,2.07713656435488,0.6678746374489791,Benjamin Mendy,4
97,2.0551858994526606,1.4314310466073055,Oleksandr Zinchenko,4
98,-1.1198602575809335,1.5397260357874718,John Stones,2
99,2.1617016608068282,1.181424626504631,João Cancelo,4
