Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1154,Giannelli Imbula,cd COD,MF,Lecce,it Serie A,26,1992,1.4,1,0,1,0,0,0,1,0.0,1,15,0,0.0,5,8,2,2,1,0,1,2,3,1,0,Matches
1155,Ciro Immobile,it ITA,FW,Lazio,it Serie A,29,1990,35.2,12,7,2,7,3,0,22,0.0,22,493,106,21.5,34,203,256,19,4,0,15,11,23,9,0,Matches
1156,Edmilson Indjai,gw GNB,FW,Saint-Étienne,fr Ligue 1,19,2000,0.5,0,0,0,0,0,0,0,,0,12,3,25.0,0,4,8,0,0,0,0,1,1,0,0,Matches
1157,Roberto Inglese,it ITA,FW,Parma,it Serie A,27,1991,8.5,10,7,3,3,4,2,12,16.7,10,159,41,25.8,18,69,72,10,2,0,8,2,12,1,0,Matches
1158,Danny Ings,eng ENG,FW,Southampton,eng Premier League,27,1992,31.2,51,32,17,24,10,15,69,21.7,54,859,227,26.4,148,363,348,64,5,0,59,12,63,24,0,Matches
1159,Marcus Ingvartsen,dk DEN,"MF,FW",Union Berlin,de Bundesliga,23,1996,19.1,20,11,7,8,5,8,31,25.8,23,485,130,26.8,106,218,161,26,1,0,25,15,35,18,0,Matches
1160,Lorenzo Insigne,it ITA,"FW,MF",Napoli,it Serie A,28,1991,31.2,31,23,9,14,8,12,50,24.0,38,424,122,28.8,84,183,157,27,2,0,25,29,60,3,1,Matches
1161,Takashi Inui,jp JPN,"MF,FW",Eibar,es La Liga,31,1988,21.8,28,17,8,13,7,11,42,26.2,31,413,101,24.5,86,193,134,33,5,0,28,18,46,14,0,Matches
1162,Artur Ioniță,md MDA,MF,Cagliari,it Serie A,28,1990,21.1,36,20,9,21,6,12,45,26.7,33,368,99,26.9,116,179,73,39,10,0,29,18,54,25,1,Matches
1163,Alexander Isak,se SWE,FW,Real Sociedad,es La Liga,19,1999,16.7,9,7,0,6,3,2,10,20.0,8,259,74,28.6,6,84,169,10,1,0,9,3,12,6,0,Matches
1164,Isco,es ESP,"FW,MF",Real Madrid,es La Liga,27,1992,13.1,14,8,3,9,2,4,12,33.3,8,195,45,23.1,38,109,48,17,1,0,16,7,21,2,0,Matches
1165,Nicolas Isimat-Mirin,fr FRA,DF,Toulouse,fr Ligue 1,27,1991,14.0,23,16,16,7,0,8,14,57.1,6,138,53,38.4,93,42,3,29,15,1,14,26,49,109,0,Matches
1166,Jakub Iskra,pl POL,DF,SPAL,it Serie A,16,2002,0.9,0,0,0,0,0,0,0,,0,4,0,0.0,4,0,0,0,0,0,0,1,1,3,0,Matches
1167,Gian-Luca Itter,de GER,"DF,MF",Freiburg,de Bundesliga,20,1999,0.4,1,0,1,0,0,0,0,,0,8,2,25.0,6,2,0,0,0,0,0,1,2,1,0,Matches
1168,Ander Iturraspe,es ESP,MF,Espanyol,es La Liga,30,1989,2.7,0,0,0,0,0,0,6,0.0,6,43,8,18.6,12,29,2,2,0,0,2,1,1,6,0,Matches
1169,Alex Iwobi,ng NGA,"MF,FW",Everton,eng Premier League,23,1996,17.7,27,14,11,14,2,10,33,30.3,23,369,96,26.0,99,181,89,20,3,0,17,13,40,13,1,Matches
1170,Armando Izzo,it ITA,DF,Torino,it Serie A,27,1992,29.8,49,33,27,17,5,16,36,44.4,20,325,101,31.1,170,120,35,67,32,0,35,72,121,161,1,Matches
1171,Jacobo,es ESP,DF,Celta Vigo,es La Liga,22,1997,0.9,3,1,2,1,0,0,1,0.0,1,19,5,26.3,10,7,2,0,0,0,0,1,4,1,0,Matches
1172,Phil Jagielka,eng ENG,DF,Sheffield Utd,eng Premier League,36,1982,2.7,6,4,4,2,0,1,6,16.7,5,26,9,34.6,18,8,0,9,5,0,4,4,10,26,0,Matches
1173,Filip Jagiełło,pl POL,MF,Genoa,it Serie A,21,1997,6.1,7,4,1,3,3,0,5,0.0,5,94,17,18.1,31,47,16,6,0,0,6,4,11,8,0,Matches
1174,Alireza Jahanbakhsh,ir IRN,"FW,MF",Brighton,eng Premier League,25,1993,3.5,7,3,2,2,3,3,6,50.0,3,51,20,39.2,15,16,20,5,0,0,5,1,8,4,0,Matches
1175,Mato Jajalo,ba BIH,MF,Udinese,it Serie A,31,1988,18.3,47,25,22,23,2,16,53,30.2,37,368,101,27.4,150,184,34,33,11,0,22,16,63,29,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1176,Ismail Jakobs,de GER,"FW,DF",Köln,de Bundesliga,19,1999,18.6,53,34,30,13,10,10,18,55.6,8,403,109,27.0,146,164,93,34,2,0,32,24,77,47,0,Matches
1177,Christophe Jallet,fr FRA,DF,Amiens,fr Ligue 1,35,1983,9.5,28,15,17,9,2,11,35,31.4,24,176,49,27.8,75,75,26,23,5,0,18,18,46,34,0,Matches
1178,Daniel James,wal WAL,FW,Manchester Utd,eng Premier League,21,1997,25.4,25,15,6,12,7,6,45,13.3,39,569,143,25.1,124,263,182,37,4,0,33,8,33,10,0,Matches
1179,Matty James,eng ENG,MF,Leicester City,eng Premier League,28,1991,0.1,0,0,0,0,0,0,0,,0,2,2,100.0,0,1,1,0,0,0,0,0,0,0,0,Matches
1180,Reece James,eng ENG,DF,Chelsea,eng Premier League,19,1999,16.8,42,23,20,17,5,14,31,45.2,17,271,72,26.6,125,113,33,46,8,0,38,23,65,39,0,Matches
1181,Marko Janković,me MNE,"MF,DF",SPAL,it Serie A,24,1995,1.3,3,2,1,1,1,1,3,33.3,2,39,11,28.2,7,20,12,4,2,0,2,0,3,1,0,Matches
1182,Jakub Jankto,cz CZE,MF,Sampdoria,it Serie A,23,1996,23.3,28,15,9,15,4,10,47,21.3,37,433,94,21.7,110,219,104,45,4,0,41,22,50,23,0,Matches
1183,Daryl Janmaat,nl NED,DF,Watford,eng Premier League,30,1989,6.7,16,6,7,5,4,6,17,35.3,11,137,31,22.6,55,53,29,14,2,0,12,6,22,25,0,Matches
1184,Laurent Jans,lu LUX,DF,Paderborn 07,de Bundesliga,26,1992,17.5,42,24,30,8,4,21,61,34.4,40,272,100,36.8,164,81,27,31,8,0,23,23,65,53,0,Matches
1185,Tony Jantschke,de GER,DF,M'Gladbach,de Bundesliga,29,1990,11.2,39,16,26,12,1,16,29,55.2,13,129,46,35.7,75,49,5,31,15,0,16,28,67,63,0,Matches
1186,Adnan Januzaj,be BEL,"FW,MF",Real Sociedad,es La Liga,24,1995,13.0,9,4,3,2,4,3,19,15.8,16,174,43,24.7,33,89,52,10,0,0,10,7,16,4,1,Matches
1187,Rune Jarstein,no NOR,GK,Hertha BSC,de Bundesliga,34,1984,28.3,0,0,0,0,0,0,3,0.0,3,2,0,0.0,2,0,0,0,0,0,0,1,1,1,2,Matches
1188,Jason,es ESP,MF,Getafe,es La Liga,25,1994,13.1,31,19,10,17,4,9,36,25.0,27,257,79,30.7,48,132,77,23,2,0,21,18,49,11,0,Matches
1189,Dennis Jastrzembski,de GER,"DF,MF",Paderborn 07,de Bundesliga,19,2000,2.0,3,2,2,0,1,0,3,0.0,3,39,11,28.2,8,19,12,8,0,0,8,3,6,0,0,Matches
1190,Corentin Jean,fr FRA,DF,Toulouse,fr Ligue 1,24,1995,0.1,0,0,0,0,0,0,0,,0,3,0,0.0,1,0,2,0,0,0,0,0,0,1,0,Matches
1191,Benjamin Jeannot,fr FRA,MF,Dijon,fr Ligue 1,27,1992,1.9,1,1,1,0,0,0,5,0.0,5,41,8,19.5,4,18,19,1,0,0,1,2,3,4,0,Matches
1192,Tin Jedvaj,hr CRO,DF,Augsburg,de Bundesliga,23,1995,29.3,47,29,28,18,1,23,57,40.4,34,302,86,28.5,182,106,14,67,19,1,48,58,105,181,1,Matches
1193,Jemerson,br BRA,"DF,MF",Monaco,fr Ligue 1,26,1992,11.7,30,14,13,15,2,7,20,35.0,13,170,57,33.5,78,85,7,11,5,0,6,15,45,39,1,Matches
1194,Fredrik Jensen,fi FIN,"FW,MF",Augsburg,de Bundesliga,21,1997,5.1,1,1,1,0,0,0,4,0.0,4,162,32,19.8,15,87,60,9,1,0,8,1,2,3,0,Matches
1195,Jesé,es ESP,FW,Paris S-G,fr Ligue 1,26,1993,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
1196,Gabriel Jesus,br BRA,FW,Manchester City,eng Premier League,22,1997,22.6,25,19,4,9,12,5,25,20.0,20,419,127,30.3,25,154,240,31,4,0,27,14,39,7,0,Matches
1197,Juan Jesus,br BRA,DF,Roma,it Serie A,28,1991,1.5,4,2,3,1,0,0,3,0.0,3,22,11,50.0,17,5,0,4,0,0,4,0,4,3,0,Matches
1198,Raúl Jiménez,mx MEX,FW,Wolves,eng Premier League,28,1991,36.0,29,23,7,15,7,2,26,7.7,24,589,141,23.9,33,292,264,32,4,0,28,14,43,31,0,Matches
1199,Joaquín,es ESP,"MF,FW",Betis,es La Liga,38,1981,22.9,17,11,5,9,3,4,13,30.8,9,221,59,26.7,56,110,55,36,3,0,33,16,33,19,0,Matches
1200,Joelinton,br BRA,FW,Newcastle Utd,eng Premier League,22,1996,29.8,30,19,5,17,8,11,35,31.4,24,595,135,22.7,73,311,211,33,7,1,26,11,41,28,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1201,Ben Johnson,eng ENG,DF,West Ham,eng Premier League,19,2000,3.0,8,4,5,2,1,4,6,66.7,2,36,6,16.7,19,10,7,8,3,0,5,3,11,16,0,Matches
1202,Fabian Johnson,us USA,"MF,DF",M'Gladbach,de Bundesliga,31,1987,3.0,4,3,0,2,2,2,4,50.0,2,63,20,31.7,13,32,18,5,0,0,5,1,5,1,0,Matches
1203,Curtis Jones,eng ENG,MF,Liverpool,eng Premier League,18,2001,1.4,3,2,0,1,2,2,3,66.7,1,27,7,25.9,5,8,14,3,0,0,3,2,5,1,0,Matches
1204,Phil Jones,eng ENG,DF,Manchester Utd,eng Premier League,27,1992,1.5,4,2,2,2,0,2,2,100.0,0,18,9,50.0,12,5,1,1,0,0,1,4,8,19,1,Matches
1205,Frenkie de Jong,nl NED,MF,Barcelona,es La Liga,22,1997,23.5,30,22,10,13,7,5,19,26.3,14,313,97,31.0,76,149,88,24,7,0,17,23,53,17,0,Matches
1206,Luuk de Jong,nl NED,FW,Sevilla,es La Liga,28,1990,22.9,17,10,2,11,4,4,15,26.7,11,353,104,29.5,16,171,166,15,2,0,13,7,24,22,0,Matches
1207,Jony,es ESP,DF,Lazio,it Serie A,28,1991,13.1,17,11,10,3,4,6,27,22.2,21,177,49,27.7,72,49,56,26,2,0,24,14,31,14,0,Matches
1208,Joan Jordán,es ESP,MF,Sevilla,es La Liga,25,1994,25.0,60,47,23,32,5,24,77,31.2,53,491,139,28.3,129,273,89,39,5,0,34,23,83,33,2,Matches
1209,Bruno Jordão,pt POR,FW,Wolves,eng Premier League,20,1998,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,Matches
1210,Jorginho,it ITA,MF,Chelsea,eng Premier League,27,1991,26.4,69,44,22,35,12,27,85,31.8,58,556,162,29.1,187,298,71,41,5,1,36,64,133,34,0,Matches
1211,Jesse Joronen,fi FIN,GK,Brescia,it Serie A,26,1993,29.0,0,0,0,0,0,0,1,0.0,1,3,0,0.0,3,0,0,0,0,0,0,6,6,4,0,Matches
1212,Willian José,br BRA,FW,Real Sociedad,es La Liga,27,1991,22.3,3,3,0,3,0,0,7,0.0,7,188,66,35.1,6,70,112,16,6,0,10,1,4,14,0,Matches
1213,Joselu,es ESP,FW,Alavés,es La Liga,29,1990,30.9,25,16,5,12,8,3,31,9.7,28,543,143,26.3,33,257,253,39,6,0,33,13,38,44,0,Matches
1214,Jota,es ESP,"FW,MF",Aston Villa,eng Premier League,28,1991,3.7,3,2,1,1,1,2,9,22.2,7,119,17,14.3,43,52,24,3,0,0,3,3,6,6,0,Matches
1215,Diogo Jota,pt POR,"FW,MF",Wolves,eng Premier League,22,1996,25.4,34,21,13,18,3,12,44,27.3,32,573,127,22.2,124,294,155,17,0,0,17,8,42,9,0,Matches
1216,Vukašin Jovanović,rs SRB,DF,Bordeaux,fr Ligue 1,23,1996,6.4,24,10,14,10,0,12,20,60.0,8,65,26,40.0,41,24,0,11,4,0,7,15,39,27,0,Matches
1217,Dejan Joveljić,rs SRB,FW,Eint Frankfurt,de Bundesliga,19,1999,1.7,3,3,1,1,1,0,3,0.0,3,44,11,25.0,3,19,22,0,0,0,0,0,3,1,0,Matches
1218,Stevan Jovetić,me MNE,"FW,MF",Monaco,fr Ligue 1,29,1989,5.3,1,1,0,1,0,0,6,0.0,6,71,17,23.9,14,31,26,5,1,0,4,2,3,3,0,Matches
1219,Luka Jović,rs SRB,FW,Real Madrid,es La Liga,21,1997,4.8,3,2,0,2,1,0,0,,0,69,20,29.0,4,30,35,2,0,0,2,2,5,0,0,Matches
1220,Juanmi,es ESP,"FW,MF",Betis,es La Liga,26,1993,2.9,5,4,1,3,1,1,3,33.3,2,49,13,26.5,7,34,8,2,0,0,2,0,5,2,0,Matches
1221,David Juncà,es ESP,DF,Celta Vigo,es La Liga,25,1993,2.9,4,3,2,2,0,2,2,100.0,0,32,8,25.0,12,14,6,3,1,0,2,1,5,7,0,Matches
1222,Hamed Junior Traorè,ci CIV,"MF,FW",Sassuolo,it Serie A,19,2000,17.4,32,14,12,13,7,7,30,23.3,23,294,74,25.2,58,138,98,24,2,0,22,11,43,8,0,Matches
1223,Lago Junior,ci CIV,"MF,FW",Mallorca,es La Liga,28,1990,24.3,33,19,15,10,8,11,31,35.5,20,399,94,23.6,108,179,112,37,5,0,32,15,48,19,0,Matches
1224,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,es La Liga,19,2000,15.2,27,17,11,12,4,5,26,19.2,21,299,88,29.4,76,137,86,19,0,0,19,6,33,0,0,Matches
1225,James Justin,eng ENG,DF,Leicester City,eng Premier League,21,1998,11.2,35,19,21,13,1,13,23,56.5,10,158,57,36.1,75,59,24,25,7,0,18,9,44,30,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1226,Musa Juwara,gm GAM,"FW,MF",Bologna,it Serie A,17,2001,1.7,3,0,1,1,1,1,2,50.0,1,34,7,20.6,12,15,7,2,1,0,1,0,3,1,0,Matches
1227,Mathias Jørgensen,dk DEN,DF,Düsseldorf,de Bundesliga,29,1990,5.5,8,5,5,3,0,4,6,66.7,2,38,14,36.8,25,13,0,12,6,0,6,15,23,29,1,Matches
1228,Ozan Kabak,tr TUR,DF,Schalke 04,de Bundesliga,19,2000,19.7,56,36,42,14,0,18,32,56.3,14,218,80,36.7,151,63,4,46,21,0,25,35,91,135,0,Matches
1229,Christian Kabasele,be BEL,DF,Watford,eng Premier League,28,1991,25.0,40,24,32,8,0,16,36,44.4,20,248,86,34.7,141,89,18,55,28,0,27,37,77,170,2,Matches
1230,Abdoul Kader Bamba,fr FRA,"FW,MF",Nantes,fr Ligue 1,25,1994,16.3,28,17,8,12,8,15,39,38.5,24,306,85,27.8,80,141,85,24,2,1,22,12,40,5,0,Matches
1231,Pavel Kadeřábek,cz CZE,"DF,MF",Hoffenheim,de Bundesliga,27,1992,27.5,31,21,16,15,0,10,30,33.3,20,283,86,30.4,107,117,59,62,8,2,54,25,56,56,0,Matches
1232,Florian Kainz,at AUT,"FW,MF",Köln,de Bundesliga,26,1992,17.3,22,10,13,5,4,8,26,30.8,18,288,67,23.3,89,132,67,28,2,0,26,12,34,16,0,Matches
1233,Gaël Kakuta,cd COD,"MF,FW",Amiens,fr Ligue 1,28,1991,22.2,44,31,11,29,4,15,46,32.6,31,552,153,27.7,91,317,144,18,1,0,17,15,59,8,0,Matches
1234,Lovre Kalinić,hr CRO,GK,Toulouse,fr Ligue 1,29,1990,3.4,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
1235,Nikola Kalinić,hr CRO,FW,Roma,it Serie A,31,1988,6.3,0,0,0,0,0,0,0,,0,52,17,32.7,2,18,32,3,0,0,3,1,1,1,0,Matches
1236,Salomon Kalou,ci CIV,"FW,MF",Hertha BSC,de Bundesliga,33,1985,1.6,3,3,1,1,1,0,3,0.0,3,33,10,30.3,4,10,19,4,0,0,4,0,3,2,1,Matches
1237,Samuel Kalu,ng NGA,"FW,DF",Bordeaux,fr Ligue 1,21,1997,15.1,43,19,19,19,5,12,34,35.3,22,304,81,26.6,83,151,70,21,1,0,20,21,64,10,2,Matches
1238,Daichi Kamada,jp JPN,"MF,FW",Eint Frankfurt,de Bundesliga,22,1996,21.9,29,21,8,17,4,5,35,14.3,30,457,133,29.1,64,190,203,18,1,0,17,9,38,8,0,Matches
1239,François Kamano,gn GUI,"DF,MF",Bordeaux,fr Ligue 1,23,1996,7.2,14,8,6,4,4,6,14,42.9,8,149,44,29.5,51,71,27,8,0,0,8,3,17,6,0,Matches
1240,Boubacar Kamara,fr FRA,"DF,MF",Marseille,fr Ligue 1,19,1999,23.8,76,53,38,35,3,28,69,40.6,41,355,127,35.8,146,194,15,41,15,0,26,37,113,95,0,Matches
1241,Hassane Kamara,gm GAM,"DF,FW",Reims,fr Ligue 1,24,1994,19.0,66,31,47,15,4,28,50,56.0,22,313,97,31.0,172,94,47,40,3,0,37,57,123,64,0,Matches
1242,Kevin Kampl,si SVN,MF,RB Leipzig,de Bundesliga,28,1990,7.5,19,14,8,8,3,9,22,40.9,13,151,46,30.5,49,72,30,11,2,0,9,15,34,3,1,Matches
1243,Harry Kane,eng ENG,FW,Tottenham,eng Premier League,26,1993,28.7,20,14,5,13,2,6,19,31.6,13,448,100,22.3,22,219,207,31,12,0,19,5,25,30,0,Matches
1244,Wilfried Kanga,fr FRA,FW,Angers,fr Ligue 1,21,1998,0.8,0,0,0,0,0,0,1,0.0,1,19,2,10.5,0,12,7,0,0,0,0,0,0,0,0,Matches
1245,Lee Kangin,kr KOR,"MF,FW",Valencia,es La Liga,18,2001,5.0,3,2,1,1,1,0,5,0.0,5,113,28,24.8,13,67,33,3,0,0,3,2,5,1,0,Matches
1246,N'Golo Kanté,fr FRA,MF,Chelsea,eng Premier League,28,1991,19.2,58,43,29,22,7,12,33,36.4,21,438,141,32.2,153,190,95,43,3,0,40,46,104,35,0,Matches
1247,Stefanos Kapino,gr GRE,GK,Werder Bremen,de Bundesliga,25,1994,1.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,1,1,0,Matches
1248,Wilfrid Kaptoum,cm CMR,MF,Betis,es La Liga,23,1996,2.2,6,5,3,2,1,2,2,100.0,0,43,18,41.9,15,21,7,3,1,0,2,1,7,6,0,Matches
1249,Kenan Karaman,tr TUR,FW,Düsseldorf,de Bundesliga,25,1994,15.0,8,4,2,3,3,7,12,58.3,5,215,60,27.9,20,110,85,12,5,0,7,2,10,9,0,Matches
1250,Yann Karamoh,fr FRA,"FW,MF",Parma,it Serie A,21,1998,6.4,8,5,3,4,1,3,10,30.0,7,137,35,25.5,24,72,41,8,0,0,8,2,10,4,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1251,Mamoudou Karamoko,fr FRA,MF,Wolfsburg,de Bundesliga,20,1999,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,2,0,0,0,0,0,0,0,0,0,Matches
1252,Florian Kastenmeier,de GER,GK,Düsseldorf,de Bundesliga,23,1996,17.0,0,0,0,0,0,0,0,,0,7,0,0.0,7,0,0,1,0,0,1,2,2,1,1,Matches
1253,Noah Katterbach,de GER,DF,Köln,de Bundesliga,18,2001,14.6,33,20,25,7,1,9,30,30.0,21,206,67,32.5,120,65,21,23,1,0,22,29,62,40,0,Matches
1254,Moise Kean,it ITA,FW,Everton,eng Premier League,19,2000,9.5,7,6,2,2,3,0,3,0.0,3,119,36,30.3,12,50,57,4,1,0,3,6,13,3,0,Matches
1255,Michael Keane,eng ENG,DF,Everton,eng Premier League,26,1993,28.4,41,26,26,14,1,15,27,55.6,12,189,65,34.4,124,60,5,52,27,0,25,46,87,208,1,Matches
1256,Thilo Kehrer,de GER,DF,Paris S-G,fr Ligue 1,22,1996,5.3,10,6,4,3,3,3,9,33.3,6,53,16,30.2,19,23,11,3,1,0,2,1,11,5,0,Matches
1257,Jules Keita,gn GUI,"MF,FW",Dijon,fr Ligue 1,21,1998,1.8,2,1,1,0,1,0,4,0.0,4,26,3,11.5,5,17,4,0,0,0,0,3,5,1,0,Matches
1258,Naby Keïta,gn GUI,MF,Liverpool,eng Premier League,24,1995,9.1,27,20,8,13,6,9,25,36.0,16,213,78,36.6,41,99,73,19,0,0,19,11,38,4,0,Matches
1259,Yannik Keitel,de GER,MF,Freiburg,de Bundesliga,19,2000,1.9,2,1,1,1,0,0,2,0.0,2,41,7,17.1,14,20,7,4,1,0,3,4,6,4,0,Matches
1260,Lloyd Kelly,eng ENG,DF,Bournemouth,eng Premier League,20,1998,7.1,9,6,5,4,0,5,9,55.6,4,73,29,39.7,39,27,7,11,6,0,5,6,15,17,1,Matches
1261,Martin Kelly,eng ENG,DF,Crystal Palace,eng Premier League,29,1990,17.2,24,18,18,6,0,12,29,41.4,17,181,63,34.8,129,42,10,50,15,0,35,15,39,102,3,Matches
1262,Kenedy,br BRA,"MF,DF",Getafe,es La Liga,23,1996,6.5,11,8,2,5,4,2,3,66.7,1,111,30,27.0,20,62,29,9,1,0,8,10,21,7,0,Matches
1263,Jonjoe Kenny,eng ENG,DF,Schalke 04,de Bundesliga,22,1997,30.2,59,39,25,30,4,21,53,39.6,32,406,131,32.3,183,165,58,57,11,1,46,29,88,92,1,Matches
1264,Franck Kessié,ci CIV,MF,Milan,it Serie A,22,1996,32.3,52,33,24,19,9,14,52,26.9,38,592,164,27.7,173,302,117,54,6,0,48,34,86,41,1,Matches
1265,Saîf-Eddine Khaoui,tn TUN,"MF,FW",Marseille,fr Ligue 1,24,1995,1.2,3,1,0,3,0,2,4,50.0,2,27,7,25.9,6,16,5,2,0,0,2,1,4,3,0,Matches
1266,Wahbi Khazri,tn TUN,"FW,MF",Saint-Étienne,fr Ligue 1,28,1991,12.8,18,11,5,4,9,4,23,17.4,19,250,63,25.2,16,125,109,13,0,0,13,5,23,1,0,Matches
1267,Rani Khedira,de GER,MF,Augsburg,de Bundesliga,25,1994,29.4,61,35,18,33,10,17,57,29.8,40,582,140,24.1,173,330,79,53,14,0,39,47,108,69,0,Matches
1268,Sami Khedira,de GER,MF,Juventus,it Serie A,32,1987,7.6,17,13,3,8,6,3,18,16.7,15,131,44,33.6,25,75,31,20,2,0,18,3,20,11,0,Matches
1269,Kike,es ESP,FW,Eibar,es La Liga,29,1989,19.6,11,6,1,4,6,4,12,33.3,8,323,97,30.0,20,113,190,17,2,0,15,1,12,7,0,Matches
1270,Luca Kilian,de GER,DF,Paderborn 07,de Bundesliga,19,1999,14.0,38,25,32,6,0,25,46,54.3,21,170,61,35.9,121,39,10,35,13,0,22,11,49,82,0,Matches
1271,Max Kilman,eng ENG,DF,Wolves,eng Premier League,22,1997,2.1,4,3,3,1,0,2,4,50.0,2,17,5,29.4,11,5,1,2,1,0,1,4,8,17,0,Matches
1272,Joshua Kimmich,de GER,"MF,DF",Bayern Munich,de Bundesliga,24,1995,31.3,63,40,27,22,14,19,69,27.5,50,511,174,34.1,134,278,99,58,7,0,51,30,93,47,0,Matches
1273,Presnel Kimpembe,fr FRA,DF,Paris S-G,fr Ligue 1,23,1995,13.6,41,25,31,10,0,18,28,64.3,10,124,49,39.5,62,57,5,14,5,0,9,21,62,36,1,Matches
1274,Joshua King,no NOR,"FW,MF",Bournemouth,eng Premier League,27,1992,22.3,19,15,8,7,4,2,15,13.3,13,496,123,24.8,80,219,197,27,4,0,23,5,24,11,0,Matches
1275,Giorgos Kiriakopoulos,gr GRE,DF,Sassuolo,it Serie A,23,1996,18.3,41,27,27,7,7,21,40,52.5,19,271,84,31.0,125,101,45,30,5,0,25,19,60,37,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
1276,Simon Kjær,dk DEN,DF,Atalanta,it Serie A,30,1989,3.2,4,3,1,3,0,3,7,42.9,4,49,14,28.6,20,29,0,11,4,0,7,7,11,19,1,Matches
1277,Simon Kjær,dk DEN,DF,Milan,it Serie A,30,1989,13.8,26,15,20,6,0,11,21,52.4,10,123,43,35.0,66,55,2,27,18,0,9,19,45,68,1,Matches
1278,Davy Klaassen,nl NED,MF,Werder Bremen,de Bundesliga,26,1993,32.6,66,47,22,34,10,19,56,33.9,37,589,161,27.3,173,281,135,69,18,0,51,40,106,54,1,Matches
1279,Felix Klaus,de GER,"FW,MF",Wolfsburg,de Bundesliga,26,1992,7.4,23,13,4,14,5,9,22,40.9,13,226,69,30.5,31,128,67,11,3,0,8,2,25,3,0,Matches
1280,Ragnar Klavan,ee EST,DF,Cagliari,it Serie A,33,1985,26.2,36,25,26,10,0,20,40,50.0,20,243,91,37.4,151,87,5,43,25,0,18,29,65,146,1,Matches
1281,Timm Klose,ch SUI,DF,Norwich City,eng Premier League,31,1988,6.5,9,4,4,5,0,5,11,45.5,6,54,24,44.4,37,17,0,11,6,0,5,8,17,29,2,Matches
1282,Lukas Klostermann,de GER,DF,RB Leipzig,de Bundesliga,23,1996,29.4,48,26,25,20,3,17,41,41.5,24,343,130,37.9,175,131,37,66,17,0,49,30,78,116,3,Matches
1283,Justin Kluivert,nl NED,FW,Roma,it Serie A,20,1999,16.8,19,12,5,9,5,7,22,31.8,15,259,69,26.6,60,120,79,26,0,0,26,6,25,6,0,Matches
1284,Lukas Klünter,de GER,DF,Hertha BSC,de Bundesliga,23,1996,20.9,48,23,34,13,1,16,30,53.3,14,282,89,31.6,142,99,41,39,4,0,35,27,75,86,1,Matches
1285,Robin Knoche,de GER,DF,Wolfsburg,de Bundesliga,27,1992,17.7,40,25,32,8,0,20,40,50.0,20,190,74,38.9,118,61,11,40,13,0,27,29,69,117,2,Matches
1286,Robin Koch,de GER,"DF,MF",Freiburg,de Bundesliga,23,1996,30.1,41,24,24,16,1,8,25,32.0,17,270,77,28.5,145,106,19,43,21,0,22,46,87,155,3,Matches
1287,Giorgi Kochorashvili,ge GEO,MF,Levante,es La Liga,20,1999,0.0,0,0,0,0,0,0,0,,0,1,1,100.0,0,0,1,0,0,0,0,0,0,0,0,Matches
