Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,0,0,0,0,0,3,0.0,3,5,1,20.0,5,0,0,0,0,0,0,1,1,2,1,Matches
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,55,36,21,25,9,17,50,34.0,33,411,105,25.5,121,218,72,26,3,0,23,13,68,16,0,Matches
64,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,41,29,10,24,7,8,32,25.0,24,479,135,28.2,108,234,137,53,7,0,46,14,55,17,0,Matches
65,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,62,36,34,17,11,13,46,28.3,33,732,175,23.9,236,278,218,44,1,0,43,30,92,16,0,Matches
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,27,19,17,6,4,5,28,17.9,23,215,88,40.9,89,84,42,30,1,0,29,20,47,48,0,Matches
67,Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,43,19,30,10,3,16,34,47.1,18,221,59,26.7,122,81,18,38,5,0,33,16,59,82,0,Matches
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,37,20,14,22,1,9,34,26.5,25,265,80,30.2,84,150,31,25,3,0,22,16,53,58,0,Matches
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,39,25,27,11,1,13,31,41.9,18,222,79,35.6,145,64,13,58,23,2,35,64,103,264,2,Matches
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,23,11,17,6,0,9,14,64.3,5,172,49,28.5,133,32,7,40,26,1,14,28,51,189,3,Matches
72,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,28,23,23,3,2,10,22,45.5,12,235,77,32.8,99,94,42,26,3,0,23,13,41,14,0,Matches
73,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,21,7,12,8,1,3,11,27.3,8,107,26,24.3,64,40,3,8,6,0,2,17,38,58,1,Matches
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,16,9,7,9,0,3,10,30.0,7,161,42,26.1,53,90,18,7,0,0,7,11,27,8,0,Matches
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,43,22,20,20,3,14,57,24.6,43,438,123,28.1,155,242,41,25,8,0,17,36,79,22,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,2,0,1,0,1,0,4,0.0,4,36,10,27.8,8,16,12,1,0,0,1,0,2,1,0,Matches
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,62,28,40,17,5,31,68,45.6,37,287,88,30.7,142,98,47,53,5,0,48,56,118,131,1,Matches
78,Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,7,5,1,4,2,1,8,12.5,7,122,37,30.3,25,53,44,5,0,0,5,2,9,3,0,Matches
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,27,15,22,4,1,9,23,39.1,14,218,51,23.4,128,56,34,25,9,0,16,19,46,61,2,Matches
80,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,18,13,7,8,3,4,26,15.4,22,286,98,34.3,50,153,83,28,2,0,26,14,32,9,1,Matches
81,Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,5,3,4,1,0,1,2,50.0,1,15,8,53.3,9,6,0,2,1,0,1,1,6,7,0,Matches
82,Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,10,6,4,4,2,3,12,25.0,9,90,21,23.3,21,42,27,4,0,0,4,4,14,5,0,Matches
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,63,42,28,25,10,20,65,30.8,45,592,171,28.9,164,314,114,43,13,0,30,31,94,31,2,Matches
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,18,10,16,2,0,6,19,31.6,13,107,34,31.8,79,24,4,22,14,0,8,10,28,95,2,Matches
85,Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,1,1,1,0,0,0,0,,0,24,5,20.8,10,9,5,5,0,0,5,3,4,2,0,Matches
86,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,45,30,20,18,7,11,48,22.9,37,370,104,28.1,92,189,89,21,1,0,20,21,66,14,0,Matches
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,18,11,1,9,8,8,25,32.0,17,579,143,24.7,25,294,260,31,5,0,26,4,22,40,0,Matches
88,Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,2,2,0,1,1,0,0,,0,7,1,14.3,1,3,3,1,1,0,0,0,2,1,0,Matches
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,83,63,34,44,5,37,100,37.0,63,593,190,32.0,191,313,89,45,12,0,33,61,144,47,0,Matches
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,0,0,0,2,0.0,2,4,2,50.0,4,0,0,0,0,0,0,0,0,0,0,Matches
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,78,46,38,32,8,27,69,39.1,42,639,158,24.7,193,372,74,39,7,0,32,43,121,65,0,Matches
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,25,16,14,10,1,14,30,46.7,16,243,62,25.5,68,148,27,15,2,0,13,5,30,8,0,Matches
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1,1,0,1,0,0,6,0.0,6,129,28,21.7,2,77,50,5,0,0,5,2,3,5,0,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,1,1,1,1,Matches
95,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,62,31,30,29,3,25,43,58.1,18,251,83,33.1,107,108,36,40,6,0,34,34,96,102,0,Matches
96,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,14,8,7,4,3,7,20,35.0,13,127,50,39.4,36,58,33,35,1,0,34,19,33,24,0,Matches
97,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,8,5,4,3,1,5,6,83.3,1,47,18,38.3,14,25,8,4,0,0,4,9,17,18,0,Matches
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,1,0,1,0,0,0,0,,0,2,1,50.0,0,2,0,1,0,0,1,0,1,0,0,Matches
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,10,5,5,4,1,2,15,13.3,13,151,34,22.5,64,45,42,29,5,0,24,9,19,22,2,Matches
100,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,44,27,29,9,6,14,39,35.9,25,271,91,33.6,112,90,69,28,3,0,25,15,59,32,2,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
