,Player,Pos,Squad,Comp,Age,90s,Drib,Fld,Att,Touches,Drib+Fld,drib-ptouch
984,Prince-Désir Gouano,DF,Amiens,fr Ligue 1,24,29.1,0.0,0.034364261168384876,0.10309278350515463,46.42611683848797,0.034364261168384876,7.630850000381541e-05
986,Jeffrey Gouweleeuw,DF,Augsburg,de Bundesliga,27,23.2,0.0,0.0,1.120689655172414,62.71551724137931,0.0,0.0007702334399810404
989,Max Gradel,"FW,MF",Toulouse,fr Ligue 1,30,36.0,0.5277777777777778,0.4166666666666667,4.75,54.55555555555556,0.9444444444444444,0.0024185336048879835
990,Jonathan Gradit,DF,Caen,fr Ligue 1,25,22.3,0.0,0.04484304932735426,1.6143497757847534,53.90134529147982,0.04484304932735426,0.001343053058057199
993,Álex Granell,"MF,DF",Girona,es La Liga,29,26.6,0.07518796992481203,0.22556390977443608,1.2406015037593985,67.25563909774436,0.3007518796992481,0.0006934608740969249
994,Esteban Granero,MF,Espanyol,es La Liga,31,22.4,0.08928571428571429,0.22321428571428573,1.830357142857143,64.55357142857143,0.3125,0.0012658071527366134
998,Demarai Gray,"FW,MF",Leicester City,eng Premier League,22,22.1,0.3167420814479638,0.13574660633484162,3.1221719457013575,43.98190045248869,0.4524886877828054,0.00321211105524831
1000,Michael Gregoritsch,"MF,FW",Augsburg,de Bundesliga,24,27.6,0.07246376811594203,0.10869565217391304,1.0507246376811594,46.3768115942029,0.18115942028985507,0.0008208786231884058
1001,Clément Grenier,MF,Rennes,fr Ligue 1,27,29.6,0.10135135135135134,0.2027027027027027,1.385135135135135,69.72972972972973,0.30405405405405406,0.0006710926042321391
1002,Antoine Griezmann,FW,Atlético Madrid,es La Liga,27,35.5,0.19718309859154928,0.08450704225352113,1.6619718309859155,52.59154929577465,0.28169014084507044,0.0008901830910476249
1005,Florian Grillitsch,MF,Hoffenheim,de Bundesliga,22,26.6,0.03759398496240601,0.15037593984962405,1.0526315789473684,70.56390977443608,0.18796992481203006,0.0005608053164343998
1007,Pascal Groß,MF,Brighton,eng Premier League,27,20.7,0.1932367149758454,0.14492753623188406,0.5797101449275363,54.29951690821256,0.33816425120772947,0.0005157563566970964
1009,Marko Grujić,MF,Hertha BSC,de Bundesliga,22,19.8,0.20202020202020202,0.10101010101010101,1.5151515151515151,61.868686868686865,0.30303030303030304,0.0012368583797155224
1010,Vicente Guaita,GK,Crystal Palace,eng Premier League,31,19.5,0.0,0.0,0.0,32.717948717948715,0.0,0.0
1011,Andrés Guardado,"MF,DF",Betis,es La Liga,31,25.9,0.03861003861003861,0.23166023166023167,1.196911196911197,72.62548262548263,0.2702702702702703,0.00063631642579011
1017,Mattéo Guendouzi,MF,Arsenal,eng Premier League,19,23.9,0.2092050209205021,0.041841004184100423,1.7573221757322177,77.61506276150628,0.2510460251046025,0.0009473434909607641
1020,Francis Guerrero,"DF,MF",Betis,es La Liga,22,19.8,0.050505050505050504,0.25252525252525254,2.0202020202020203,61.56565656565656,0.30303030303030304,0.001657261706482379
1025,Josuha Guilavogui,MF,Wolfsburg,de Bundesliga,27,17.4,0.0,0.0574712643678161,0.7471264367816093,56.20689655172414,0.0574712643678161,0.0007639329619443857
