,Player,Pos,Squad,Comp,Age,90s,Drib,Fld,Att,Touches,Drib+Fld,drib-ptouch
1556,Gianluca Mancini,DF,Atalanta,it Serie A,22,25.0,0.0,0.0,0.52,64.6,0.0,0.0003219814241486068
1557,Steve Mandanda,GK,Marseille,fr Ligue 1,33,30.4,0.0,0.0,0.0,34.53947368421053,0.0,0.0
1560,Aïssa Mandi,DF,Betis,es La Liga,26,34.0,0.0,0.0,0.35294117647058826,83.76470588235294,0.0,0.00012392597488433576
1561,Rolando Mandragora,MF,Udinese,it Serie A,21,32.4,0.0,0.0308641975308642,0.5246913580246914,47.9320987654321,0.0308641975308642,0.00033785663749175235
1562,Mario Mandžukić,FW,Juventus,it Serie A,32,22.4,0.0,0.13392857142857142,0.8035714285714286,36.29464285714286,0.13392857142857142,0.0009884027411702688
1563,Sadio Mané,FW,Liverpool,eng Premier League,26,34.2,0.3216374269005848,0.23391812865497075,3.216374269005848,49.1812865497076,0.5555555555555555,0.0019122320267573412
1564,Thomas Mangani,MF,Angers,fr Ligue 1,31,17.8,0.056179775280898875,0.056179775280898875,1.2921348314606742,77.41573033707864,0.11235955056179775,0.0009376885569380799
1565,Kostas Manolas,DF,Roma,it Serie A,27,25.8,0.03875968992248062,0.0,0.19379844961240308,50.15503875968992,0.03875968992248062,0.00014976696260618477
1572,Faitout Maouassa,DF,Nîmes,fr Ligue 1,20,23.7,0.2109704641350211,0.2109704641350211,2.236286919831224,53.88185654008439,0.4219409282700422,0.0017512035394136442
1575,Marcelo,DF,Real Madrid,es La Liga,30,20.6,0.24271844660194172,0.0,2.5728155339805823,84.70873786407766,0.24271844660194172,0.0014743928561493308
1576,Marcelo,DF,Lyon,fr Ligue 1,31,32.0,0.0,0.03125,0.28125,84.6875,0.03125,0.00010378228782287823
1577,Solly March,"FW,MF",Brighton,eng Premier League,24,27.4,0.25547445255474455,0.21897810218978103,2.445255474452555,45.69343065693431,0.4744525547445256,0.0019530794524381429
1579,Gian Marco Ferrari,DF,Sassuolo,it Serie A,26,31.0,0.0,0.03225806451612903,0.3548387096774194,69.61290322580645,0.03225806451612903,0.0001644294298783222
1580,Óscar de Marcos,"DF,FW",Athletic Club,es La Liga,29,26.9,0.07434944237918216,0.03717472118959108,1.0780669144981414,59.85130111524164,0.11152416356877325,0.0006696067791913921
1581,Georg Margreitter,DF,Nürnberg,de Bundesliga,29,22.9,0.0,0.04366812227074236,0.26200873362445415,64.58515283842794,0.04366812227074236,0.0001771526258447966
1583,José María Giménez,DF,Atlético Madrid,es La Liga,23,19.7,0.0,0.0,0.4568527918781726,49.69543147208122,0.0,0.0004666524942575818
1587,Adrian Mariappa,DF,Watford,eng Premier League,31,21.4,0.0,0.0,0.14018691588785048,52.10280373831776,0.0,0.00012572817568417082
1588,Jordan Marié,MF,Dijon,fr Ligue 1,26,20.0,0.05,0.05,0.95,54.45,0.1,0.0008723599632690542
1591,Guillermo Maripán,DF,Alavés,es La Liga,24,22.3,0.0,0.04484304932735426,0.22421524663677128,43.228699551569505,0.04484304932735426,0.00023258843012113203
1594,Marquinhos,"DF,MF",Paris S-G,fr Ligue 1,24,29.9,0.0,0.033444816053511704,0.4682274247491639,84.14715719063545,0.033444816053511704,0.00018609993034545463
1595,Roger Martí,FW,Levante,es La Liga,27,21.0,0.14285714285714285,0.2857142857142857,1.4761904761904763,28.428571428571427,0.42857142857142855,0.0024726808646406634
1596,Anthony Martial,FW,Manchester Utd,eng Premier League,22,18.0,0.3888888888888889,0.4444444444444444,3.1666666666666665,54.333333333333336,0.8333333333333334,0.0032379004771642805
1597,Aarón Martín,DF,Mainz 05,de Bundesliga,21,32.0,0.09375,0.03125,1.65625,63.59375,0.125,0.0008138820638820638
1598,Jonas Martin,MF,Strasbourg,fr Ligue 1,28,22.9,0.17467248908296945,0.08733624454148473,1.5283842794759825,76.41921397379913,0.26200873362445415,0.0008733624454148472
1600,Iñigo Martínez,DF,Athletic Club,es La Liga,27,32.2,0.0,0.06211180124223602,0.18633540372670807,54.93788819875776,0.06211180124223602,0.00010533374998683327
1603,Pablo Martinez,DF,Strasbourg,fr Ligue 1,29,31.3,0.06389776357827476,0.06389776357827476,0.25559105431309903,60.638977635782744,0.12779552715654952,0.00013466335843682773
1606,Adam Marušić,"DF,MF",Lazio,it Serie A,25,23.5,0.0851063829787234,0.0851063829787234,2.6808510638297873,51.06382978723404,0.1702127659574468,0.0022340425531914895
1608,Andrea Masiello,DF,Atalanta,it Serie A,32,20.4,0.0,0.04901960784313726,0.14705882352941177,72.00980392156863,0.04901960784313726,0.0001001081167661074
1610,Jordi Masip,GK,Valladolid,es La Liga,29,35.0,0.0,0.0,0.0,34.457142857142856,0.0,0.0
1613,Arthur Masuaku,DF,West Ham,eng Premier League,24,19.5,0.0,0.0,2.2051282051282053,67.12820512820512,0.0,0.0016845899198840374
1614,Jaime Mata,"FW,MF",Getafe,es La Liga,29,27.0,0.1111111111111111,0.18518518518518517,1.6666666666666667,38.333333333333336,0.2962962962962963,0.001610305958132045
1617,Jean-Philippe Mateta,FW,Mainz 05,de Bundesliga,21,27.6,0.39855072463768115,0.18115942028985507,2.3550724637681157,30.76086956521739,0.5797101449275363,0.002773936942011915
1618,Christian Mathenia,GK,Nürnberg,de Bundesliga,26,21.5,0.0,0.0,0.046511627906976744,45.58139534883721,0.0,4.74608448030375e-05
1619,Nemanja Matić,MF,Manchester Utd,eng Premier League,29,27.1,0.03690036900369004,0.0,0.7749077490774907,76.78966789667896,0.03690036900369004,0.0003723727770675112
1620,Joël Matip,DF,Liverpool,eng Premier League,26,17.1,0.05847953216374269,0.05847953216374269,0.4093567251461988,87.71929824561403,0.11695906432748537,0.0002729044834307992
1624,Blaise Matuidi,MF,Juventus,it Serie A,31,26.9,0.0,0.1858736059479554,1.2639405204460967,56.13382899628253,0.1858736059479554,0.0008370467022821832
1629,Philipp Max,"DF,MF",Augsburg,de Bundesliga,24,28.5,0.03508771929824561,0.03508771929824561,0.8070175438596491,51.85964912280702,0.07017543859649122,0.0005460199890796001
1632,Borja Mayoral,FW,Levante,es La Liga,21,18.0,0.05555555555555555,0.16666666666666666,3.3333333333333335,32.27777777777778,0.2222222222222222,0.005737234652897303
1635,Kylian Mbappé,FW,Paris S-G,fr Ligue 1,19,26.0,0.6153846153846154,0.5,5.076923076923077,45.5,1.1153846153846154,0.004291566421743937
1636,Ibrahima Mbaye,DF,Bologna,it Serie A,23,22.3,0.0,0.0,0.8968609865470851,55.51569506726457,0.0,0.0007244434463223628
1645,James McArthur,MF,Crystal Palace,eng Premier League,30,34.0,0.08823529411764706,0.058823529411764705,1.2352941176470589,54.794117647058826,0.14705882352941177,0.0006630671592308421
1646,Alex McCarthy,GK,Southampton,eng Premier League,28,25.0,0.0,0.0,0.04,28.64,0.0,5.58659217877095e-05
1650,Weston McKennie,"MF,DF",Schalke 04,de Bundesliga,19,19.4,0.10309278350515465,0.15463917525773196,1.5463917525773196,49.27835051546392,0.2577319587628866,0.0016175645947461503
1651,Dwight McNeil,"MF,FW",Burnley,eng Premier League,18,17.7,0.11299435028248588,0.11299435028248588,3.2768361581920904,44.802259887005654,0.22598870056497175,0.004132201964933279
1656,Ben Mee,DF,Burnley,eng Premier League,28,38.0,0.02631578947368421,0.0,0.3157894736842105,51.71052631578947,0.02631578947368421,0.00016070711128967456
1657,Riccardo Meggiorini,FW,Chievo,it Serie A,32,17.2,0.05813953488372093,0.23255813953488372,0.6976744186046512,37.73255813953489,0.29069767441860467,0.0010749991041674133
1658,Admir Mehmedi,"FW,MF",Wolfsburg,de Bundesliga,27,18.8,0.0,0.26595744680851063,1.7553191489361701,54.09574468085106,0.26595744680851063,0.0017259775309106885
1659,Soualiho Meïté,MF,Torino,it Serie A,24,29.5,0.23728813559322035,0.1016949152542373,3.1186440677966103,51.6271186440678,0.3389830508474576,0.002047698009058838
1661,Óscar Melendo,"MF,FW",Espanyol,es La Liga,20,22.2,0.13513513513513514,0.13513513513513514,1.981981981981982,49.81981981981982,0.2702702702702703,0.0017920271084828048
1665,Pedro Mendes,DF,Montpellier,fr Ligue 1,27,29.6,0.03378378378378378,0.06756756756756756,0.7432432432432432,53.78378378378378,0.10135135135135134,0.00046686133369550455
1666,Thiago Mendes,MF,Lille,fr Ligue 1,26,34.2,0.029239766081871343,0.029239766081871343,1.5204678362573099,74.41520467836257,0.05847953216374269,0.0005974333344822435
1667,Brais Méndez,"MF,FW",Celta Vigo,es La Liga,21,26.1,0.038314176245210725,0.2681992337164751,2.4521072796934864,60.536398467432946,0.3065134099616858,0.0015519666327173966
1669,Stiven Mendoza,"FW,MF",Amiens,fr Ligue 1,26,20.9,0.28708133971291866,0.3349282296650718,4.545454545454546,48.22966507177034,0.6220095693779905,0.00450937950937951
1672,Edouard Mendy,GK,Reims,fr Ligue 1,26,38.0,0.0,0.0,0.0,32.8421052631579,0.0,0.0
1673,Ferland Mendy,DF,Lyon,fr Ligue 1,23,28.1,0.2846975088967971,0.10676156583629892,2.562277580071174,80.96085409252669,0.39145907473309605,0.0011262758593719446
1674,Nampalys Mendy,MF,Leicester City,eng Premier League,26,23.2,0.0,0.08620689655172414,1.1637931034482758,56.810344827586206,0.08620689655172414,0.000882999319763487
1677,Gabriel Mercado,DF,Sevilla,es La Liga,31,19.3,0.0,0.05181347150259067,0.15544041450777202,49.84455958549223,0.05181347150259067,0.00016158047246130148
1680,Mikel Merino,MF,Real Sociedad,es La Liga,22,22.8,0.08771929824561403,0.2631578947368421,1.8859649122807016,61.44736842105263,0.3508771929824561,0.0013461562543045694
1683,Dries Mertens,FW,Napoli,it Serie A,31,25.0,0.4,0.16,1.96,46.52,0.56,0.0016852966466036111
1684,Roque Mesa,MF,Sevilla,es La Liga,29,19.4,0.10309278350515465,0.15463917525773196,1.6494845360824744,60.30927835051547,0.2577319587628866,0.0014098158428055337
1685,Lionel Messi,FW,Barcelona,es La Liga,31,30.1,1.1627906976744184,0.9302325581395349,8.073089700996677,79.56810631229236,2.093023255813953,0.0033708098960320153
1687,Thomas Meunier,"DF,MF",Paris S-G,fr Ligue 1,26,17.9,0.0558659217877095,0.0558659217877095,1.11731843575419,63.743016759776545,0.111731843575419,0.0009792449042543296
1688,Mexer,DF,Rennes,fr Ligue 1,29,27.4,0.0,0.0,0.5839416058394161,54.197080291970806,0.0,0.0003932266705989334
1692,Míchel,MF,Valladolid,es La Liga,30,28.4,0.07042253521126761,0.035211267605633804,1.5140845070422535,70.28169014084507,0.10563380281690142,0.0007585593722656581
1697,Nikola Milenković,DF,Fiorentina,it Serie A,20,33.4,0.029940119760479042,0.029940119760479042,0.3592814371257485,65.26946107784431,0.059880239520958084,0.00016480799868153604
1698,Arkadiusz Milik,FW,Napoli,it Serie A,24,26.6,0.07518796992481203,0.07518796992481203,0.9774436090225563,32.89473684210526,0.15037593984962405,0.001117078410311493
1699,Sergej Milinković-Savić,MF,Lazio,it Serie A,23,26.6,0.07518796992481203,0.07518796992481203,2.857142857142857,69.88721804511277,0.15037593984962405,0.0015369246138476906
1701,Luka Milivojević,MF,Crystal Palace,eng Premier League,27,38.0,0.0,0.07894736842105263,0.7368421052631579,67.47368421052632,0.07894736842105263,0.00028737991624928157
1704,James Milner,"MF,DF",Liverpool,eng Premier League,32,19.9,0.30150753768844224,0.10050251256281408,1.0552763819095479,91.70854271356785,0.4020100502512563,0.0005782336339230399
1705,Santi Mina,FW,Valencia,es La Liga,22,20.6,0.14563106796116504,0.1941747572815534,1.6990291262135921,36.213592233009706,0.3398058252427184,0.002277518935943153
1710,Jorge Miramón,DF,Huesca,es La Liga,29,27.7,0.07220216606498195,0.036101083032490974,1.8050541516245489,58.8086642599278,0.10830324909747292,0.001108074985650429
1713,Virgil Misidjan,"FW,MF",Nürnberg,de Bundesliga,25,17.1,0.23391812865497075,0.29239766081871343,6.31578947368421,39.88304093567251,0.5263157894736842,0.009260688377836085
1714,Simone Missiroli,MF,SPAL,it Serie A,32,30.5,0.06557377049180328,0.06557377049180328,1.3442622950819672,59.868852459016395,0.13114754098360656,0.0007361786939112635
1717,Aleksandar Mitrović,FW,Fulham,eng Premier League,23,36.4,0.30219780219780223,0.13736263736263737,1.620879120879121,43.24175824175824,0.43956043956043955,0.001029783431308209
1718,Stefan Mitrović,DF,Strasbourg,fr Ligue 1,28,33.6,0.0,0.0,0.05952380952380952,49.64285714285714,0.0,3.568573712458604e-05
1719,Maximilian Mittelstädt,"DF,MF",Hertha BSC,de Bundesliga,21,20.0,0.0,0.0,2.1,58.75,0.0,0.0017872340425531916
1720,Henrikh Mkhitaryan,"FW,MF",Arsenal,eng Premier League,29,18.2,0.0,0.0,2.8021978021978025,62.472527472527474,0.0,0.002464553915741251
1721,Luka Modrić,MF,Real Madrid,es La Liga,32,29.0,0.13793103448275862,0.13793103448275862,3.1379310344827585,78.10344827586206,0.27586206896551724,0.001385400015224176
1723,Niklas Moisander,DF,Werder Bremen,de Bundesliga,32,29.3,0.0,0.0,0.6484641638225256,75.97269624573379,0.0,0.0002913136405312334
1726,Jorge Molina,FW,Getafe,es La Liga,36,29.4,0.3741496598639456,0.1360544217687075,2.0408163265306123,38.02721088435374,0.5102040816326531,0.0018254171078091344
1729,Florent Mollet,"MF,FW",Montpellier,fr Ligue 1,26,28.5,0.17543859649122806,0.07017543859649122,2.280701754385965,63.96491228070175,0.24561403508771928,0.0012510706277487466
1731,Thomas Monconduit,MF,Amiens,fr Ligue 1,27,31.3,0.06389776357827476,0.12779552715654952,2.07667731629393,59.201277955271564,0.19169329073482427,0.0011207109100345007
1733,Nacho Monreal,DF,Arsenal,eng Premier League,32,20.7,0.0,0.04830917874396135,0.6763285024154589,72.41545893719807,0.04830917874396135,0.0004511864592498059
1736,Martín Montoya,DF,Brighton,eng Premier League,27,24.1,0.0,0.12448132780082986,0.871369294605809,58.13278008298755,0.12448132780082986,0.000621962380161177
1737,Aaron Mooy,"MF,FW",Huddersfield,eng Premier League,27,25.9,0.07722007722007722,0.0,2.0463320463320462,66.71814671814673,0.07722007722007722,0.0011842199342199343
1747,Álex Moreno,DF,Rayo Vallecano,es La Liga,25,34.8,0.1149425287356322,0.0574712643678161,3.0459770114942533,57.55747126436782,0.1724137931034483,0.0015207074445802561
1748,Gerard Moreno,FW,Villarreal,es La Liga,26,25.7,0.27237354085603116,0.038910505836575876,3.3073929961089497,43.15175097276265,0.311284046692607,0.002982320104696979
1749,Héctor Moreno,DF,Real Sociedad,es La Liga,30,21.5,0.0,0.0,0.13953488372093023,64.32558139534883,0.0,0.00010089290218433133
1751,Emiliano Moretti,DF,Torino,it Serie A,37,22.3,0.0,0.04484304932735426,0.22421524663677128,55.11210762331839,0.04484304932735426,0.00018243714128297095
1752,Wes Morgan,DF,Leicester City,eng Premier League,34,21.4,0.0,0.0,0.14018691588785048,52.38317757009346,0.0,0.0001250552327277881
1754,Loren Morón,FW,Betis,es La Liga,24,21.7,0.09216589861751152,0.4608294930875576,2.71889400921659,31.52073732718894,0.5529953917050692,0.003974991241544722
1755,Sean Morrison,DF,Cardiff City,eng Premier League,27,33.8,0.02958579881656805,0.0,0.38461538461538464,37.8698224852071,0.02958579881656805,0.00030048076923076925
1758,Lebo Mothiba,FW,Strasbourg,fr Ligue 1,22,19.7,0.25380710659898476,0.10152284263959391,0.050761421319796954,3.248730964467005,0.3553299492385787,0.0007931472081218274
1759,François Moubandje,DF,Toulouse,fr Ligue 1,28,21.5,0.0,0.09302325581395349,1.7674418604651163,57.58139534883721,0.09302325581395349,0.0014276590149152797
1761,Steve Mounié,FW,Huddersfield,eng Premier League,23,19.8,0.050505050505050504,0.15151515151515152,1.0606060606060606,40.0,0.20202020202020202,0.0013391490664217936
1762,Lucas Moura,"FW,MF",Tottenham,eng Premier League,25,23.6,0.3389830508474576,0.3389830508474576,3.516949152542373,45.63559322033898,0.6779661016949152,0.0032655052484144597
1765,João Moutinho,MF,Wolves,eng Premier League,31,33.7,0.0,0.029673590504451036,0.6231454005934718,70.71216617210682,0.029673590504451036,0.00026149618153313965
1766,Samuel Moutoussamy,"MF,FW",Nantes,fr Ligue 1,21,18.3,0.0546448087431694,0.1092896174863388,1.530054644808743,45.73770491803278,0.16393442622950818,0.00182802227575716
1769,Javi Moyano,DF,Valladolid,es La Liga,32,23.3,0.0,0.04291845493562232,0.38626609442060084,50.557939914163086,0.04291845493562232,0.00032789991037402447
1772,Lukas Mühl,DF,Nürnberg,de Bundesliga,21,31.0,0.03225806451612903,0.0,0.16129032258064516,58.064516129032256,0.03225806451612903,8.960573476702509e-05
1774,Benoît Mukinayi,DF,Monaco,fr Ligue 1,17,19.6,0.0,0.0510204081632653,0.1530612244897959,62.60204081632653,0.0510204081632653,0.00012474427423781248
1775,Florian Müller,GK,Mainz 05,de Bundesliga,20,24.0,0.0,0.0,0.041666666666666664,37.5,0.0,4.6296296296296294e-05
1778,Thomas Müller,"MF,FW",Bayern Munich,de Bundesliga,28,26.4,0.30303030303030304,0.1893939393939394,1.4015151515151516,58.939393939393945,0.49242424242424243,0.0009007166783516398
1780,Iker Muniain,"FW,MF",Athletic Club,es La Liga,25,26.5,0.18867924528301888,0.2641509433962264,3.4716981132075473,58.339622641509436,0.4528301886792453,0.00224560033195831
1792,Josh Murphy,"FW,MF",Cardiff City,eng Premier League,23,20.2,0.297029702970297,0.39603960396039606,5.0495049504950495,35.1980198019802,0.6930693069306931,0.007101976020386849
1794,Glenn Murray,FW,Brighton,eng Premier League,34,27.9,0.03584229390681004,0.17921146953405018,0.7526881720430108,33.727598566308245,0.21505376344086022,0.0007998811605132953
1795,Nicola Murru,DF,Sampdoria,it Serie A,23,32.6,0.06134969325153374,0.0,1.1042944785276072,72.45398773006134,0.06134969325153374,0.000467525181425744
1796,Mateo Musacchio,DF,Milan,it Serie A,27,29.0,0.0,0.034482758620689655,0.3793103448275862,68.27586206896552,0.034482758620689655,0.00019157088122605365
1798,Juan Musso,GK,Udinese,it Serie A,24,29.0,0.0,0.0,0.0,33.689655172413794,0.0,0.0
1799,Shkodran Mustafi,DF,Arsenal,eng Premier League,26,29.0,0.0,0.0,0.5172413793103449,73.37931034482759,0.0,0.0002430645579465906
1800,Damián Musto,MF,Huesca,es La Liga,31,18.7,0.0,0.10695187165775401,0.16042780748663102,53.68983957219252,0.10695187165775401,0.00015978865287513049
1804,Obite N'Dicka,DF,Eint Frankfurt,de Bundesliga,18,25.6,0.0,0.0,0.46875,55.390625,0.0,0.00033057122708039495
1807,Cheikh N'Doye,MF,Angers,fr Ligue 1,32,25.9,0.03861003861003861,0.23166023166023167,1.1583011583011584,44.942084942084946,0.2702702702702703,0.000995104087887593
1813,Nacho,DF,Real Madrid,es La Liga,28,18.9,0.052910052910052914,0.0,0.8994708994708995,64.23280423280424,0.052910052910052914,0.0007409150736992583
1814,Nacho,DF,Valladolid,es La Liga,29,35.0,0.05714285714285714,0.05714285714285714,0.9428571428571428,63.48571428571429,0.11428571428571428,0.0004243281471004243
1816,Radja Nainggolan,MF,Inter,it Serie A,30,21.9,0.22831050228310504,0.13698630136986303,2.2831050228310503,58.44748858447489,0.36529680365296807,0.0017836757990867581
1822,Matija Nastasić,DF,Schalke 04,de Bundesliga,25,27.2,0.0,0.0,0.0,54.779411764705884,0.0,0.0
1824,Ximo Navarro,DF,Alavés,es La Liga,28,28.1,0.14234875444839856,0.10676156583629892,0.9964412811387899,47.93594306049822,0.24911032028469748,0.000739748538336147
1825,Jesús Navas,"DF,MF",Sevilla,es La Liga,32,30.1,0.16611295681063123,0.0,1.9601328903654485,69.5016611295681,0.16611295681063123,0.000936966008778895
1828,Wilfred Ndidi,MF,Leicester City,eng Premier League,21,36.6,0.08196721311475409,0.0,1.4207650273224044,69.69945355191257,0.08196721311475409,0.0005569443462651526
1831,Tanguy Ndombele,MF,Lyon,fr Ligue 1,21,29.9,0.06688963210702341,0.26755852842809363,2.9096989966555187,77.4247491638796,0.33444816053511706,0.0012568894154019517
1834,Neto,GK,Valencia,es La Liga,29,34.0,0.0,0.0,0.0,26.676470588235293,0.0,0.0
1836,Manuel Neuer,GK,Bayern Munich,de Bundesliga,32,25.6,0.0,0.0,0.0390625,36.7578125,0.0,4.151168969181721e-05
1837,Florian Neuhaus,MF,M'Gladbach,de Bundesliga,21,22.9,0.2183406113537118,0.30567685589519655,2.532751091703057,51.7467248908297,0.5240174672489083,0.002137342693420301
1838,Rúben Neves,MF,Wolves,eng Premier League,21,33.4,0.029940119760479042,0.0,0.62874251497006,69.64071856287426,0.029940119760479042,0.0002703106255245314
1841,Moussa Niakhate,DF,Mainz 05,de Bundesliga,22,31.0,0.0,0.03225806451612903,0.2903225806451613,59.193548387096776,0.03225806451612903,0.00015821394040608247
1842,M'Baye Niang,FW,Rennes,fr Ligue 1,23,19.9,0.20100502512562815,0.4020100502512563,3.0150753768844223,36.381909547738694,0.6030150753768845,0.004164468752602793
1848,Saúl Ñíguez,"MF,DF",Atlético Madrid,es La Liga,23,32.5,0.12307692307692308,0.12307692307692308,2.3692307692307693,62.83076923076923,0.24615384615384617,0.001160250131846606
1850,Casimir Ninga,"FW,MF",Caen,fr Ligue 1,25,27.4,0.3284671532846716,0.18248175182481752,5.291970802919709,38.54014598540146,0.5109489051094891,0.00501133598761336
1852,Nicolas Nkoulou,DF,Torino,it Serie A,28,35.7,0.028011204481792715,0.0,0.3361344537815126,50.168067226890756,0.028011204481792715,0.00018767976202206175
1854,Mark Noble,MF,West Ham,eng Premier League,31,25.5,0.0392156862745098,0.11764705882352941,0.8627450980392157,68.15686274509804,0.1568627450980392,0.0004964010920824026
1861,Alexander Nübel,GK,Schalke 04,de Bundesliga,21,17.6,0.0,0.0,0.056818181818181816,31.98863636363636,0.0,0.00010092039399321814
1865,Bram Nuytinck,DF,Udinese,it Serie A,28,23.6,0.0,0.0,0.0847457627118644,48.347457627118644,0.0,7.42732363820021e-05
1867,Allan Nyom,DF,Leganés,es La Liga,30,19.0,0.10526315789473684,0.0,1.2105263157894737,42.578947368421055,0.10526315789473684,0.0014963242469585585
1868,Steven Nzonzi,MF,Roma,it Serie A,29,29.1,0.0,0.0,0.8591065292096219,66.66666666666666,0.0,0.0004428384171183618
1875,Jan Oblak,GK,Atlético Madrid,es La Liga,25,37.0,0.0,0.0,0.02702702702702703,24.972972972972972,0.0,2.925002925002925e-05
1876,Lucas Ocampos,"FW,MF",Marseille,fr Ligue 1,24,30.1,0.16611295681063123,0.23255813953488372,5.282392026578073,48.57142857142857,0.39867109634551495,0.0036131272411614726
1877,Bastian Oczipka,DF,Schalke 04,de Bundesliga,29,20.8,0.04807692307692307,0.09615384615384615,1.971153846153846,60.76923076923077,0.14423076923076922,0.0015594571567672832
1879,Denis Odoi,DF,Fulham,eng Premier League,30,28.8,0.0,0.034722222222222224,0.9722222222222222,62.04861111111111,0.034722222222222224,0.0005440527264813778
1881,Angelo Ogbonna,DF,West Ham,eng Premier League,30,20.8,0.0,0.04807692307692307,0.09615384615384615,48.84615384615385,0.04807692307692307,9.463961235614779e-05
1890,Oier Olazábal,GK,Levante,es La Liga,28,21.0,0.0,0.0,0.0,30.857142857142858,0.0,0.0
1891,Kiko Olivas,DF,Valladolid,es La Liga,29,34.4,0.0,0.0,0.5813953488372093,49.50581395348837,0.0,0.00034139480260552514
1892,Paulo Oliveira,DF,Eibar,es La Liga,26,24.9,0.0,0.0,0.040160642570281124,50.32128514056225,0.0,3.205159023964975e-05
1895,Robin Olsen,GK,Roma,it Serie A,28,27.0,0.0,0.0,0.0,33.81481481481482,0.0,0.0
1898,Kenneth Omeruo,DF,Leganés,es La Liga,24,27.0,0.037037037037037035,0.0,0.3333333333333333,46.96296296296296,0.037037037037037035,0.0002628811777076761
1899,Prince Oniangué,MF,Caen,fr Ligue 1,29,26.0,0.038461538461538464,0.0,0.6153846153846154,46.76923076923077,0.038461538461538464,0.0005060728744939271
1903,Willi Orban,DF,RB Leipzig,de Bundesliga,25,22.8,0.0,0.0,0.13157894736842105,57.63157894736842,0.0,0.00010013618521188816
1904,Fabián Orellana,"MF,FW",Eibar,es La Liga,32,30.4,0.7565789473684211,0.3618421052631579,6.644736842105264,59.24342105263158,1.118421052631579,0.0036894707618574476
1906,Riccardo Orsolini,"FW,MF",Bologna,it Serie A,21,21.8,0.2293577981651376,0.36697247706422015,3.4862385321100917,50.825688073394495,0.5963302752293578,0.003146424667969397
1911,Otávio,MF,Bordeaux,fr Ligue 1,24,31.9,0.0,0.09404388714733543,0.9404388714733543,70.50156739811912,0.09404388714733543,0.00041815868006818776
1913,Remi Oudin,FW,Reims,fr Ligue 1,21,29.0,0.20689655172413793,0.034482758620689655,1.4137931034482758,41.310344827586206,0.2413793103448276,0.0011801277992055726
1917,Mikel Oyarzabal,"FW,MF",Real Sociedad,es La Liga,21,35.0,0.2857142857142857,0.17142857142857143,3.257142857142857,42.371428571428574,0.45714285714285713,0.0021963202003660535
1918,Ambroise Oyongo,"DF,MF",Montpellier,fr Ligue 1,27,23.7,0.16877637130801687,0.04219409282700422,2.3628691983122363,58.52320675105486,0.2109704641350211,0.0017035826952503505
1921,Mesut Özil,"MF,FW",Arsenal,eng Premier League,29,19.3,0.05181347150259067,0.0,1.6062176165803108,69.22279792746114,0.05181347150259067,0.0012022586950451429
1924,Pablo,DF,Bordeaux,fr Ligue 1,27,21.5,0.0,0.0,0.37209302325581395,59.02325581395349,0.0,0.00029321751241592905
1925,Fernando Pacheco,GK,Alavés,es La Liga,26,35.0,0.0,0.0,0.0,32.82857142857143,0.0,0.0
1927,Simone Padoin,"DF,MF",Cagliari,it Serie A,34,21.3,0.0,0.046948356807511735,0.704225352112676,57.46478873239437,0.046948356807511735,0.0005753475098959771
1932,Rodrigo Palacio,FW,Bologna,it Serie A,36,25.9,0.19305019305019305,0.23166023166023167,3.1660231660231664,45.94594594594595,0.42471042471042475,0.0026605236689270307
1934,Sergi Palencia,DF,Bordeaux,fr Ligue 1,22,22.1,0.09049773755656108,0.04524886877828054,1.3122171945701357,63.98190045248868,0.13574660633484162,0.0009280178179421044
1935,Nicolas Pallois,DF,Nantes,fr Ligue 1,30,24.0,0.0,0.041666666666666664,1.25,56.125,0.041666666666666664,0.0009279881217520415
1940,Sokratis Papastathopoulos,DF,Arsenal,eng Premier League,30,24.4,0.0819672131147541,0.04098360655737705,0.3278688524590164,65.98360655737706,0.12295081967213116,0.00020364524997454437
1946,Daniel Parejo,MF,Valencia,es La Liga,29,34.0,0.058823529411764705,0.058823529411764705,1.5294117647058822,80.0,0.11764705882352941,0.0005622837370242215
1948,Marco Parolo,MF,Lazio,it Serie A,33,28.5,0.14035087719298245,0.0,0.5614035087719298,49.824561403508774,0.14035087719298245,0.0003953545836422041
1950,Thomas Partey,MF,Atlético Madrid,es La Liga,25,23.0,0.13043478260869565,0.17391304347826086,2.4347826086956523,72.3913043478261,0.30434782608695654,0.0014623318971145058
1951,Mario Pašalić,"MF,FW",Atalanta,it Serie A,23,18.0,0.05555555555555555,0.05555555555555555,2.4444444444444446,67.27777777777777,0.1111111111111111,0.002018533810441325
1954,Callum Paterson,"FW,MF",Cardiff City,eng Premier League,23,22.2,0.04504504504504505,0.0900900900900901,0.9009009009009009,36.351351351351354,0.13513513513513514,0.0011163579936814137
1956,Rui Patrício,GK,Wolves,eng Premier League,30,37.0,0.0,0.0,0.0,24.72972972972973,0.0,0.0
1958,Gabriel Paulista,DF,Valencia,es La Liga,27,29.1,0.0,0.0,0.1718213058419244,55.60137457044673,0.0,0.0001061936377267765
1959,Benjamin Pavard,DF,Stuttgart,de Bundesliga,22,29.0,0.0,0.0,0.6551724137931034,63.758620689655174,0.0,0.0003543387851774491
