Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY
Pass,18,42,95408,26,Successful,13.8,72.1,21.9,60
Pass,18,47,115916,26,Successful,29.1,55.7,24.7,67.9
Pass,18,49,95408,26,Successful,24.7,67.9,31.7,93
Pass,18,51,115726,26,Successful,31.3,94.8,29.3,72.6
Pass,18,55,95408,26,Successful,32.0,62.7,33.6,39.1
Pass,18,57,136451,26,Successful,35.6,34.0,47.2,2.8
Pass,19,0,386969,26,Unsuccessful,47.2,2.8,72.5,14.9
BallRecovery,19,3,297403,13,Successful,28.9,88.7,,
Pass,19,3,297403,13,Unsuccessful,28.7,88.7,25.7,86.4
BlockedPass,19,3,96182,26,Successful,71.7,17.0,,
BallRecovery,19,5,96182,26,Successful,69.0,18.9,,
Pass,19,10,96182,26,Successful,68.2,38.0,70.5,25.6
Pass,19,11,33568,26,Successful,70.5,25.6,74.6,21.6
Pass,19,14,108226,26,Unsuccessful,84.6,20.4,100,12.9
Pass,19,41,102248,13,Unsuccessful,4.7,51.3,65.5,77.3
Pass,19,45,136451,26,Unsuccessful,32.3,23.1,42.9,32
BallTouch,19,48,255169,13,Unsuccessful,56.1,68.3,,
BallRecovery,19,48,33568,26,Successful,46.6,46.0,,
Pass,19,48,33568,26,Successful,46.6,46.0,45,52.4
Pass,19,49,4511,26,Successful,44.6,50.7,56.1,53.8
Pass,19,52,96182,26,Unsuccessful,58.4,63.1,53.4,71.5
BallRecovery,19,54,367185,13,Successful,47.9,26.4,,
Pass,19,55,367185,13,Successful,52.8,13.3,41,7.9
Pass,19,56,125211,13,Successful,41.0,7.9,44.1,16.4
Pass,19,57,125209,13,Successful,44.2,16.6,39.5,31.1
Pass,20,0,89401,13,Successful,38.3,34.6,51.1,59.4
Pass,20,4,255169,13,Successful,53.5,62.9,63.2,91.4
Pass,20,7,44120,13,Successful,64.0,92.1,87.1,97.8
Pass,20,12,297403,13,Successful,85.2,93.6,76.8,93.5
Pass,20,15,44120,13,Successful,76.7,93.9,62.1,89.4
Pass,20,17,255169,13,Successful,60.5,89.4,53.4,68.7
Pass,20,20,27586,13,Successful,54.1,64.7,78.7,97.5
Pass,20,24,297403,13,Unsuccessful,80.9,94.4,91.9,47.8
Claim,20,26,114147,26,Successful,7.3,53.0,,
Pass,20,37,114147,26,Successful,14.4,52.8,18.2,43.7
Pass,20,41,136451,26,Successful,19.5,36.1,36.9,2.8
Pass,20,47,386969,26,Successful,54.3,4.7,39.6,13.4
Pass,20,52,136451,26,Successful,37.4,19.5,34.8,53
Pass,20,54,95408,26,Successful,36.0,54.9,37.8,28.5
Pass,21,0,136451,26,Successful,46.3,33.7,43.8,63.4
Pass,21,3,95408,26,Successful,48.2,68.1,61.4,94.4
Pass,21,7,115726,26,Successful,62.2,96.0,72,74.2
Pass,21,10,109915,26,Successful,70.8,89.7,74.1,94.8
Pass,21,11,115726,26,Successful,74.1,94.8,74,76.6
Pass,21,11,4511,26,Successful,74.0,76.6,69.5,76.4
Pass,21,14,96182,26,Successful,71.1,68.6,84.9,24.6
SavedShot,21,18,386969,26,Successful,82.3,28.3,,
Save,21,18,255169,13,Successful,15.0,70.4,,
SavedShot,21,20,4511,26,Successful,78.8,56.1,,
Save,21,20,125209,13,Successful,19.5,46.0,,
Pass,21,23,95408,26,Successful,56.9,58.7,60,37.1
Pass,21,25,136451,26,Successful,60.0,32.7,66.7,2.6
Pass,21,29,108226,26,Successful,67.0,3.2,87.2,25.8
Pass,21,32,4511,26,Unsuccessful,88.8,31.6,92,48.9
Clearance,21,33,288795,13,Successful,7.3,50.7,13.7,77.1
Clearance,21,35,255169,13,Successful,14.1,76.7,22.1,94
Pass,21,36,44120,13,Unsuccessful,20.8,91.3,34.3,100
Pass,21,48,386969,26,Successful,58.4,0.0,58.4,8
Pass,21,50,115916,26,Successful,58.6,7.3,45.6,5.3
Pass,21,51,136451,26,Successful,45.3,7.9,43.7,32.7
Pass,21,56,95408,26,Successful,45.6,40.2,44.9,16.9
Pass,21,59,136451,26,Successful,45.9,16.5,63.4,3.1
Pass,22,3,386969,26,Successful,65.1,12.5,47.8,47.5
Pass,22,6,95408,26,Successful,52.5,48.7,66.7,90.9
Pass,22,10,115726,26,Successful,64.4,74.2,73.2,53
Pass,22,12,33568,26,Successful,72.8,50.4,76.8,60.5
