,Event,Minute,Second,Player,Team,Outcome,X,Y,endX,endY,passtype,Recipient,Pass Recipient Name,Player Name
40,Pass,2,38,115726,26,Unsuccessful,86.5,74.0,90.2,55.7,OpenPlay,,,Andrew Robertson
41,Pass,2,43,4511,26,Unsuccessful,69.5,85.5,67,100,OpenPlay,,,James Milner
42,Pass,3,3,125211,13,Successful,28.9,0.0,29.7,7.4,ThrowIn,125209.0,Mohamed Elneny,Héctor Bellerín
43,Pass,3,4,125209,13,Successful,29.7,7.4,28.3,1.6,OpenPlay,125211.0,Héctor Bellerín,Mohamed Elneny
44,Pass,3,6,125211,13,Successful,28.4,4.0,23,4.9,OpenPlay,367185.0,Bukayo Saka,Héctor Bellerín
45,Pass,3,6,367185,13,Successful,26.2,5.6,36.9,5.4,OpenPlay,125209.0,Mohamed Elneny,Bukayo Saka
46,Pass,3,8,125209,13,Successful,34.9,3.6,32.9,16.1,OpenPlay,125211.0,Héctor Bellerín,Mohamed Elneny
47,Pass,3,9,125211,13,Successful,32.6,13.9,39.7,14.3,OpenPlay,367185.0,Bukayo Saka,Héctor Bellerín
48,Pass,3,12,367185,13,Successful,38.3,39.2,32.1,62.4,OpenPlay,297403.0,Kieran Tierney,Bukayo Saka
49,Pass,3,15,297403,13,Unsuccessful,32.6,65.1,85.8,74.1,OpenPlay,,,Kieran Tierney
50,Pass,3,21,114147,26,Successful,12.5,34.2,21.4,67.8,OpenPlay,95408.0,Virgil van Dijk,Alisson
51,Pass,3,23,95408,26,Successful,22.1,68.6,25.1,93.8,OpenPlay,115726.0,Andrew Robertson,Virgil van Dijk
52,Pass,3,26,115726,26,Successful,26.1,92.7,21.9,63.3,OpenPlay,95408.0,Virgil van Dijk,Andrew Robertson
53,Pass,3,28,95408,26,Successful,20.9,62.3,5.3,50.3,OpenPlay,114147.0,Alisson,Virgil van Dijk
54,Pass,3,32,114147,26,Unsuccessful,9.5,42.1,43.8,49.9,OpenPlay,,,Alisson
55,Pass,3,34,27586,13,Successful,56.5,45.1,45.8,41.8,OpenPlay,288795.0,Rob Holding,David Luiz
56,Pass,3,37,288795,13,Successful,45.9,54.5,44.2,87.6,OpenPlay,255169.0,Ainsley Maitland-Niles,Rob Holding
57,Pass,3,40,255169,13,Successful,45.0,88.7,56.2,98.7,OpenPlay,44120.0,Pierre-Emerick Aubameyang,Ainsley Maitland-Niles
58,Pass,3,43,44120,13,Successful,53.9,97.2,47,75,OpenPlay,89401.0,Granit Xhaka,Pierre-Emerick Aubameyang
