id,playerId,teamId,matchId,matchPeriod,eventSec,eventId,subEventId,StartX,StartY,EndX,EndY,accurate,recipientId,carryStartX,carryStartY,isCarry,carryStart,carryEnd,carryId,carryXGain,Position,Formation,lost,not_accurate,won,Right,blocked,interception,high,neutral,take_on_r,take_on_l,sliding_tackle,yellow_card,keypass,free_space_l,free_space_r,Left,counter_attack,anticipation,anticipated,Goal,opportunity,gr,through,or,olb,direct,glb,gtl,head_body,ot,missed_ball,assist,gt,gl,gc,gb,red_card,otr,otl,eventOrder,Feint,gbr,obr,dangerous_ball_lost,gtr,pbr,ol,pl,fairplay,pt,plb,ptr,ptl,second_yellow_card,own_goal,indirect,pr,seasonId,leagueId,recipientPosition,id,xG,seasonId
525975523,448597,10531,2830888,2,184.19322499999998,10,100,87,66,0,0,0,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NULL,0,0,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,0,0,897,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,525975523,0.19189176837922964,185728
525975651,448597,10531,2830888,2,545.7682100000002,10,100,91,53,0,0,0,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NULL,0,0,NULL,0,0,0,0,NULL,NULL,NULL,0,NULL,0,0,1009,NULL,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,525975651,0.1935500286198586,185728
615034872,448597,10531,2831084,1,864.095553,10,100,98,43,0,0,0,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,0,0,0,0,0,1,NULL,0,0,NULL,0,NULL,NULL,NULL,0,0,292,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,1,NULL,NULL,NULL,NULL,185728,346,0,615034872,0.16438617153729282,185728
615034929,448597,10531,2831084,1,1049.349817,10,100,97,45,0,0,1,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NULL,0,0,0,0,1,0,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,0,338,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,185728,346,0,615034929,0.3652560461106328,185728
615034965,448597,10531,2831084,1,1206.761506,10,100,92,41,0,0,1,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NULL,0,0,0,0,0,1,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,0,375,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,185728,346,0,615034965,0.23524974004436294,185728
615035144,448597,10531,2831084,1,2069.662285,10,100,82,64,0,0,0,0,82,69,0,0,1,121,0,cf,4-2-3-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NULL,0,0,0,0,0,0,0,NULL,0,0,NULL,0,NULL,NULL,NULL,0,1,565,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,185728,346,0,615035144,0.04137183878238138,185728
619891266,448597,10531,2831100,2,1334.0014730000003,10,100,96,47,0,0,0,0,0,0,0,0,0,-1,0,cf,4-4-1-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NULL,0,NULL,NULL,1,0,0,0,NULL,NULL,0,0,0,NULL,1,1246,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,619891266,0.17492147667916905,185728
621883748,448597,10531,2831108,1,1624.860375,10,100,96,56,0,0,1,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NULL,NULL,0,0,0,0,NULL,1,0,NULL,NULL,0,0,413,0,NULL,0,0,0,0,0,NULL,0,NULL,NULL,NULL,0,NULL,0,NULL,NULL,185728,346,0,621883748,0.3635640550615931,185728
621885223,448597,10531,2831108,2,1231.7117710000002,3,33,77,37,0,0,0,0,0,0,0,0,0,-1,0,cf,4-2-3-1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,NULL,NULL,0,0,0,0,NULL,0,0,NULL,NULL,0,0,1131,0,NULL,0,0,0,0,0,NULL,0,NULL,NULL,NULL,1,NULL,0,NULL,NULL,185728,346,0,NULL,NULL,NULL
626599183,448597,10531,2831125,1,2350.034802,3,33,75,70,0,0,0,0,0,0,0,0,0,-1,0,cf,3-4-1-2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NULL,0,NULL,0,1,NULL,NULL,0,0,0,0,NULL,NULL,0,0,NULL,1,NULL,692,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,185728,346,0,NULL,NULL,NULL
