Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,eng Premier League,28,1990,27.9,1839,95,529,883,532,51,1458,18,36,50.0,18,2,1000,5651,3130,1079,994,92.1,21,16,Matches
2,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,19,2000,36.0,2133,178,803,903,594,52,1821,49,94,52.1,55,2,1321,9483,5431,1399,1244,88.9,39,48,Matches
3,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,31,1987,28.0,1856,256,1131,801,61,27,1782,21,26,80.8,21,0,1201,7673,4306,1266,1236,97.6,12,8,Matches
4,Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,de Bundesliga,22,1996,1.7,62,1,9,22,33,10,62,2,4,50.0,3,1,37,279,177,77,39,50.6,6,2,Matches
5,Mehdi Abeid,dz ALG,MF,Nantes,fr Ligue 1,26,1992,20.2,1176,22,211,754,283,20,1091,12,22,54.5,12,0,782,4298,2116,854,759,88.9,14,26,Matches
6,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,19,2000,6.9,208,7,18,108,95,23,196,16,21,76.2,16,0,136,938,492,309,142,46.0,25,12,Matches
7,David Abraham,ar ARG,DF,Eint Frankfurt,de Bundesliga,33,1986,18.8,1072,108,481,588,87,11,1021,9,11,81.8,11,1,662,4121,2352,639,619,96.9,6,2,Matches
8,Tammy Abraham,eng ENG,FW,Chelsea,eng Premier League,21,1997,24.6,739,31,59,354,352,165,688,21,36,58.3,22,0,427,2315,1159,1076,495,46.0,71,47,Matches
9,Amir Abrashi,al ALB,MF,Freiburg,de Bundesliga,29,1990,7.4,438,21,141,256,64,3,423,7,10,70.0,7,0,291,1484,572,288,261,90.6,8,8,Matches
10,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,31,1988,35.1,2365,370,1206,1158,202,34,2287,15,17,88.2,15,0,1559,11550,6231,1641,1600,97.5,8,7,Matches
11,Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,441,10,35,203,235,68,433,15,27,55.6,15,1,308,1837,841,657,315,47.9,44,29,Matches
12,Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,813,20,206,453,196,13,737,6,11,54.5,6,0,501,2484,1118,602,554,92.0,9,13,Matches
13,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,309,7,29,134,164,46,297,11,24,45.8,13,0,206,1591,834,404,212,52.5,25,20,Matches
14,Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,7,4,6,1,0,0,6,0,0,,0,0,2,5,5,1,1,100.0,0,0,Matches
15,Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,70,0,9,35,30,13,68,4,4,100.0,4,0,54,410,241,82,50,61.0,5,4,Matches
16,Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,112,14,35,52,37,7,98,1,3,33.3,2,0,66,440,214,76,63,82.9,5,1,Matches
17,Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,33,0,3,20,14,1,28,3,4,75.0,3,0,25,259,144,26,23,88.5,3,1,Matches
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,737,13,73,514,213,13,697,24,42,57.1,27,3,552,3294,1979,611,548,89.7,27,34,Matches
19,Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,338,300,338,0,0,0,244,0,0,,0,0,163,638,356,155,154,99.4,0,0,Matches
20,Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,82,2,7,39,39,11,81,2,2,100.0,2,0,33,147,46,117,64,54.7,4,2,Matches
21,Lumor Agbenyenu,gh GHA,DF,Mallorca,es La Liga,22,1996,20.1,1182,82,387,537,333,14,964,26,45,57.8,30,0,701,4849,2641,665,599,90.1,22,18,Matches
22,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,23,1996,23.3,1231,83,395,675,223,9,986,14,26,53.8,16,3,636,3313,1909,677,608,89.8,20,17,Matches
23,Lucien Agoume,fr FRA,MF,Inter,it Serie A,17,2002,0.8,48,1,12,25,12,0,48,0,0,,0,0,32,145,49,31,29,93.5,0,2,Matches
24,Kevin Agudelo,co COL,"MF,FW",Fiorentina,it Serie A,20,1998,0.7,47,0,9,22,20,2,47,2,2,100.0,2,0,33,268,166,40,32,80.0,0,2,Matches
25,Kevin Agudelo,co COL,"MF,FW",Genoa,it Serie A,20,1998,7.4,402,6,82,217,147,20,396,21,33,63.6,23,0,326,2597,1639,348,285,81.9,12,13,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos,Matches
26,Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,23,1996,10.6,717,92,445,294,15,7,700,1,2,50.0,1,0,453,2145,1080,477,469,98.3,3,5,Matches
27,Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,31,1988,16.1,572,2,21,207,386,154,551,27,45,60.0,28,2,428,2539,1396,780,450,57.7,24,41,Matches
28,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,26,1993,11.9,926,35,225,465,292,22,816,15,26,57.7,17,0,624,3148,1858,649,601,92.6,8,15,Matches
29,Emmanuel Agyemang-Badu,gh GHA,"MF,FW",Hellas Verona,it Serie A,28,1990,2.6,129,9,32,85,26,1,128,0,1,0.0,0,0,95,634,267,116,90,77.6,4,3,Matches
30,Jean-Eudes Aholou,ci CIV,MF,Saint-Étienne,fr Ligue 1,25,1994,7.0,409,15,87,277,70,12,405,10,13,76.9,12,0,277,1465,733,306,269,87.9,13,10,Matches
31,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,23,1995,27.8,1518,213,835,711,50,11,1475,11,15,73.3,12,0,962,5392,2312,954,934,97.9,5,8,Matches
32,Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,1476,76,431,728,432,34,1243,56,94,59.6,59,1,922,6765,4211,937,855,91.2,20,27,Matches
33,Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,470,12,79,362,47,1,463,6,12,50.0,7,0,334,1354,688,365,346,94.8,7,6,Matches
34,Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,996,39,310,491,269,16,846,19,41,46.3,22,2,617,3810,2409,609,565,92.8,20,20,Matches
35,Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,33,0,1,9,24,9,32,0,0,,0,0,16,75,16,64,24,37.5,5,3,Matches
36,Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,755,22,52,415,315,110,731,14,27,51.9,15,1,404,1900,874,977,580,59.4,73,23,Matches
37,Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,2161,235,1146,1087,82,15,2093,8,12,66.7,9,1,1589,9126,4667,1683,1657,98.5,10,6,Matches
38,Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,43,1,8,20,17,2,41,3,4,75.0,3,0,35,246,133,46,28,60.9,2,2,Matches
39,Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,1508,278,920,596,86,34,1455,5,5,100.0,5,0,845,5266,2910,948,900,94.9,7,5,Matches
40,Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,281,5,50,146,105,15,278,11,19,57.9,12,0,224,1065,607,256,196,76.6,6,14,Matches
41,Kevin Akpoguma,de GER,DF,Hoffenheim,de Bundesliga,24,1995,12.7,908,147,527,407,31,1,882,3,4,75.0,3,0,622,3094,1682,637,619,97.2,3,11,Matches
42,David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,2662,194,1068,1590,248,14,2555,6,10,60.0,7,0,2026,13997,7669,2099,2068,98.5,9,4,Matches
43,Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,991,44,308,470,282,25,801,19,33,57.6,19,2,540,3251,2164,557,508,91.2,14,12,Matches
44,Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,466,6,26,221,246,89,436,16,21,76.2,17,1,284,1344,449,655,349,53.3,36,21,Matches
45,Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2322,76,475,1119,831,65,2125,10,19,52.6,12,2,1617,6405,3327,1907,1762,92.4,10,7,Matches
46,Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,2663,21,335,1465,1195,110,2387,72,105,68.6,76,4,2076,16087,10764,2150,1943,90.4,49,62,Matches
47,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,2261,403,1368,969,51,21,2209,3,3,100.0,3,0,1325,7874,4484,1509,1492,98.9,1,1,Matches
48,Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,622,13,111,258,295,23,587,10,29,34.5,13,2,420,2558,1176,495,429,86.7,9,12,Matches
49,Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,316,9,28,149,148,46,291,4,8,50.0,4,1,171,782,415,389,221,56.8,17,7,Matches
