Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
60,Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,Matches
61,Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,1,0,0,24,34,5,14,4,11,0,0,0,67,43,63,40.6,Matches
62,Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0,1,0,1,1,0,0,1,0,0,0,0,153,0,0,,Matches
63,Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,3,0,0,30,24,0,9,5,36,0,0,0,123,10,7,58.8,Matches
64,Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,2,0,0,12,33,6,5,7,29,0,0,0,157,17,32,34.7,Matches
65,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,5,0,0,30,58,24,38,20,36,0,0,0,228,9,37,19.6,Matches
66,Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4,0,0,16,15,2,51,14,19,1,0,0,183,42,31,57.5,Matches
67,Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,2,0,0,14,13,1,26,13,19,0,0,1,101,35,9,79.5,Matches
68,Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,,Matches
69,Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,6,0,0,24,7,0,3,9,20,0,0,0,143,24,34,41.4,Matches
70,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,2,0,0,18,32,1,11,34,25,0,1,0,326,88,61,59.1,Matches
71,Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,4,0,0,24,12,1,16,15,11,0,2,0,256,88,23,79.3,Matches
72,Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,1,0,0,17,18,3,11,10,23,0,0,0,137,14,11,56.0,Matches
73,Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,1,0,0,8,2,0,1,11,7,0,1,0,75,15,14,51.7,Matches
74,Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,2,0,0,15,6,0,3,5,9,0,0,0,82,20,17,54.1,Matches
75,Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,5,0,0,26,43,0,11,17,22,0,0,0,214,11,13,45.8,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
76,Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0,0,0,3,4,0,0,1,0,0,0,0,8,1,1,50.0,Matches
77,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,9,0,0,41,19,1,32,30,28,0,1,0,219,72,19,79.1,Matches
78,Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,1,0,0,7,9,1,12,4,5,0,0,0,50,21,18,53.8,Matches
79,Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,3,0,0,23,8,0,9,12,15,0,1,0,132,20,17,54.1,Matches
80,Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,3,0,0,27,39,3,32,14,13,1,0,0,198,7,21,25.0,Matches
81,Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0,0,0,0,0,0,0,0,3,0,0,0,8,3,0,100.0,Matches
82,Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,1,0,0,16,5,8,7,3,6,0,0,0,33,4,9,30.8,Matches
83,Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,10,2,0,63,60,0,28,27,42,1,0,0,356,24,41,36.9,Matches
84,Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,3,0,0,17,3,0,3,8,10,0,1,0,170,56,25,69.1,Matches
85,Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,1,0,0,4,1,0,2,1,1,0,0,0,19,1,2,33.3,Matches
86,Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,1,0,0,17,23,2,32,14,30,0,0,0,135,4,24,14.3,Matches
87,Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,5,0,0,61,40,21,24,6,11,0,0,0,123,229,215,51.6,Matches
88,Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,0,1,0,2,3,0,1,0,2,0,0,0,7,2,3,40.0,Matches
89,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,6,0,0,55,37,0,10,45,63,0,0,0,323,70,49,58.8,Matches
90,Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,,Matches
91,Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,13,1,1,66,38,0,29,37,46,2,0,0,401,51,36,58.6,Matches
92,Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0,0,0,19,26,0,2,9,16,0,0,0,127,5,14,26.3,Matches
93,Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,0,0,0,16,8,3,2,1,1,0,0,0,31,21,43,32.8,Matches
94,Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,,Matches
95,José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,4,0,0,21,13,0,108,27,31,0,1,0,311,47,27,63.5,Matches
96,Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,2,0,0,12,16,3,44,10,8,0,0,0,118,10,16,38.5,Matches
97,Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,1,0,0,2,2,0,30,5,5,0,0,0,49,8,8,50.0,Matches
98,Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
99,Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,2,0,0,9,12,1,17,9,5,0,0,0,73,9,4,69.2,Matches
100,Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,9,0,0,28,30,4,123,12,27,0,0,0,154,14,16,46.7,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
101,Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,,Matches
102,Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,3,0,0,40,35,12,52,8,10,0,0,0,95,76,115,39.8,Matches
103,Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,1,0,0,18,7,1,32,19,16,0,0,0,72,10,8,55.6,Matches
104,Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,1,0,0,2,1,0,2,3,2,0,0,0,7,0,0,,Matches
105,Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Matches
106,Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,2,0,0,16,40,4,47,11,20,0,0,0,170,24,37,39.3,Matches
107,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,1,0,0,3,5,0,1,3,4,0,0,0,25,2,5,28.6,Matches
108,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,3,0,0,24,42,2,21,11,19,0,0,0,137,15,13,53.6,Matches
109,Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0,0,0,1,0,0,0,0,2,0,0,0,6,0,0,,Matches
110,Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,2,0,0,26,7,0,25,15,32,0,0,0,190,22,14,61.1,Matches
111,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,11,1,1,79,63,0,32,26,49,0,0,0,447,63,73,46.3,Matches
112,Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0,0,0,2,4,0,3,1,2,0,0,0,9,0,0,,Matches
113,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,2,0,0,15,44,0,6,23,31,0,0,0,303,13,26,33.3,Matches
114,Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,1,0,0,13,23,0,20,5,9,1,0,0,77,6,8,42.9,Matches
115,Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,10,0,0,27,10,0,2,38,27,0,0,0,278,91,36,71.7,Matches
116,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0,1,0,2,1,0,0,0,2,0,0,0,18,5,3,62.5,Matches
117,Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,5,0,0,22,12,0,18,15,20,0,0,0,319,56,28,66.7,Matches
