Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals,Shots,Shots on Target,Shots on Target %,Shots Total p90,Shots on Target p90,Goals per shot,Goals per shot on target,Shots from Free Kicks,Penalty Kicks scored,Penalty Kicks attempted,xG,Non-penalty xG,npxG/Sh,G-xG,np:G-xG
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,0.0,10.0,2.0,20.0,0.39,0.08,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.08,-0.8,-0.8
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,0.0,3.0,0.0,0.0,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.07,-0.2,-0.2
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,2.0,24.0,7.0,29.2,0.86,0.25,0.08,0.29,0.0,0.0,0.0,2.4,2.4,0.1,-0.4,-0.4
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,2.0,9.0,4.0,44.4,1.49,0.66,0.22,0.5,0.0,0.0,0.0,1.0,1.0,0.12,1.0,1.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,0.0,2.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,1.0,18.0,7.0,38.9,0.65,0.25,0.06,0.14,6.0,0.0,0.0,0.7,0.7,0.04,0.3,0.3
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,0.0,10.0,4.0,40.0,0.64,0.26,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,7.0,47.0,18.0,38.3,3.6,1.38,0.13,0.33,0.0,1.0,1.0,7.1,6.3,0.13,-0.1,-0.3
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,2.0,7.0,3.0,42.9,0.29,0.12,0.29,0.67,0.0,0.0,0.0,1.1,1.1,0.15,0.9,0.9
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,6.0,99.0,27.0,27.3,2.86,0.78,0.05,0.19,11.0,1.0,1.0,7.1,6.4,0.06,-1.1,-1.4
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,1.0,14.0,4.0,28.6,0.39,0.11,0.07,0.25,0.0,0.0,0.0,1.4,1.4,0.1,-0.4,-0.4
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,0.0,10.0,2.0,20.0,1.04,0.21,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.06,-0.6,-0.6
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,4.0,25.0,8.0,32.0,2.44,0.78,0.16,0.5,1.0,0.0,0.0,3.2,3.2,0.13,0.8,0.8
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,5.0,15.0,7.0,46.7,2.55,1.19,0.33,0.71,0.0,0.0,0.0,3.8,3.8,0.25,1.2,1.2
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,3.0,19.0,8.0,42.1,0.97,0.41,0.16,0.38,0.0,0.0,0.0,2.5,2.5,0.13,0.5,0.5
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,2.0,33.0,8.0,24.2,1.54,0.37,0.06,0.25,9.0,0.0,0.0,1.7,1.7,0.05,0.3,0.3
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,2.0,16.0,5.0,31.3,0.49,0.15,0.13,0.4,0.0,0.0,0.0,1.1,1.1,0.07,0.9,0.9
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,1.0,2.0,1.0,50.0,0.09,0.05,0.5,1.0,0.0,0.0,0.0,0.1,0.1,0.07,0.9,0.9
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0.0,1.0,1.0,100.0,0.52,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,1.0,12.0,4.0,33.3,1.47,0.49,0.08,0.25,0.0,0.0,0.0,1.1,1.1,0.1,-0.1,-0.1
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,4.0,44.0,13.0,29.5,1.25,0.37,0.09,0.31,12.0,0.0,0.0,2.8,2.8,0.06,1.2,1.2
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,6.0,58.0,21.0,36.2,3.34,1.21,0.1,0.29,11.0,0.0,0.0,5.3,5.3,0.09,0.7,0.7
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,2.0,12.0,7.0,58.3,0.84,0.49,0.17,0.29,0.0,0.0,0.0,0.7,0.7,0.06,1.3,1.3
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,8.0,39.0,18.0,46.2,1.9,0.88,0.18,0.39,0.0,1.0,1.0,7.1,6.3,0.16,0.9,0.7
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,4.0,55.0,17.0,30.9,1.64,0.51,0.07,0.24,0.0,0.0,0.0,6.3,6.3,0.12,-2.3,-2.3
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4.0,30.0,8.0,26.7,1.89,0.5,0.13,0.5,1.0,0.0,0.0,2.0,2.0,0.07,2.0,2.0
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,0.0,8.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.03,-0.2,-0.2
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,0.0,4.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,0.0,12.0,2.0,16.7,0.38,0.06,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.1,-1.2,-1.2
Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,0.0,23.0,1.0,4.3,0.77,0.03,0.0,0.0,10.0,0.0,0.0,1.0,1.0,0.04,-1.0,-1.0
Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,0.0,13.0,3.0,23.1,0.98,0.23,0.0,0.0,0.0,0.0,0.0,1.2,1.2,0.09,-1.2,-1.2
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,0.0,6.0,1.0,16.7,0.71,0.12,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.16,-1.0,-1.0
Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,0.0,4.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.09,-0.4,-0.4
Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,1.0,11.0,2.0,18.2,0.58,0.11,0.09,0.5,0.0,0.0,0.0,0.3,0.3,0.03,0.7,0.7
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1.0,15.0,4.0,26.7,0.62,0.17,0.07,0.25,0.0,0.0,0.0,0.5,0.5,0.04,0.5,0.5
Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,0.0,23.0,4.0,17.4,3.78,0.66,0.0,0.0,0.0,0.0,0.0,1.3,1.3,0.06,-1.3,-1.3
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,0.0,8.0,3.0,37.5,0.44,0.17,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.09,-0.7,-0.7
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,1.0,43.0,18.0,41.9,2.08,0.87,0.02,0.06,0.0,0.0,0.0,2.5,2.5,0.06,-1.5,-1.5
Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0.0,1.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.17,-0.2,-0.2
Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,0.0,16.0,5.0,31.3,2.88,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9
Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,1.0,17.0,6.0,35.3,0.52,0.18,0.0,0.0,0.0,1.0,1.0,1.9,1.1,0.07,-0.9,-1.1
Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,1.0,10.0,1.0,10.0,0.59,0.06,0.1,1.0,0.0,0.0,0.0,0.9,0.9,0.09,0.1,0.1
Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,0.0,1.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.09,-0.1,-0.1
Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,1.0,23.0,8.0,34.8,1.38,0.48,0.04,0.13,0.0,0.0,0.0,2.5,2.5,0.11,-1.5,-1.5
Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,12.0,61.0,35.0,57.4,2.05,1.17,0.18,0.31,0.0,1.0,2.0,12.2,10.7,0.18,-0.2,0.3
Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,1.0,1.0,1.0,100.0,1.23,1.23,1.0,1.0,0.0,0.0,0.0,0.1,0.1,0.15,0.9,0.9
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,2.0,16.0,3.0,18.8,0.7,0.13,0.13,0.67,0.0,0.0,0.0,1.0,1.0,0.06,1.0,1.0
Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,1.0,50.0,7.0,14.0,1.75,0.24,0.02,0.14,4.0,0.0,0.0,1.9,1.9,0.04,-0.9,-0.9
Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,0.0,4.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1.0,13.0,4.0,30.8,1.48,0.46,0.08,0.25,0.0,0.0,1.0,2.4,1.7,0.13,-1.4,-0.7
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,1.0,24.0,7.0,29.2,0.92,0.27,0.04,0.14,8.0,0.0,0.0,0.6,0.6,0.03,0.4,0.4
Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,1.0,5.0,2.0,40.0,0.41,0.16,0.2,0.5,0.0,0.0,0.0,0.7,0.7,0.14,0.3,0.3
Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,0.0,5.0,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.04,-0.2,-0.2
Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,0.0,1.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,0.0,14.0,4.0,28.6,1.19,0.34,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.06,-0.8,-0.8
Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,32,1986,19.6,4.0,28.0,8.0,28.6,1.43,0.41,0.14,0.5,1.0,0.0,0.0,1.4,1.4,0.05,2.6,2.6
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Janis Antiste,fr FRA,MF,Toulouse,fr Ligue 1,16,2002,0.1,0.0,1.0,1.0,100.0,7.5,7.5,0.0,0.0,1.0,0.0,0.0,0.1,0.1,0.07,-0.1,-0.1
Michail Antonio,eng ENG,FW,West Ham,eng Premier League,29,1990,19.6,10.0,67.0,30.0,44.8,3.41,1.53,0.13,0.3,0.0,1.0,1.0,11.7,10.9,0.16,-1.7,-1.9
Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,31,1987,11.4,0.0,1.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.06,-0.1,-0.1
Mirko Antonucci,it ITA,"FW,MF",Roma,it Serie A,20,1999,0.9,0.0,3.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.06,-0.2,-0.2
Vitorino Antunes,pt POR,MF,Getafe,es La Liga,32,1987,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,de Bundesliga,25,1994,27.4,1.0,47.0,10.0,21.3,1.71,0.36,0.02,0.1,1.0,0.0,0.0,4.6,4.6,0.1,-3.6,-3.6
Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,24,1995,2.1,0.0,1.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,21,1998,21.7,3.0,45.0,17.0,37.8,2.07,0.78,0.07,0.18,2.0,0.0,0.0,3.7,3.7,0.08,-0.7,-0.7
Adil Aouchiche,fr FRA,MF,Paris S-G,fr Ligue 1,17,2002,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Appiah,fr FRA,DF,Nantes,fr Ligue 1,27,1992,17.8,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,23,1995,34.1,1.0,46.0,7.0,15.2,1.35,0.21,0.02,0.14,4.0,0.0,0.0,1.9,1.9,0.04,-0.9,-0.9
Guilherme Arana,br BRA,DF,Atalanta,it Serie A,22,1997,0.9,0.0,1.0,0.0,0.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,30,1989,23.5,1.0,15.0,2.0,13.3,0.64,0.08,0.07,0.5,0.0,0.0,0.0,1.4,1.4,0.1,-0.4,-0.4
Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,23,1996,9.2,2.0,24.0,11.0,45.8,2.61,1.2,0.08,0.18,0.0,0.0,0.0,1.3,1.3,0.05,0.7,0.7
Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,27,1991,32.1,1.0,12.0,3.0,25.0,0.37,0.09,0.08,0.33,0.0,0.0,0.0,0.8,0.8,0.07,0.2,0.2
Ronald Araújo,uy URU,DF,Barcelona,es La Liga,20,1999,2.6,0.0,1.0,0.0,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.24,-0.2,-0.2
Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,32,1987,22.3,1.0,14.0,2.0,14.3,0.63,0.09,0.07,0.5,3.0,0.0,0.0,0.7,0.7,0.05,0.3,0.3
Alphonse Areola,fr FRA,GK,Real Madrid,es La Liga,26,1993,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,26,1993,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,27,1992,12.0,0.0,6.0,2.0,33.3,0.5,0.17,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.08,-0.5,-0.5
Nicolò Armini,it ITA,DF,Lazio,it Serie A,18,2001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stuart Armstrong,sco SCO,MF,Southampton,eng Premier League,27,1992,19.1,5.0,46.0,19.0,41.3,2.41,1.0,0.11,0.26,0.0,0.0,0.0,2.9,2.9,0.06,2.1,2.1
José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,24,1995,8.8,2.0,21.0,6.0,28.6,2.39,0.68,0.1,0.33,0.0,0.0,0.0,1.2,1.2,0.06,0.8,0.8
José Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,24,1995,3.7,0.0,11.0,5.0,45.5,2.94,1.34,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.05,-0.5,-0.5
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,25,1994,31.3,4.0,63.0,17.0,27.0,2.01,0.54,0.06,0.24,9.0,0.0,0.0,2.4,2.4,0.04,1.6,1.6
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
