Player,Nation,Pos,Squad,Comp,Age,Born,90s,No. Tackels,No Tackels won,Def 3rd tackles,Mid 3rd tackles,Att 3rd tackles,Tackles v Dribbles,Tackles v Dribble attempts,% of dribblers tackled,No of times dribbled past,Pressures,Succ Pressures,Succ Pressures %,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Blocked shots,ShSv,Blocked pass,Interceptions,Tkl+Int,Clearances,Errors
Gonzalo Castro,de GER,MF,Stuttgart,de Bundesliga,31,1987,18.8,50.0,38.0,23.0,20.0,7.0,9.0,39.0,23.1,30.0,407.0,97.0,23.8,128.0,230.0,49.0,29.0,4.0,0.0,25.0,20.0,70.0,37.0,0.0
Jonny Castro,es ESP,"DF,MF",Wolves,eng Premier League,24,1994,30.8,74.0,41.0,43.0,26.0,5.0,24.0,69.0,34.8,45.0,545.0,166.0,30.5,254.0,219.0,72.0,63.0,5.0,0.0,58.0,51.0,125.0,58.0,0.0
Lucas Castro,ar ARG,"MF,FW",Cagliari,it Serie A,29,1989,10.0,17.0,12.0,5.0,8.0,4.0,6.0,27.0,22.2,21.0,162.0,31.0,19.1,55.0,73.0,34.0,26.0,6.0,0.0,20.0,9.0,26.0,3.0,0.0
Danilo Cataldi,it ITA,"MF,FW",Lazio,it Serie A,23,1994,6.4,13.0,10.0,6.0,5.0,2.0,3.0,10.0,30.0,7.0,126.0,37.0,29.4,42.0,56.0,28.0,6.0,0.0,0.0,6.0,8.0,21.0,5.0,0.0
Catena,es ESP,DF,Rayo Vallecano,es La Liga,23,1994,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,100.0,0.0,8.0,1.0,12.5,6.0,2.0,0.0,8.0,3.0,0.0,5.0,1.0,3.0,21.0,0.0
Craig Cathcart,nir NIR,DF,Watford,eng Premier League,29,1989,34.4,52.0,30.0,37.0,13.0,2.0,14.0,33.0,42.4,19.0,277.0,103.0,37.2,181.0,88.0,8.0,55.0,30.0,1.0,25.0,25.0,77.0,184.0,2.0
Ivan Cavaleiro,pt POR,"FW,MF",Wolves,eng Premier League,24,1993,7.7,11.0,5.0,6.0,2.0,3.0,0.0,8.0,0.0,8.0,198.0,45.0,22.7,34.0,112.0,52.0,8.0,0.0,0.0,8.0,6.0,17.0,4.0,0.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Edinson Cavani,uy URU,FW,Paris S-G,fr Ligue 1,31,1987,18.6,9.0,7.0,1.0,3.0,5.0,2.0,16.0,12.5,14.0,317.0,71.0,22.4,23.0,129.0,165.0,20.0,8.0,0.0,12.0,9.0,18.0,15.0,0.0
Santi Cazorla,es ESP,"MF,FW",Villarreal,es La Liga,33,1984,29.4,71.0,42.0,36.0,25.0,10.0,28.0,89.0,31.5,61.0,635.0,153.0,24.1,215.0,307.0,113.0,40.0,7.0,1.0,33.0,23.0,94.0,26.0,1.0
Dani Ceballos,es ESP,"MF,FW",Real Madrid,es La Liga,21,1996,13.9,32.0,22.0,10.0,14.0,8.0,8.0,38.0,21.1,30.0,349.0,90.0,25.8,72.0,177.0,100.0,27.0,1.0,1.0,26.0,16.0,48.0,6.0,0.0
Federico Ceccherini,it ITA,DF,Fiorentina,it Serie A,26,1992,11.0,15.0,9.0,10.0,4.0,1.0,5.0,11.0,45.5,6.0,80.0,27.0,33.8,52.0,23.0,5.0,18.0,6.0,0.0,12.0,14.0,29.0,44.0,0.0
Petr Čech,cz CZE,GK,Arsenal,eng Premier League,36,1982,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Žan Celar,si SVN,FW,Roma,it Serie A,19,1999,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,28.6,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zeki Çelik,tr TUR,DF,Lille,fr Ligue 1,21,1997,33.0,92.0,55.0,48.0,34.0,10.0,31.0,98.0,31.6,67.0,570.0,186.0,32.6,285.0,210.0,75.0,70.0,7.0,0.0,63.0,34.0,126.0,68.0,1.0
Luca Ceppitelli,it ITA,DF,Cagliari,it Serie A,28,1989,22.8,43.0,27.0,32.0,10.0,1.0,12.0,23.0,52.2,11.0,164.0,56.0,34.1,108.0,51.0,5.0,39.0,22.0,0.0,17.0,14.0,57.0,131.0,3.0
Fabio Ceravolo,it ITA,FW,Parma,it Serie A,31,1987,13.2,6.0,5.0,1.0,4.0,1.0,1.0,14.0,7.1,13.0,305.0,66.0,21.6,29.0,152.0,124.0,5.0,2.0,0.0,3.0,4.0,10.0,14.0,0.0
Alberto Cerri,it ITA,FW,Cagliari,it Serie A,22,1996,7.4,7.0,6.0,3.0,2.0,2.0,2.0,10.0,20.0,8.0,94.0,21.0,22.3,14.0,38.0,42.0,10.0,2.0,0.0,8.0,1.0,8.0,5.0,0.0
Boštjan Cesar,si SVN,DF,Chievo,it Serie A,36,1982,12.0,25.0,15.0,16.0,9.0,0.0,9.0,18.0,50.0,9.0,131.0,38.0,29.0,76.0,48.0,7.0,19.0,10.0,0.0,9.0,7.0,32.0,79.0,1.0
Nacer Chadli,be BEL,"MF,FW",Monaco,fr Ligue 1,28,1989,7.7,11.0,3.0,5.0,4.0,2.0,4.0,17.0,23.5,13.0,99.0,24.0,24.2,22.0,49.0,28.0,8.0,1.0,0.0,7.0,4.0,15.0,9.0,0.0
Fouad Chafik,ma MAR,DF,Dijon,fr Ligue 1,31,1986,20.5,52.0,35.0,30.0,17.0,5.0,14.0,35.0,40.0,21.0,305.0,110.0,36.1,162.0,112.0,31.0,27.0,5.0,0.0,22.0,14.0,66.0,85.0,0.0
Nathaniel Chalobah,eng ENG,"MF,FW",Watford,eng Premier League,23,1994,3.0,5.0,2.0,3.0,2.0,0.0,2.0,7.0,28.6,5.0,81.0,25.0,30.9,30.0,44.0,7.0,3.0,1.0,0.0,2.0,4.0,9.0,4.0,0.0
Calum Chambers,eng ENG,"MF,DF",Fulham,eng Premier League,23,1995,28.8,52.0,42.0,26.0,20.0,6.0,18.0,54.0,33.3,36.0,608.0,169.0,27.8,256.0,301.0,51.0,68.0,15.0,0.0,53.0,53.0,105.0,114.0,1.0
Timothy Chandler,us USA,FW,Eint Frankfurt,de Bundesliga,28,1990,0.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
Kwon Chang-hoon,kr KOR,"FW,MF",Dijon,fr Ligue 1,24,1994,10.4,8.0,6.0,2.0,1.0,5.0,1.0,10.0,10.0,9.0,210.0,51.0,24.3,47.0,102.0,61.0,14.0,0.0,0.0,14.0,4.0,12.0,7.0,0.0
Charles,br BRA,FW,Eibar,es La Liga,34,1984,19.3,11.0,6.0,1.0,6.0,4.0,4.0,22.0,18.2,18.0,296.0,93.0,31.4,10.0,111.0,175.0,13.0,1.0,0.0,12.0,7.0,18.0,12.0,0.0
Xavier Chavalerin,fr FRA,MF,Reims,fr Ligue 1,27,1991,36.0,109.0,66.0,61.0,40.0,8.0,28.0,88.0,31.8,60.0,897.0,206.0,23.0,292.0,483.0,122.0,60.0,13.0,0.0,47.0,55.0,164.0,49.0,0.0
Pablo Chavarría,ar ARG,FW,Reims,fr Ligue 1,30,1988,21.9,29.0,19.0,9.0,11.0,9.0,10.0,27.0,37.0,17.0,428.0,98.0,22.9,44.0,178.0,206.0,13.0,1.0,0.0,12.0,3.0,32.0,19.0,0.0
Chechu,es ESP,DF,Rayo Vallecano,es La Liga,36,1982,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0
Pape Cheikh Diop,sn SEN,MF,Lyon,fr Ligue 1,20,1997,5.0,4.0,2.0,0.0,3.0,1.0,3.0,9.0,33.3,6.0,106.0,15.0,14.2,36.0,56.0,14.0,10.0,4.0,0.0,6.0,1.0,5.0,1.0,0.0
Chema,es ESP,DF,Levante,es La Liga,26,1992,13.9,32.0,12.0,20.0,9.0,3.0,9.0,18.0,50.0,9.0,89.0,21.0,23.6,57.0,26.0,6.0,23.0,12.0,0.0,11.0,19.0,51.0,85.0,1.0
Denis Cheryshev,ru RUS,"MF,FW",Valencia,es La Liga,27,1990,19.0,47.0,35.0,20.0,17.0,10.0,16.0,49.0,32.7,33.0,599.0,147.0,24.5,171.0,304.0,124.0,42.0,4.0,0.0,38.0,17.0,64.0,19.0,0.0
Raman Chibsah,gh GHA,MF,Frosinone,it Serie A,25,1993,29.1,57.0,38.0,35.0,20.0,2.0,21.0,65.0,32.3,44.0,681.0,168.0,24.7,323.0,291.0,67.0,49.0,16.0,0.0,33.0,29.0,86.0,31.0,1.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Leandro Chichizola,ar ARG,GK,Getafe,es La Liga,28,1990,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giorgio Chiellini,it ITA,DF,Juventus,it Serie A,33,1984,22.1,22.0,9.0,18.0,4.0,0.0,7.0,14.0,50.0,7.0,132.0,52.0,39.4,81.0,43.0,8.0,32.0,17.0,0.0,15.0,23.0,45.0,107.0,2.0
Federico Chiesa,it ITA,"FW,MF",Fiorentina,it Serie A,20,1997,33.7,41.0,27.0,10.0,17.0,14.0,14.0,46.0,30.4,32.0,554.0,135.0,24.4,96.0,259.0,199.0,36.0,2.0,0.0,34.0,7.0,48.0,8.0,0.0
Ben Chilwell,eng ENG,DF,Leicester City,eng Premier League,21,1996,36.0,56.0,36.0,31.0,19.0,6.0,19.0,57.0,33.3,38.0,594.0,168.0,28.3,316.0,202.0,76.0,73.0,8.0,0.0,65.0,34.0,90.0,114.0,0.0
Vlad Chiricheș,ro ROU,DF,Napoli,it Serie A,28,1989,1.6,2.0,2.0,2.0,0.0,0.0,1.0,2.0,50.0,1.0,21.0,6.0,28.6,14.0,7.0,0.0,3.0,2.0,0.0,1.0,3.0,5.0,2.0,0.0
Tahith Chong,nl NED,FW,Manchester Utd,eng Premier League,18,1999,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,50.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hamza Choudhury,eng ENG,MF,Leicester City,eng Premier League,20,1997,6.6,23.0,8.0,10.0,12.0,1.0,8.0,16.0,50.0,8.0,182.0,48.0,26.4,76.0,81.0,25.0,14.0,3.0,0.0,11.0,15.0,38.0,17.0,0.0
Andreas Christensen,dk DEN,DF,Chelsea,eng Premier League,22,1996,6.9,10.0,4.0,3.0,7.0,0.0,3.0,7.0,42.9,4.0,59.0,20.0,33.9,36.0,22.0,1.0,8.0,2.0,0.0,6.0,6.0,16.0,32.0,0.0
Cyrus Christie,ie IRL,DF,Fulham,eng Premier League,25,1992,21.6,44.0,23.0,29.0,14.0,1.0,18.0,46.0,39.1,28.0,378.0,89.0,23.5,218.0,110.0,50.0,41.0,7.0,1.0,34.0,23.0,67.0,86.0,0.0
Samuel Chukwueze,ng NGA,"FW,MF",Villarreal,es La Liga,19,1999,19.0,19.0,11.0,5.0,12.0,2.0,5.0,31.0,16.1,26.0,403.0,92.0,22.8,84.0,207.0,112.0,14.0,1.0,0.0,13.0,10.0,29.0,8.0,0.0
Camillo Ciano,it ITA,"FW,MF",Frosinone,it Serie A,28,1990,27.3,33.0,17.0,15.0,10.0,8.0,11.0,59.0,18.6,48.0,686.0,150.0,21.9,128.0,351.0,207.0,37.0,5.0,0.0,32.0,15.0,48.0,13.0,0.0
Amato Ciciretti,it ITA,"FW,MF",Parma,it Serie A,24,1993,1.5,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,37.0,7.0,18.9,9.0,15.0,13.0,3.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0
Luca Cigarini,it ITA,MF,Cagliari,it Serie A,32,1986,18.7,56.0,42.0,28.0,23.0,5.0,28.0,61.0,45.9,33.0,256.0,72.0,28.1,103.0,129.0,24.0,31.0,4.0,0.0,27.0,10.0,66.0,41.0,0.0
Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,de Bundesliga,31,1987,11.1,30.0,20.0,14.0,13.0,3.0,6.0,30.0,20.0,24.0,156.0,38.0,24.4,55.0,80.0,21.0,16.0,0.0,0.0,16.0,8.0,38.0,17.0,0.0
Jasper Cillessen,nl NED,GK,Barcelona,es La Liga,29,1989,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Laurent Ciman,be BEL,DF,Dijon,fr Ligue 1,32,1985,8.0,12.0,9.0,10.0,2.0,0.0,6.0,20.0,30.0,14.0,46.0,11.0,23.9,30.0,15.0,1.0,17.0,10.0,1.0,7.0,4.0,16.0,35.0,2.0
Daniel Ciofani,it ITA,FW,Frosinone,it Serie A,33,1985,18.0,9.0,5.0,2.0,6.0,1.0,3.0,8.0,37.5,5.0,316.0,59.0,18.7,19.0,160.0,137.0,5.0,0.0,0.0,5.0,5.0,14.0,12.0,0.0
Thiago Cionek,pl POL,DF,SPAL,it Serie A,32,1986,28.2,79.0,50.0,51.0,24.0,4.0,32.0,59.0,54.2,27.0,427.0,105.0,24.6,266.0,129.0,32.0,60.0,22.0,1.0,38.0,46.0,125.0,127.0,1.0
Ibrahima Cissé,gn GUI,"MF,FW",Fulham,eng Premier League,24,1994,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,31.0,5.0,16.1,11.0,16.0,4.0,1.0,0.0,0.0,1.0,4.0,4.0,1.0,0.0
Till Cissokho,fr FRA,DF,Bordeaux,fr Ligue 1,18,2000,0.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,16.7,8.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0
Ciaran Clark,ie IRL,DF,Newcastle Utd,eng Premier League,28,1989,9.5,15.0,10.0,9.0,5.0,1.0,7.0,12.0,58.3,5.0,86.0,30.0,34.9,61.0,21.0,4.0,14.0,5.0,0.0,9.0,10.0,25.0,46.0,0.0
Tom Cleverley,eng ENG,"MF,FW",Watford,eng Premier League,28,1989,5.3,18.0,14.0,13.0,3.0,2.0,7.0,25.0,28.0,18.0,143.0,32.0,22.4,72.0,58.0,13.0,4.0,0.0,0.0,4.0,4.0,22.0,12.0,0.0
Nathaniel Clyne,eng ENG,DF,Bournemouth,eng Premier League,27,1991,12.7,29.0,13.0,14.0,12.0,3.0,6.0,19.0,31.6,13.0,198.0,50.0,25.3,128.0,57.0,13.0,19.0,2.0,0.0,17.0,12.0,41.0,39.0,0.0
Nathaniel Clyne,eng ENG,DF,Liverpool,eng Premier League,27,1991,1.2,5.0,1.0,2.0,3.0,0.0,2.0,5.0,40.0,3.0,17.0,5.0,29.4,4.0,6.0,7.0,1.0,0.0,0.0,1.0,1.0,6.0,4.0,0.0
Conor Coady,eng ENG,DF,Wolves,eng Premier League,25,1993,38.0,31.0,16.0,26.0,5.0,0.0,9.0,25.0,36.0,16.0,178.0,54.0,30.3,151.0,27.0,0.0,45.0,26.0,1.0,19.0,24.0,55.0,152.0,1.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Coco,fr FRA,"FW,MF",Guingamp,fr Ligue 1,22,1996,20.4,48.0,33.0,21.0,14.0,13.0,13.0,41.0,31.7,28.0,533.0,111.0,20.8,132.0,270.0,131.0,39.0,0.0,0.0,39.0,12.0,60.0,9.0,0.0
Coke,es ESP,DF,Levante,es La Liga,31,1987,20.2,37.0,17.0,21.0,13.0,3.0,14.0,51.0,27.5,37.0,189.0,58.0,30.7,98.0,67.0,24.0,30.0,8.0,1.0,22.0,17.0,54.0,66.0,0.0
Joel Coleman,eng ENG,GK,Huddersfield,eng Premier League,22,1995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Séamus Coleman,ie IRL,DF,Everton,eng Premier League,29,1988,28.4,50.0,32.0,28.0,16.0,6.0,18.0,32.0,56.3,14.0,296.0,90.0,30.4,179.0,85.0,32.0,40.0,6.0,0.0,34.0,25.0,75.0,81.0,1.0
Álex Collado,es ESP,FW,Barcelona,es La Liga,19,1999,0.9,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,40.0,2.0,5.0,9.0,27.0,4.0,3.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0
Omar Colley,gm GAM,DF,Sampdoria,it Serie A,25,1992,19.6,24.0,16.0,18.0,5.0,1.0,8.0,12.0,66.7,4.0,93.0,28.0,30.1,62.0,25.0,6.0,29.0,18.0,0.0,11.0,13.0,37.0,116.0,2.0
Racine Coly,sn SEN,"DF,MF",Nice,fr Ligue 1,22,1995,5.6,7.0,3.0,2.0,4.0,1.0,2.0,12.0,16.7,10.0,123.0,30.0,24.4,45.0,53.0,25.0,13.0,5.0,0.0,8.0,7.0,14.0,16.0,1.0
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,de Bundesliga,22,1996,15.3,10.0,6.0,5.0,3.0,2.0,5.0,19.0,26.3,14.0,277.0,81.0,29.2,58.0,113.0,106.0,24.0,0.0,0.0,24.0,4.0,14.0,3.0,0.0
Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,21,1996,22.6,55.0,36.0,23.0,28.0,4.0,17.0,64.0,26.6,47.0,500.0,136.0,27.2,203.0,261.0,36.0,38.0,4.0,0.0,34.0,16.0,71.0,41.0,1.0
Daniel Congré,fr FRA,DF,Montpellier,fr Ligue 1,33,1985,36.6,74.0,40.0,46.0,25.0,3.0,31.0,76.0,40.8,45.0,436.0,113.0,25.9,243.0,170.0,23.0,58.0,18.0,0.0,40.0,44.0,118.0,140.0,0.0
Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,31,1987,35.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
Andrea Conti,it ITA,DF,Milan,it Serie A,24,1994,5.6,8.0,5.0,5.0,2.0,1.0,3.0,13.0,23.1,10.0,103.0,27.0,26.2,64.0,24.0,15.0,11.0,0.0,0.0,11.0,8.0,16.0,20.0,1.0
Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,21,1997,8.0,14.0,8.0,8.0,5.0,1.0,7.0,21.0,33.3,14.0,127.0,27.0,21.3,59.0,56.0,12.0,8.0,2.0,0.0,6.0,6.0,20.0,8.0,0.0
Steve Cook,eng ENG,DF,Bournemouth,eng Premier League,27,1991,31.0,35.0,21.0,30.0,4.0,1.0,16.0,26.0,61.5,10.0,209.0,63.0,30.1,140.0,59.0,10.0,45.0,23.0,0.0,22.0,28.0,63.0,242.0,1.0
Duje Čop,hr CRO,FW,Valladolid,es La Liga,28,1990,7.6,7.0,6.0,1.0,3.0,3.0,2.0,10.0,20.0,8.0,138.0,34.0,24.6,8.0,77.0,53.0,12.0,3.0,0.0,9.0,2.0,9.0,6.0,0.0
Francis Coquelin,fr FRA,MF,Valencia,es La Liga,27,1991,19.6,45.0,35.0,24.0,17.0,4.0,16.0,41.0,39.0,25.0,303.0,89.0,29.4,106.0,171.0,26.0,19.0,5.0,0.0,14.0,50.0,95.0,34.0,2.0
Gabriele Corbo,it ITA,DF,Bologna,it Serie A,18,2000,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iñigo Córdoba,es ESP,FW,Athletic Club,es La Liga,21,1997,14.7,36.0,25.0,14.0,13.0,9.0,11.0,54.0,20.4,43.0,392.0,95.0,24.2,115.0,166.0,111.0,35.0,0.0,0.0,35.0,18.0,54.0,9.0,0.0
Sergio Córdova,ve VEN,FW,Augsburg,de Bundesliga,20,1997,5.9,10.0,9.0,3.0,4.0,3.0,0.0,5.0,0.0,5.0,172.0,36.0,20.9,17.0,98.0,57.0,6.0,0.0,0.0,6.0,3.0,13.0,5.0,0.0
Benjamin Corgnet,fr FRA,"MF,FW",Strasbourg,fr Ligue 1,31,1987,7.5,20.0,8.0,5.0,10.0,5.0,7.0,16.0,43.8,9.0,153.0,31.0,20.3,27.0,83.0,43.0,8.0,0.0,0.0,8.0,2.0,22.0,9.0,0.0
Ante Ćorić,hr CRO,MF,Roma,it Serie A,21,1997,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Cork,eng ENG,MF,Burnley,eng Premier League,29,1989,36.8,46.0,27.0,16.0,25.0,5.0,16.0,57.0,28.1,41.0,689.0,164.0,23.8,219.0,363.0,107.0,57.0,19.0,0.0,38.0,29.0,75.0,76.0,0.0
Andreas Cornelius,dk DEN,FW,Bordeaux,fr Ligue 1,25,1993,8.8,3.0,2.0,0.0,1.0,2.0,0.0,5.0,0.0,5.0,143.0,30.0,21.0,10.0,74.0,59.0,5.0,1.0,0.0,4.0,1.0,4.0,19.0,0.0
Maxwel Cornet,ci CIV,FW,Lyon,fr Ligue 1,21,1996,14.2,17.0,11.0,8.0,7.0,2.0,4.0,17.0,23.5,13.0,221.0,55.0,24.9,40.0,104.0,77.0,10.0,1.0,0.0,9.0,6.0,23.0,7.0,1.0
Quentin Cornette,fr FRA,"MF,FW",Amiens,fr Ligue 1,24,1994,2.3,5.0,5.0,2.0,3.0,0.0,0.0,2.0,0.0,2.0,47.0,10.0,21.3,13.0,22.0,12.0,5.0,0.0,0.0,5.0,1.0,6.0,2.0,0.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ángel Correa,ar ARG,"MF,FW",Atlético Madrid,es La Liga,23,1995,21.3,38.0,30.0,19.0,11.0,8.0,9.0,54.0,16.7,45.0,579.0,145.0,25.0,143.0,277.0,159.0,29.0,4.0,0.0,25.0,22.0,60.0,17.0,0.0
Joaquín Correa,ar ARG,"FW,MF",Lazio,it Serie A,23,1994,21.4,23.0,18.0,7.0,11.0,5.0,7.0,31.0,22.6,24.0,379.0,94.0,24.8,59.0,182.0,138.0,17.0,5.0,0.0,12.0,5.0,28.0,9.0,0.0
Danny da Costa,de GER,"DF,MF",Eint Frankfurt,de Bundesliga,25,1993,33.7,57.0,37.0,28.0,23.0,6.0,19.0,46.0,41.3,27.0,532.0,139.0,26.1,203.0,226.0,103.0,67.0,8.0,0.0,59.0,30.0,87.0,60.0,0.0
Diego Costa,es ESP,FW,Atlético Madrid,es La Liga,29,1988,12.4,5.0,2.0,1.0,4.0,0.0,2.0,7.0,28.6,5.0,236.0,47.0,19.9,16.0,105.0,115.0,6.0,1.0,0.0,5.0,3.0,8.0,6.0,0.0
Douglas Costa,br BRA,"FW,MF",Juventus,it Serie A,27,1990,6.9,8.0,7.0,4.0,4.0,0.0,5.0,11.0,45.5,6.0,163.0,38.0,23.3,28.0,89.0,46.0,6.0,0.0,0.0,6.0,7.0,15.0,1.0,0.0
Filippo Costa,it ITA,"MF,DF",SPAL,it Serie A,23,1995,6.3,15.0,10.0,5.0,7.0,3.0,5.0,14.0,35.7,9.0,144.0,37.0,25.7,77.0,53.0,14.0,19.0,2.0,0.0,17.0,9.0,24.0,21.0,1.0
Hélder Costa,pt POR,"FW,MF",Wolves,eng Premier League,24,1994,14.9,17.0,14.0,8.0,5.0,4.0,7.0,23.0,30.4,16.0,397.0,73.0,18.4,67.0,249.0,81.0,17.0,0.0,0.0,17.0,8.0,25.0,7.0,0.0
Jaume Costa,es ESP,DF,Villarreal,es La Liga,30,1988,16.6,33.0,17.0,24.0,8.0,1.0,13.0,28.0,46.4,15.0,167.0,42.0,25.1,74.0,71.0,22.0,34.0,2.0,0.0,32.0,19.0,52.0,54.0,1.0
Nuno da Costa,cv CPV,FW,Strasbourg,fr Ligue 1,27,1991,22.8,36.0,21.0,12.0,18.0,6.0,9.0,43.0,20.9,34.0,418.0,94.0,22.5,48.0,210.0,160.0,33.0,2.0,0.0,31.0,23.0,59.0,6.0,0.0
David Costas,es ESP,DF,Celta Vigo,es La Liga,23,1995,13.0,27.0,17.0,21.0,6.0,0.0,10.0,20.0,50.0,10.0,118.0,40.0,33.9,83.0,32.0,3.0,18.0,4.0,0.0,14.0,8.0,35.0,79.0,0.0
Benoît Costil,fr FRA,GK,Bordeaux,fr Ligue 1,31,1987,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Kalifa Coulibaly,ml MLI,FW,Nantes,fr Ligue 1,26,1991,19.5,13.0,11.0,0.0,7.0,6.0,3.0,14.0,21.4,11.0,279.0,57.0,20.4,12.0,142.0,125.0,15.0,2.0,0.0,13.0,2.0,15.0,17.0,0.0
Senou Coulibaly,ml MLI,"DF,MF",Dijon,fr Ligue 1,23,1994,4.6,13.0,5.0,11.0,2.0,0.0,5.0,10.0,50.0,5.0,62.0,12.0,19.4,35.0,24.0,3.0,9.0,1.0,0.0,8.0,7.0,20.0,21.0,0.0
Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,26,1992,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philippe Coutinho,br BRA,"FW,MF",Barcelona,es La Liga,26,1992,22.4,18.0,12.0,3.0,11.0,4.0,6.0,24.0,25.0,18.0,370.0,94.0,25.4,71.0,189.0,110.0,37.0,3.0,0.0,34.0,8.0,26.0,6.0,0.0
Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,19,1999,10.9,23.0,11.0,17.0,6.0,0.0,3.0,10.0,30.0,7.0,116.0,33.0,28.4,85.0,27.0,4.0,22.0,9.0,0.0,13.0,15.0,38.0,33.0,0.0
Alessio Cragno,it ITA,GK,Cagliari,it Serie A,24,1994,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,28,1989,17.7,24.0,15.0,12.0,9.0,3.0,9.0,25.0,36.0,16.0,233.0,76.0,32.6,144.0,60.0,29.0,43.0,7.0,0.0,36.0,15.0,39.0,60.0,1.0
