Player,Nation,Pos,Squad,Comp,Age,Born,90s,No. Tackels,No Tackels won,Def 3rd tackles,Mid 3rd tackles,Att 3rd tackles,Tackles v Dribbles,Tackles v Dribble attempts,% of dribblers tackled,No of times dribbled past,Pressures,Succ Pressures,Succ Pressures %,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Blocked shots,ShSv,Blocked pass,Interceptions,Tkl+Int,Clearances,Errors
Renaud Ripart,fr FRA,"FW,DF",Nîmes,fr Ligue 1,25,1993,33.4,73.0,43.0,39.0,18.0,16.0,23.0,87.0,26.4,64.0,663.0,171.0,25.8,207.0,292.0,164.0,56.0,6.0,0.0,50.0,23.0,96.0,75.0,0.0
Mihailo Ristić,rs SRB,DF,Montpellier,fr Ligue 1,22,1995,3.6,13.0,8.0,8.0,4.0,1.0,2.0,12.0,16.7,10.0,91.0,26.0,28.6,48.0,33.0,10.0,9.0,3.0,0.0,6.0,5.0,18.0,17.0,0.0
Matt Ritchie,sco SCO,"DF,MF",Newcastle Utd,eng Premier League,28,1989,32.5,65.0,40.0,32.0,23.0,10.0,17.0,50.0,34.0,33.0,734.0,174.0,23.7,351.0,281.0,102.0,68.0,13.0,1.0,55.0,41.0,106.0,59.0,0.0
Cristian Rivera,es ESP,MF,Huesca,es La Liga,21,1997,18.8,36.0,25.0,16.0,18.0,2.0,8.0,23.0,34.8,15.0,341.0,94.0,27.6,111.0,190.0,40.0,31.0,3.0,0.0,28.0,30.0,66.0,29.0,0.0
Arjen Robben,nl NED,"FW,MF",Bayern Munich,de Bundesliga,34,1984,6.3,3.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,2.0,90.0,21.0,23.3,9.0,37.0,44.0,8.0,1.0,0.0,7.0,4.0,7.0,1.0,0.0
Rober,es ESP,DF,Levante,es La Liga,23,1995,31.7,47.0,35.0,37.0,9.0,1.0,25.0,56.0,44.6,31.0,308.0,103.0,33.4,202.0,90.0,16.0,59.0,31.0,1.0,28.0,36.0,83.0,156.0,1.0
Sergi Roberto,es ESP,"DF,MF",Barcelona,es La Liga,26,1992,23.2,30.0,20.0,13.0,12.0,5.0,8.0,23.0,34.8,15.0,322.0,109.0,33.9,104.0,139.0,79.0,39.0,4.0,0.0,35.0,29.0,59.0,30.0,0.0
Patrick Roberts,eng ENG,FW,Girona,es La Liga,21,1997,6.7,7.0,5.0,5.0,2.0,0.0,4.0,20.0,20.0,16.0,152.0,20.0,13.2,43.0,72.0,37.0,7.0,0.0,0.0,7.0,5.0,12.0,1.0,0.0
Andrew Robertson,sco SCO,DF,Liverpool,eng Premier League,24,1994,35.7,76.0,44.0,47.0,20.0,9.0,29.0,83.0,34.9,54.0,482.0,144.0,29.9,238.0,152.0,92.0,53.0,6.0,0.0,47.0,43.0,119.0,54.0,1.0
Joel Robles,es ESP,GK,Betis,es La Liga,28,1990,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Marc Roca,es ESP,MF,Espanyol,es La Liga,21,1996,34.6,82.0,55.0,42.0,32.0,8.0,26.0,78.0,33.3,52.0,581.0,164.0,28.2,253.0,270.0,58.0,57.0,24.0,1.0,33.0,33.0,115.0,68.0,3.0
Christopher Rocchia,fr FRA,DF,Marseille,fr Ligue 1,20,1998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kenny Rocha Santos,cv CPV,DF,Saint-Étienne,fr Ligue 1,18,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rubén Rochina,es ESP,MF,Levante,es La Liga,27,1991,20.0,60.0,39.0,26.0,29.0,5.0,21.0,84.0,25.0,63.0,469.0,101.0,21.5,139.0,242.0,88.0,40.0,0.0,0.0,40.0,14.0,74.0,26.0,0.0
Sebastian Rode,de GER,MF,Eint Frankfurt,de Bundesliga,27,1990,10.3,34.0,19.0,17.0,13.0,4.0,13.0,34.0,38.2,21.0,339.0,116.0,34.2,118.0,174.0,47.0,25.0,1.0,0.0,24.0,12.0,46.0,20.0,1.0
Ronny Rodelin,fr FRA,"MF,FW",Guingamp,fr Ligue 1,28,1989,8.8,12.0,5.0,3.0,6.0,3.0,1.0,7.0,14.3,6.0,174.0,30.0,17.2,17.0,105.0,52.0,13.0,1.0,0.0,12.0,3.0,15.0,12.0,0.0
Rodri,es ESP,MF,Atlético Madrid,es La Liga,22,1996,30.4,108.0,89.0,50.0,52.0,6.0,31.0,80.0,38.8,49.0,726.0,232.0,32.0,232.0,419.0,75.0,50.0,13.0,0.0,37.0,30.0,138.0,67.0,0.0
Rodrigo,es ESP,FW,Valencia,es La Liga,27,1991,28.1,16.0,9.0,4.0,6.0,6.0,1.0,19.0,5.3,18.0,549.0,124.0,22.6,53.0,279.0,217.0,19.0,2.0,0.0,17.0,4.0,20.0,18.0,0.0
Kévin Rodrigues,pt POR,DF,Real Sociedad,es La Liga,24,1994,5.4,25.0,15.0,18.0,5.0,2.0,10.0,22.0,45.5,12.0,114.0,36.0,31.6,71.0,26.0,17.0,10.0,3.0,0.0,7.0,4.0,29.0,14.0,0.0
Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Leganés,es La Liga,20,1998,27.8,45.0,24.0,20.0,19.0,6.0,16.0,59.0,27.1,43.0,608.0,135.0,22.2,176.0,302.0,130.0,22.0,2.0,0.0,20.0,16.0,61.0,19.0,0.0
Alejandro Rodríguez,es ESP,FW,Empoli,it Serie A,27,1991,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,20.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ángel Rodríguez,es ESP,FW,Getafe,es La Liga,31,1987,20.2,13.0,8.0,4.0,5.0,4.0,2.0,20.0,10.0,18.0,390.0,84.0,21.5,26.0,182.0,182.0,14.0,2.0,0.0,12.0,5.0,18.0,10.0,0.0
James Rodríguez,co COL,"MF,FW",Bayern Munich,de Bundesliga,27,1991,12.6,13.0,11.0,4.0,4.0,5.0,2.0,27.0,7.4,25.0,226.0,61.0,27.0,40.0,108.0,78.0,12.0,1.0,0.0,11.0,8.0,21.0,1.0,0.0
Ricardo Rodríguez,ch SUI,DF,Milan,it Serie A,25,1992,33.9,55.0,34.0,38.0,17.0,0.0,30.0,54.0,55.6,24.0,407.0,110.0,27.0,233.0,144.0,30.0,65.0,7.0,2.0,58.0,20.0,75.0,88.0,0.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marko Rog,hr CRO,MF,Sevilla,es La Liga,23,1995,4.0,14.0,12.0,5.0,9.0,0.0,5.0,9.0,55.6,4.0,128.0,33.0,25.8,38.0,66.0,24.0,6.0,0.0,0.0,6.0,4.0,18.0,5.0,0.0
Marko Rog,hr CRO,MF,Napoli,it Serie A,23,1995,3.7,14.0,11.0,3.0,8.0,3.0,6.0,13.0,46.2,7.0,104.0,23.0,22.1,19.0,62.0,23.0,10.0,2.0,0.0,8.0,3.0,17.0,1.0,0.0
Rogério,br BRA,"DF,MF",Sassuolo,it Serie A,20,1998,29.7,58.0,34.0,38.0,13.0,7.0,21.0,48.0,43.8,27.0,454.0,138.0,30.4,249.0,148.0,57.0,67.0,7.0,0.0,60.0,24.0,82.0,85.0,1.0
Marcos Rojo,ar ARG,DF,Manchester Utd,eng Premier League,28,1990,2.4,5.0,3.0,4.0,0.0,1.0,1.0,5.0,20.0,4.0,35.0,13.0,37.1,14.0,16.0,5.0,7.0,2.0,0.0,5.0,4.0,9.0,9.0,1.0
Diego Rolán,uy URU,"MF,DF",Leganés,es La Liga,25,1993,2.4,6.0,3.0,4.0,2.0,0.0,3.0,10.0,30.0,7.0,42.0,9.0,21.4,17.0,17.0,8.0,4.0,1.0,0.0,3.0,2.0,8.0,1.0,0.0
Diego Rolán,uy URU,"FW,MF",Alavés,es La Liga,25,1993,3.3,4.0,2.0,2.0,1.0,1.0,1.0,2.0,50.0,1.0,96.0,13.0,13.5,23.0,51.0,22.0,0.0,0.0,0.0,0.0,5.0,9.0,3.0,0.0
Rolando,pt POR,DF,Marseille,fr Ligue 1,32,1985,8.9,16.0,12.0,13.0,2.0,1.0,6.0,11.0,54.5,5.0,60.0,17.0,28.3,42.0,16.0,2.0,12.0,7.0,1.0,5.0,4.0,20.0,40.0,1.0
Esteban Rolón,ar ARG,MF,Genoa,it Serie A,23,1995,11.6,39.0,21.0,11.0,21.0,7.0,12.0,39.0,30.8,27.0,344.0,93.0,27.0,114.0,155.0,75.0,18.0,2.0,0.0,16.0,20.0,59.0,17.0,0.0
Filippo Romagna,it ITA,DF,Cagliari,it Serie A,21,1997,16.4,15.0,8.0,14.0,1.0,0.0,5.0,11.0,45.5,6.0,148.0,41.0,27.7,100.0,47.0,1.0,28.0,13.0,0.0,15.0,11.0,26.0,71.0,1.0
Alessio Romagnoli,it ITA,DF,Milan,it Serie A,23,1995,31.6,41.0,26.0,27.0,9.0,5.0,11.0,17.0,64.7,6.0,199.0,59.0,29.6,128.0,67.0,4.0,64.0,36.0,0.0,28.0,24.0,65.0,181.0,1.0
Alaixys Romao,tg TOG,MF,Reims,fr Ligue 1,34,1984,35.1,116.0,70.0,58.0,49.0,9.0,32.0,121.0,26.4,89.0,789.0,211.0,26.7,293.0,432.0,64.0,60.0,20.0,0.0,40.0,42.0,158.0,87.0,0.0
Cristian Romero,ar ARG,DF,Genoa,it Serie A,20,1998,26.0,71.0,40.0,48.0,19.0,4.0,29.0,50.0,58.0,21.0,310.0,102.0,32.9,202.0,96.0,12.0,60.0,28.0,2.0,32.0,28.0,99.0,147.0,0.0
Oriol Romeu,es ESP,MF,Southampton,eng Premier League,26,1991,23.7,86.0,60.0,38.0,44.0,4.0,33.0,83.0,39.8,50.0,549.0,141.0,25.7,244.0,249.0,56.0,60.0,15.0,0.0,45.0,19.0,105.0,50.0,0.0
Rômulo,it ITA,"MF,DF",Genoa,it Serie A,31,1987,15.0,22.0,14.0,10.0,9.0,3.0,7.0,21.0,33.3,14.0,220.0,45.0,20.5,99.0,93.0,28.0,26.0,5.0,0.0,21.0,11.0,33.0,17.0,0.0
Rômulo,it ITA,"DF,MF",Lazio,it Serie A,31,1987,8.6,10.0,6.0,5.0,4.0,1.0,2.0,8.0,25.0,6.0,121.0,32.0,26.4,69.0,35.0,17.0,18.0,3.0,0.0,15.0,6.0,16.0,9.0,0.0
Cristiano Ronaldo,pt POR,FW,Juventus,it Serie A,33,1985,29.9,10.0,8.0,4.0,4.0,2.0,4.0,12.0,33.3,8.0,281.0,64.0,22.8,27.0,110.0,144.0,9.0,3.0,0.0,6.0,9.0,19.0,29.0,0.0
Facundo Roncaglia,ar ARG,DF,Valencia,es La Liga,31,1987,6.7,14.0,12.0,9.0,4.0,1.0,3.0,6.0,50.0,3.0,59.0,27.0,45.8,44.0,14.0,1.0,10.0,4.0,0.0,6.0,8.0,22.0,33.0,0.0
Facundo Roncaglia,ar ARG,DF,Celta Vigo,es La Liga,31,1987,11.9,28.0,13.0,22.0,6.0,0.0,11.0,26.0,42.3,15.0,123.0,40.0,32.5,74.0,46.0,3.0,22.0,4.0,0.0,18.0,12.0,40.0,47.0,1.0
Salomón Rondón,ve VEN,FW,Newcastle Utd,eng Premier League,28,1989,28.9,11.0,8.0,5.0,2.0,4.0,5.0,23.0,21.7,18.0,522.0,110.0,21.1,48.0,272.0,202.0,19.0,5.0,0.0,14.0,10.0,21.0,38.0,0.0
Valentin Rongier,fr FRA,MF,Nantes,fr Ligue 1,23,1994,35.8,78.0,50.0,22.0,38.0,18.0,12.0,62.0,19.4,50.0,1056.0,293.0,27.7,253.0,604.0,199.0,65.0,5.0,0.0,60.0,28.0,106.0,22.0,0.0
