Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %,% of dribblers tackled,A-xA,Assists,Att 3rd Pressures,Att 3rd tackles,Att 3rd touches,Attempted Dribbles,Blocked pass,Blocked shots,Blocks,CK in,CK out,CK str,Carries,Clearances,Corner Kicks,Crosses into Penalty Area,Dead Ball passes,Def 3rd Pressures,Def 3rd tackles,Def 3rd touches,Def Pen touches,Errors,Free Kick passes,G-xG,GCA OG,GCA dribbled,GCA fouls,GCA pass dead,GCA pass live,GCA shots,Goal-Creating Actions,Goal-Creating Actions p90,Goals,Goals per shot,Goals per shot on target,Ground passes,Head passes,High passes,Key Passes,Left passes,Live Ball passes,Live ball touches,Long Pass Completion %,Long Passes Attempted,Long Passes Completed,Low passes,Medium Pass Completion %,Medium Passes Attempted,Medium Passes Completed,Megs,Mid 3rd Pressures,Mid 3rd tackles,Mid 3rd touches,Miscon,No Tackels won,No of times dribbled past,No. Tackels,Non-penalty xG,Other passes,Pass Completion %,Pass Targets,Pass out of bounds,Passes Attempted,Passes Completed,Passes Dispossed,Passes Received,Passes Received %,Passes blocked,Passes completed,Passes intercepted,Passes into Final Third,Passes into Penalty Area,Passes offside,Passes under pressure,Penalty Kicks attempted,Penalty Kicks scored,Players dribbled past,Pressures,PrgDist,ProgDist carries,Progressive Passes,Right passes,SCA from dribbles,SCA from fouls,SCA pass dead,SCA pass live,SCA shots,ShSv,Short Pass Completion %,Short Passes Attempted,Short Passes Completed,Shot-Creating Actions,Shot-Creating Actions p90,Shots,Shots Total p90,Shots from Free Kicks,Shots on Target,Shots on Target %,Shots on Target p90,Succ Pressures,Succ Pressures %,Successful Dribble %,Successful Dribbles,Switches,Tackles v Dribble attempts,Tackles v Dribbles,Through Balls,Throw ins,Tkl+Int,TotDist,Total Distance carries,Touches,Touches in Box,np:G-xG,npxG/Sh,xA,xG
Afriyie Acquah,gh GHA,MF,Empoli,it Serie A,26,1992,16.8,4.0,0.0,0.0,28.0,32.0,1.0,22.0,7.0,13.0,0.0,0.0,0.0,130.0,14.0,20.0,41.2,20.0,-0.6,0.0,54.0,4.0,360.0,48.0,16.0,1.0,17.0,0.0,0.0,0.0,786.0,13.0,0.0,3.0,13.0,101.0,10.0,151.0,26.0,0.0,5.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.09,0.29,566.0,23.0,97.0,11.0,32.0,722.0,911.0,59.6,151.0,90.0,72.0,88.9,560.0,498.0,1.0,153.0,12.0,508.0,26.0,13.0,12.0,26.0,1.5,0.0,80.4,807.0,16.0,735.0,591.0,28.0,699.0,86.6,27.0,591.0,10.0,64.0,14.0,1.0,146.0,0.0,0.0,39.0,308.0,2575.0,3296.0,67.0,660.0,5.0,1.0,0.0,26.0,2.0,0.0,12.5,24.0,3.0,34.0,2.03,23.0,1.37,0.0,7.0,30.4,0.42,65.0,21.1,77.1,37.0,20.0,15.0,3.0,3.0,8.0,33.0,10181.0,5663.0,921.0,33.0,0.5,0.07,0.6,1.5
Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,19,1999,8.0,0.0,0.0,0.0,12.0,11.0,0.0,2.0,11.0,21.0,0.0,0.0,0.0,127.0,16.0,13.0,55.2,50.0,1.3,2.0,33.0,4.0,127.0,14.0,12.0,1.0,13.0,0.0,0.0,0.0,411.0,11.0,0.0,0.0,16.0,65.0,12.0,116.0,17.0,0.0,14.0,-0.2,0.0,1.0,0.0,0.0,3.0,0.0,4.0,0.5,0.0,0.0,0.0,364.0,48.0,82.0,5.0,79.0,500.0,605.0,74.4,86.0,64.0,70.0,84.0,412.0,346.0,1.0,112.0,11.0,421.0,13.0,21.0,11.0,27.0,0.2,2.0,80.6,438.0,8.0,516.0,416.0,9.0,404.0,92.2,14.0,416.0,3.0,49.0,4.0,1.0,89.0,0.0,0.0,11.0,210.0,2224.0,1474.0,53.0,373.0,1.0,1.0,0.0,11.0,0.0,0.0,33.3,18.0,6.0,13.0,1.62,3.0,0.37,0.0,1.0,33.3,0.12,81.0,38.6,78.6,11.0,6.0,22.0,11.0,4.0,2.0,38.0,6997.0,2488.0,617.0,7.0,-0.2,0.08,0.7,0.2
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,31,1987,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,28.0,27.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,15.0,0.0,16.0,13.0,17.0,36.8,19.0,7.0,1.0,100.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,50.0,9.0,2.0,24.0,12.0,0.0,9.0,100.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,51.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,369.0,85.0,28.0,0.0,0.0,0.0,0.0,0.0
Aday,es ESP,"DF,MF",Girona,es La Liga,30,1987,7.2,2.0,0.0,0.0,6.0,8.0,0.0,41.0,8.0,7.0,0.0,0.0,0.0,38.0,0.0,4.0,0.0,52.9,1.2,2.0,17.0,1.0,138.0,15.0,8.0,1.0,9.0,1.0,0.0,0.0,258.0,10.0,7.0,10.0,67.0,33.0,5.0,94.0,19.0,0.0,15.0,-0.2,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.28,0.0,0.0,0.0,170.0,14.0,110.0,14.0,37.0,258.0,321.0,53.4,133.0,71.0,45.0,86.0,178.0,153.0,0.0,37.0,7.0,196.0,4.0,7.0,8.0,13.0,0.2,1.0,70.8,267.0,3.0,325.0,230.0,5.0,236.0,88.4,12.0,230.0,7.0,8.0,10.0,2.0,65.0,0.0,0.0,11.0,87.0,1724.0,1176.0,40.0,228.0,3.0,1.0,5.0,14.0,2.0,0.0,42.9,14.0,6.0,25.0,3.49,9.0,1.26,2.0,3.0,33.3,0.42,21.0,24.1,73.3,11.0,25.0,17.0,9.0,0.0,45.0,21.0,4875.0,2060.0,386.0,7.0,-0.2,0.02,0.8,0.2
Khaled Adénon,bj BEN,DF,Amiens,fr Ligue 1,33,1985,22.2,7.0,1.0,1.0,33.0,21.0,2.0,0.0,19.0,24.0,0.0,0.0,1.0,249.0,42.0,37.0,53.2,41.9,-0.1,0.0,6.0,0.0,24.0,2.0,25.0,11.0,36.0,0.0,0.0,0.0,722.0,118.0,0.0,0.0,28.0,85.0,20.0,667.0,125.0,0.0,27.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,674.0,86.0,196.0,3.0,145.0,939.0,1164.0,81.1,371.0,301.0,97.0,91.4,584.0,534.0,0.0,67.0,11.0,579.0,2.0,24.0,18.0,31.0,0.9,8.0,87.1,708.0,23.0,967.0,842.0,9.0,695.0,98.2,7.0,842.0,6.0,62.0,4.0,1.0,106.0,0.0,0.0,2.0,158.0,6527.0,2393.0,67.0,707.0,0.0,1.0,0.0,5.0,1.0,0.0,58.3,12.0,7.0,7.0,0.32,11.0,0.5,0.0,0.0,0.0,0.0,68.0,43.0,100.0,2.0,45.0,31.0,13.0,0.0,1.0,50.0,19080.0,4152.0,1192.0,15.0,-0.9,0.08,0.1,0.9
Claud Adjapong,it ITA,"MF,DF",Sassuolo,it Serie A,20,1998,3.0,1.0,0.0,0.0,3.0,6.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,21.0,2.0,3.0,40.0,50.0,-0.1,0.0,9.0,2.0,61.0,13.0,2.0,1.0,3.0,0.0,0.0,0.0,109.0,3.0,0.0,0.0,23.0,24.0,3.0,38.0,5.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.33,1.0,65.0,1.0,12.0,2.0,10.0,78.0,124.0,68.8,16.0,11.0,24.0,85.3,75.0,64.0,0.0,14.0,2.0,59.0,13.0,3.0,1.0,7.0,0.5,0.0,76.2,104.0,1.0,101.0,77.0,7.0,85.0,81.7,7.0,77.0,3.0,2.0,3.0,2.0,11.0,0.0,0.0,8.0,47.0,378.0,399.0,11.0,66.0,0.0,0.0,0.0,2.0,0.0,0.0,20.0,10.0,2.0,2.0,0.67,3.0,1.0,0.0,1.0,33.3,0.33,13.0,27.7,61.5,8.0,1.0,2.0,1.0,0.0,23.0,10.0,1199.0,634.0,146.0,9.0,0.5,0.17,0.1,0.5
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,18,2000,2.4,1.0,0.0,0.0,4.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,21.0,2.0,1.0,66.7,50.0,-0.9,0.0,15.0,1.0,85.0,16.0,3.0,0.0,3.0,1.0,0.0,0.0,154.0,1.0,2.0,1.0,6.0,13.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,2.0,18.0,6.0,14.0,145.0,181.0,55.2,29.0,16.0,22.0,78.6,117.0,92.0,1.0,29.0,2.0,109.0,13.0,1.0,2.0,3.0,0.0,0.0,73.5,170.0,3.0,151.0,111.0,6.0,149.0,87.6,5.0,111.0,2.0,13.0,3.0,1.0,32.0,0.0,0.0,13.0,57.0,591.0,538.0,18.0,132.0,0.0,0.0,0.0,7.0,0.0,0.0,60.0,5.0,3.0,7.0,2.92,1.0,0.42,0.0,0.0,0.0,0.0,16.0,28.1,68.8,11.0,5.0,4.0,2.0,1.0,2.0,4.0,1935.0,1061.0,187.0,8.0,0.0,0.02,0.9,0.0
Ali Adnan Kadhim,iq IRQ,"MF,DF",Atalanta,it Serie A,24,1993,1.8,0.0,0.0,0.0,2.0,2.0,0.0,5.0,3.0,2.0,0.0,0.0,0.0,20.0,4.0,1.0,80.0,20.0,-0.2,0.0,2.0,0.0,53.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,88.0,4.0,6.0,1.0,24.0,10.0,3.0,37.0,8.0,0.0,4.0,-0.1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.54,0.0,0.0,0.0,69.0,5.0,27.0,3.0,78.0,99.0,114.0,50.0,34.0,17.0,27.0,72.3,83.0,60.0,0.0,9.0,0.0,54.0,0.0,2.0,4.0,3.0,0.1,1.0,63.4,87.0,4.0,123.0,78.0,0.0,79.0,90.8,5.0,78.0,4.0,6.0,2.0,2.0,24.0,0.0,0.0,4.0,21.0,612.0,264.0,15.0,22.0,1.0,0.0,1.0,4.0,0.0,0.0,16.7,6.0,1.0,6.0,3.25,3.0,1.63,0.0,0.0,0.0,0.0,6.0,28.6,80.0,4.0,4.0,5.0,1.0,0.0,14.0,6.0,1504.0,409.0,138.0,4.0,-0.1,0.05,0.2,0.1
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,5.0,0.0,0.0,28.0,8.0,12.0,9.0,1.0,3.0,0.0,1.0,0.0,25.0,38.0,44.0,46.3,0.0,-0.4,0.0,51.0,0.0,158.0,12.0,3.0,1.0,4.0,0.0,0.0,0.0,183.0,4.0,1.0,1.0,10.0,7.0,2.0,19.0,3.0,0.0,0.0,-1.3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.1,2.0,0.0,0.0,115.0,46.0,55.0,5.0,24.0,227.0,314.0,46.4,28.0,13.0,67.0,65.7,198.0,130.0,1.0,63.0,3.0,161.0,28.0,3.0,5.0,5.0,1.8,11.0,62.9,477.0,6.0,237.0,149.0,7.0,262.0,54.9,7.0,149.0,10.0,10.0,3.0,1.0,66.0,2.0,2.0,7.0,121.0,331.0,301.0,9.0,123.0,0.0,1.0,0.0,13.0,1.0,0.0,54.5,11.0,6.0,15.0,1.43,14.0,1.34,0.0,7.0,50.0,0.67,27.0,22.3,58.3,7.0,1.0,5.0,0.0,0.0,1.0,6.0,2052.0,820.0,326.0,44.0,-1.8,0.13,0.4,3.3
Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,6.0,2.0,2.0,48.0,46.0,0.0,49.0,16.0,34.0,2.0,0.0,0.0,217.0,19.0,22.0,46.3,42.1,1.1,3.0,38.0,5.0,415.0,66.0,38.0,3.0,41.0,0.0,1.0,0.0,987.0,50.0,2.0,13.0,225.0,199.0,38.0,453.0,82.0,1.0,28.0,0.1,0.0,0.0,3.0,0.0,4.0,0.0,7.0,0.26,1.0,0.06,0.2,694.0,61.0,269.0,15.0,296.0,979.0,1257.0,63.0,257.0,162.0,241.0,89.3,908.0,811.0,1.0,134.0,11.0,704.0,32.0,34.0,22.0,54.0,0.9,3.0,81.4,1007.0,22.0,1204.0,980.0,32.0,867.0,86.1,37.0,980.0,17.0,55.0,24.0,2.0,186.0,0.0,0.0,45.0,371.0,6575.0,3145.0,145.0,633.0,2.0,7.0,3.0,28.0,1.0,0.0,17.9,39.0,7.0,41.0,1.54,17.0,0.64,0.0,5.0,29.4,0.19,116.0,31.3,62.1,41.0,50.0,38.0,16.0,0.0,195.0,70.0,17749.0,5543.0,1470.0,31.0,0.1,0.06,1.9,0.9
