Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Attempted,Live Ball passes,Dead Ball passes,Free Kick passes,Through Balls,Passes under pressure,Switches,Crosses,Corner Kicks,CK in,CK out,CK str,Ground passes,Low passes,High passes,Left passes,Right passes,Head passes,Throw ins,Other passes,Passes completed,Passes offside,Pass out of bounds,Passes intercepted,Passes blocked
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,427.0,417.0,10.0,8.0,0.0,79.0,16.0,3.0,0.0,0.0,0.0,0.0,234.0,63.0,130.0,45.0,330.0,33.0,2.0,1.0,322.0,1.0,10.0,7.0,8.0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,1403.0,1335.0,68.0,57.0,1.0,152.0,50.0,11.0,0.0,0.0,0.0,0.0,935.0,158.0,310.0,89.0,1164.0,96.0,11.0,6.0,1149.0,6.0,40.0,9.0,13.0
Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,1312.0,1221.0,91.0,82.0,0.0,111.0,113.0,16.0,0.0,0.0,0.0,0.0,747.0,217.0,348.0,204.0,972.0,80.0,2.0,8.0,1096.0,4.0,32.0,11.0,12.0
Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,664.0,609.0,55.0,5.0,1.0,135.0,9.0,11.0,0.0,0.0,0.0,0.0,471.0,133.0,60.0,30.0,540.0,33.0,50.0,1.0,564.0,1.0,5.0,15.0,16.0
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,361.0,354.0,7.0,4.0,0.0,68.0,5.0,1.0,0.0,0.0,0.0,0.0,285.0,35.0,41.0,23.0,314.0,17.0,2.0,1.0,310.0,1.0,4.0,7.0,5.0
Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,292.0,290.0,2.0,1.0,0.0,64.0,6.0,3.0,0.0,0.0,0.0,0.0,186.0,64.0,42.0,28.0,235.0,10.0,1.0,1.0,231.0,0.0,8.0,7.0,11.0
Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,892.0,868.0,24.0,10.0,1.0,158.0,29.0,11.0,5.0,1.0,4.0,0.0,586.0,125.0,181.0,72.0,767.0,33.0,8.0,3.0,700.0,1.0,19.0,22.0,14.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,17.0,15.0,2.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,1.0,3.0,4.0,11.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,1222.0,1005.0,217.0,13.0,1.0,183.0,11.0,32.0,0.0,0.0,0.0,0.0,705.0,259.0,258.0,639.0,286.0,55.0,204.0,6.0,983.0,0.0,26.0,13.0,38.0
Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,193.0,191.0,2.0,1.0,0.0,60.0,5.0,12.0,0.0,0.0,0.0,0.0,110.0,29.0,54.0,38.0,122.0,14.0,0.0,1.0,140.0,0.0,5.0,2.0,9.0
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,669.0,526.0,143.0,19.0,1.0,116.0,6.0,9.0,0.0,0.0,0.0,0.0,402.0,145.0,122.0,53.0,465.0,18.0,124.0,3.0,551.0,2.0,10.0,6.0,17.0
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,1149.0,984.0,165.0,51.0,6.0,254.0,46.0,32.0,76.0,38.0,25.0,6.0,747.0,205.0,197.0,147.0,941.0,18.0,33.0,6.0,906.0,9.0,14.0,23.0,37.0
Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,78.0,77.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,10.0,15.0,59.0,2.0,0.0,0.0,74.0,0.0,1.0,0.0,0.0
Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,104.0,99.0,5.0,2.0,0.0,32.0,9.0,7.0,1.0,0.0,1.0,0.0,61.0,18.0,25.0,19.0,77.0,4.0,2.0,0.0,63.0,1.0,3.0,4.0,9.0
