Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %
Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,6.0,0.0,0.0,25.0,19.0,9.0,85.0,41.0,33.0,1.0,0.0,0.0,298.0,11.0,20.0,35.5
Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,1992,22.1,5.0,1.0,0.0,24.0,24.0,3.0,42.0,11.0,28.0,0.0,0.0,0.0,173.0,12.0,22.0,35.3
Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,4.0,0.0,0.0,10.0,8.0,0.0,3.0,18.0,17.0,0.0,0.0,0.0,193.0,40.0,32.0,55.6
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,1990,18.4,3.0,1.0,0.0,34.0,36.0,1.0,44.0,6.0,25.0,0.0,1.0,0.0,180.0,8.0,16.0,33.3
Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,1989,18.1,3.0,0.0,0.0,10.0,20.0,2.0,81.0,23.0,23.0,0.0,0.0,0.0,157.0,9.0,12.0,42.9
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,0.0,0.0,0.0,6.0,7.0,10.0,6.0,7.0,4.0,0.0,0.0,0.0,44.0,5.0,31.0,13.9
Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,9.0,0.0,0.0,21.0,13.0,2.0,3.0,29.0,20.0,0.0,0.0,0.0,194.0,63.0,37.0,63.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,5.0,0.0,0.0,52.0,34.0,1.0,16.0,35.0,66.0,0.0,0.0,0.0,383.0,25.0,31.0,44.6
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,13.0,0.0,0.0,69.0,109.0,1.0,19.0,34.0,66.0,0.0,0.0,0.0,445.0,35.0,55.0,38.9
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,3.0,0.0,0.0,10.0,2.0,1.0,3.0,20.0,23.0,0.0,1.0,1.0,356.0,33.0,36.0,47.8
Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1992,1.6,0.0,0.0,0.0,7.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,5.0,3.0,62.5
Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iván Alejo,es ESP,"MF,FW",Getafe,es La Liga,23,1995,1.6,2.0,1.0,0.0,10.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,2.0,50.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,2.0,0.0,0.0,9.0,14.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,48.0,4.0,2.0,66.7
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0
Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,3.0,0.0,0.0,14.0,8.0,4.0,111.0,33.0,28.0,0.0,0.0,0.0,290.0,6.0,15.0,28.6
Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,1.0,0.0,0.0,11.0,12.0,7.0,23.0,3.0,6.0,0.0,0.0,0.0,79.0,35.0,60.0,36.8
Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,1.0,0.0,100.0
Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,1.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,78.0,0.0,0.0,0.0
Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,10.0,0.0,0.0,50.0,61.0,0.0,9.0,16.0,92.0,0.0,0.0,0.0,329.0,8.0,16.0,33.3
Allan,br BRA,"MF,DF",Eint Frankfurt,de Bundesliga,21,1997,2.0,1.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,25.0,2.0,1.0,66.7
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,22,1996,20.3,4.0,0.0,0.0,23.0,20.0,3.0,17.0,16.0,26.0,0.0,0.0,0.0,180.0,11.0,18.0,37.9
Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,eng Premier League,24,1994,8.4,0.0,0.0,0.0,6.0,17.0,4.0,19.0,4.0,11.0,0.0,0.0,0.0,84.0,4.0,8.0,33.3
Júnior Alonso,py PAR,"DF,MF",Celta Vigo,es La Liga,25,1993,6.0,2.0,0.0,0.0,6.0,2.0,1.0,13.0,3.0,6.0,0.0,0.0,0.0,54.0,13.0,5.0,72.2
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,6.0,0.0,0.0,28.0,37.0,2.0,77.0,31.0,38.0,2.0,1.0,0.0,353.0,56.0,36.0,60.9
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,0.0,0.0,0.0,8.0,10.0,0.0,15.0,5.0,3.0,0.0,0.0,0.0,71.0,12.0,4.0,75.0
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,0.0,0.0,0.0
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,26,1992,11.9,1.0,0.0,0.0,19.0,6.0,1.0,1.0,10.0,22.0,0.0,0.0,0.0,152.0,27.0,18.0,60.0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,10.0,0.0,0.0,31.0,24.0,0.0,3.0,49.0,35.0,0.0,0.0,0.0,266.0,73.0,54.0,57.5
Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,9.0,1.0,1.0,32.0,13.0,1.0,16.0,15.0,8.0,0.0,1.0,1.0,310.0,88.0,29.0,75.2
Dani Alves,br BRA,"MF,DF",Paris S-G,fr Ligue 1,35,1983,18.0,4.0,0.0,0.0,43.0,23.0,4.0,45.0,9.0,29.0,0.0,0.0,0.0,180.0,9.0,11.0,45.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,es La Liga,25,1993,8.5,2.0,0.0,0.0,12.0,10.0,1.0,2.0,7.0,20.0,0.0,0.0,0.0,89.0,18.0,19.0,48.6
Romain Amalfitano,fr FRA,"MF,FW",Dijon,fr Ligue 1,28,1989,28.0,3.0,1.0,0.0,43.0,30.0,1.0,17.0,34.0,41.0,0.0,0.0,0.0,252.0,11.0,24.0,31.4
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,2.0,0.0,0.0,6.0,1.0,1.0,4.0,11.0,8.0,0.0,1.0,0.0,92.0,10.0,3.0,76.9
Jordi Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,9.0,0.0,0.0,47.0,9.0,1.0,1.0,30.0,28.0,0.0,2.0,0.0,287.0,34.0,25.0,57.6
Amath,sn SEN,"MF,FW",Getafe,es La Liga,22,1996,11.1,4.0,0.0,0.0,27.0,21.0,3.0,18.0,11.0,10.0,0.0,0.0,0.0,84.0,9.0,11.0,45.0
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,7.0,2.0,0.0,47.0,33.0,1.0,62.0,32.0,29.0,0.0,1.0,0.0,303.0,58.0,27.0,68.2
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,6.0,0.0,0.0,40.0,11.0,3.0,17.0,23.0,46.0,0.0,0.0,0.0,261.0,36.0,33.0,52.2
Nadiem Amiri,de GER,"MF,FW",Hoffenheim,de Bundesliga,21,1996,8.4,1.0,0.0,0.0,14.0,14.0,0.0,13.0,6.0,12.0,0.0,0.0,0.0,72.0,2.0,8.0,20.0
Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,7.0,0.0,0.0,31.0,14.0,0.0,1.0,18.0,20.0,0.0,1.0,0.0,388.0,64.0,38.0,62.7
Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,25,1993,33.8,3.0,0.0,0.0,27.0,53.0,5.0,76.0,38.0,44.0,0.0,1.0,0.0,295.0,5.0,18.0,21.7
Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,5.0,0.0,0.0,28.0,20.0,4.0,9.0,1.0,9.0,0.0,0.0,0.0,53.0,28.0,62.0,31.1
Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,8.0,1.0,1.0,59.0,48.0,4.0,11.0,37.0,66.0,1.0,0.0,0.0,338.0,116.0,66.0,63.7
Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,10.0,3.0,0.0,100.0
Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,2.0,0.0,0.0,7.0,3.0,1.0,0.0,4.0,7.0,0.0,2.0,0.0,45.0,29.0,7.0,80.6
Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,10.0,0.0,0.0,22.0,17.0,1.0,142.0,40.0,44.0,0.0,1.0,0.0,430.0,38.0,24.0,61.3
Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,31,1986,20.1,3.0,0.0,0.0,23.0,32.0,2.0,131.0,15.0,24.0,0.0,0.0,0.0,150.0,4.0,18.0,18.2
Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,0.0,0.0,0.0,29.0,37.0,17.0,29.0,6.0,7.0,0.0,0.0,0.0,107.0,25.0,34.0,42.4
Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,4.0,0.0,0.0,25.0,21.0,1.0,2.0,46.0,35.0,0.0,1.0,1.0,411.0,68.0,51.0,57.1
Luca Antonelli,it ITA,"DF,MF",Empoli,it Serie A,31,1987,8.4,1.0,0.0,0.0,11.0,22.0,3.0,9.0,10.0,9.0,0.0,0.0,0.0,74.0,6.0,3.0,66.7
Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,11.0,1.0,1.0,50.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michail Antonio,eng ENG,"FW,MF",West Ham,eng Premier League,28,1990,23.4,3.0,0.0,0.0,35.0,44.0,10.0,45.0,13.0,22.0,2.0,0.0,0.0,154.0,58.0,72.0,44.6
Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,30,1987,20.7,5.0,0.0,0.0,29.0,12.0,5.0,65.0,11.0,13.0,0.0,0.0,0.0,145.0,10.0,14.0,41.7
Vitorino Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,5.0,0.0,0.0,37.0,20.0,1.0,83.0,25.0,26.0,0.0,0.0,0.0,246.0,14.0,30.0,31.8
Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12.0,6.0,0.0,0.0,29.0,15.0,4.0,4.0,7.0,19.0,0.0,0.0,0.0,126.0,22.0,28.0,44.0
Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,1.0,0.0,0.0,10.0,6.0,2.0,16.0,12.0,8.0,0.0,0.0,0.0,114.0,6.0,1.0,85.7
Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34.0,2.0,0.0,0.0,30.0,53.0,11.0,12.0,31.0,36.0,2.0,0.0,0.0,284.0,8.0,25.0,24.2
Emmanuel Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,8.0,0.0,0.0,65.0,57.0,1.0,18.0,25.0,54.0,0.0,1.0,1.0,351.0,38.0,43.0,46.9
Guilherme Arana,br BRA,"MF,DF",Sevilla,es La Liga,21,1997,7.0,3.0,0.0,0.0,5.0,8.0,0.0,10.0,3.0,5.0,0.0,0.0,0.0,50.0,2.0,1.0,66.7
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,3.0,0.0,0.0,28.0,32.0,0.0,10.0,23.0,33.0,0.0,0.0,0.0,279.0,12.0,13.0,48.0
Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,22,1996,8.7,2.0,1.0,0.0,22.0,9.0,1.0,17.0,1.0,11.0,0.0,0.0,0.0,47.0,2.0,8.0,20.0
Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,3.0,1.0,1.0,15.0,4.0,1.0,3.0,23.0,24.0,0.0,1.0,0.0,259.0,59.0,29.0,67.0
Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,6.0,1.0,1.0,14.0,5.0,0.0,7.0,28.0,18.0,0.0,0.0,0.0,318.0,40.0,27.0,59.7
Joaquín Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,50.0
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0
Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,4.0,0.0,0.0,21.0,32.0,2.0,43.0,25.0,34.0,0.0,0.0,0.0,206.0,35.0,28.0,55.6
Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,2.0,0.0,0.0,16.0,22.0,2.0,0.0,11.0,12.0,0.0,0.0,1.0,120.0,35.0,31.0,53.0
Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
Yoël Armougom,fr FRA,"DF,MF",Caen,fr Ligue 1,20,1998,20.6,5.0,1.0,1.0,20.0,15.0,1.0,49.0,8.0,18.0,0.0,0.0,0.0,159.0,17.0,12.0,58.6
Stuart Armstrong,sco SCO,"MF,FW",Southampton,eng Premier League,26,1992,15.9,2.0,0.0,0.0,19.0,21.0,3.0,13.0,12.0,14.0,0.0,1.0,0.0,125.0,13.0,16.0,44.8
José Arnaiz,es ESP,"DF,MF",Leganés,es La Liga,23,1995,1.3,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,3.0,2.0,60.0
Marko Arnautović,at AUT,FW,West Ham,eng Premier League,29,1989,22.1,3.0,0.0,0.0,31.0,12.0,21.0,28.0,2.0,6.0,0.0,1.0,0.0,79.0,11.0,20.0,35.5
Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,24,1994,31.9,7.0,0.0,0.0,45.0,81.0,2.0,61.0,38.0,33.0,1.0,0.0,0.0,325.0,19.0,41.0,31.7
Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,23,1994,36.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,0.0
Harry Arter,ie IRL,MF,Cardiff City,eng Premier League,28,1989,22.2,10.0,0.0,0.0,25.0,14.0,2.0,14.0,20.0,40.0,0.0,0.0,0.0,228.0,5.0,12.0,29.4
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kwadwo Asamoah,gh GHA,DF,Inter,it Serie A,29,1988,29.7,6.0,0.0,0.0,29.0,69.0,0.0,59.0,30.0,21.0,0.0,0.0,0.0,307.0,16.0,22.0,42.1
