Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,0.0,0.0,0.0,10.0,7.0,1.0,25.0,11.0,17.0,0.0,0.0,0.0,328.0,22.0,27.0,44.9
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,3.0,0.0,0.0,14.0,26.0,2.0,27.0,18.0,30.0,0.0,1.0,1.0,148.0,8.0,20.0,28.6
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,6.0,0.0,0.0,23.0,13.0,18.0,5.0,2.0,2.0,0.0,0.0,0.0,49.0,34.0,51.0,40.0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,7.0,0.0,0.0,18.0,18.0,5.0,79.0,25.0,14.0,0.0,0.0,1.0,211.0,10.0,14.0,41.7
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,5.0,0.0,0.0,20.0,38.0,1.0,44.0,16.0,34.0,0.0,0.0,0.0,292.0,8.0,15.0,34.8
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,9.0,0.0,0.0,30.0,25.0,2.0,4.0,17.0,33.0,0.0,2.0,0.0,338.0,78.0,41.0,65.5
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,2.0,0.0,0.0,8.0,11.0,1.0,49.0,9.0,11.0,0.0,1.0,0.0,90.0,2.0,5.0,28.6
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,1.0,0.0,0.0,4.0,11.0,13.0,3.0,2.0,2.0,1.0,0.0,0.0,40.0,8.0,18.0,30.8
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,0.0,0.0,0.0,2.0,3.0,7.0,2.0,2.0,2.0,0.0,0.0,0.0,17.0,4.0,15.0,21.1
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,7.0,0.0,0.0,24.0,14.0,0.0,7.0,23.0,38.0,0.0,0.0,0.0,305.0,29.0,38.0,43.3
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,10.0,0.0,0.0,37.0,57.0,0.0,12.0,16.0,36.0,0.0,2.0,0.0,283.0,43.0,43.0,50.0
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,7.0,0.0,0.0,18.0,4.0,1.0,8.0,11.0,24.0,0.0,0.0,1.0,322.0,76.0,54.0,58.5
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,4.0,0.0,0.0,31.0,9.0,1.0,36.0,26.0,28.0,0.0,0.0,0.0,197.0,38.0,22.0,63.3
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,0.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,9.0,55.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,2.0,3.0,40.0
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,1.0,0.0,0.0,9.0,19.0,3.0,2.0,1.0,11.0,0.0,0.0,0.0,55.0,4.0,11.0,26.7
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,5.0,0.0,0.0,22.0,9.0,3.0,183.0,34.0,25.0,0.0,0.0,0.0,352.0,14.0,32.0,30.4
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,1.0,0.0,0.0,24.0,34.0,5.0,14.0,4.0,11.0,0.0,0.0,0.0,67.0,43.0,63.0,40.6
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0
Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,3.0,0.0,0.0,30.0,24.0,0.0,9.0,5.0,36.0,0.0,0.0,0.0,123.0,10.0,7.0,58.8
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,2.0,0.0,0.0,12.0,33.0,6.0,5.0,7.0,29.0,0.0,0.0,0.0,157.0,17.0,32.0,34.7
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,5.0,0.0,0.0,30.0,58.0,24.0,38.0,20.0,36.0,0.0,0.0,0.0,228.0,9.0,37.0,19.6
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,4.0,0.0,0.0,16.0,15.0,2.0,51.0,14.0,19.0,1.0,0.0,0.0,183.0,42.0,31.0,57.5
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,2.0,0.0,0.0,14.0,13.0,1.0,26.0,13.0,19.0,0.0,0.0,1.0,101.0,35.0,9.0,79.5
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,6.0,0.0,0.0,24.0,7.0,0.0,3.0,9.0,20.0,0.0,0.0,0.0,143.0,24.0,34.0,41.4
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,2.0,0.0,0.0,18.0,32.0,1.0,11.0,34.0,25.0,0.0,1.0,0.0,326.0,88.0,61.0,59.1
Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,4.0,0.0,0.0,24.0,12.0,1.0,16.0,15.0,11.0,0.0,2.0,0.0,256.0,88.0,23.0,79.3
Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,1.0,0.0,0.0,17.0,18.0,3.0,11.0,10.0,23.0,0.0,0.0,0.0,137.0,14.0,11.0,56.0
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,1.0,0.0,0.0,8.0,2.0,0.0,1.0,11.0,7.0,0.0,1.0,0.0,75.0,15.0,14.0,51.7
Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,2.0,0.0,0.0,15.0,6.0,0.0,3.0,5.0,9.0,0.0,0.0,0.0,82.0,20.0,17.0,54.1
Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,5.0,0.0,0.0,26.0,43.0,0.0,11.0,17.0,22.0,0.0,0.0,0.0,214.0,11.0,13.0,45.8
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,50.0
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,9.0,0.0,0.0,41.0,19.0,1.0,32.0,30.0,28.0,0.0,1.0,0.0,219.0,72.0,19.0,79.1
Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,1.0,0.0,0.0,7.0,9.0,1.0,12.0,4.0,5.0,0.0,0.0,0.0,50.0,21.0,18.0,53.8
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,3.0,0.0,0.0,23.0,8.0,0.0,9.0,12.0,15.0,0.0,1.0,0.0,132.0,20.0,17.0,54.1
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,3.0,0.0,0.0,27.0,39.0,3.0,32.0,14.0,13.0,1.0,0.0,0.0,198.0,7.0,21.0,25.0
Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,3.0,0.0,100.0
