Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Attempted,Live Ball passes,Dead Ball passes,Free Kick passes,Through Balls,Passes under pressure,Switches,Crosses,Corner Kicks,CK in,CK out,CK str,Ground passes,Low passes,High passes,Left passes,Right passes,Head passes,Throw ins,Other passes,Passes completed,Passes offside,Pass out of bounds,Passes intercepted,Passes blocked
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,31.0,31.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,4.0,2.0,22.0,3.0,0.0,2.0,26.0,0.0,0.0,1.0,2.0
Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,552.0,541.0,11.0,9.0,0.0,76.0,12.0,2.0,0.0,0.0,0.0,0.0,425.0,58.0,69.0,428.0,81.0,32.0,1.0,1.0,465.0,0.0,12.0,10.0,6.0
Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,34.0,26.0,8.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,13.0,13.0,8.0,2.0,21.0,3.0,8.0,0.0,14.0,1.0,1.0,3.0,2.0
Ola Aina,ng NGA,"DF,MF",Torino,it Serie A,21,1996,24.0,1160.0,913.0,247.0,13.0,1.0,171.0,35.0,72.0,1.0,0.0,0.0,0.0,615.0,224.0,321.0,220.0,608.0,73.0,232.0,4.0,845.0,1.0,39.0,17.0,48.0
Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,664.0,650.0,14.0,8.0,1.0,147.0,17.0,2.0,0.0,0.0,0.0,0.0,530.0,76.0,58.0,110.0,524.0,19.0,6.0,1.0,580.0,3.0,10.0,7.0,15.0
Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,739.0,717.0,22.0,22.0,2.0,133.0,32.0,2.0,0.0,0.0,0.0,0.0,587.0,76.0,76.0,199.0,513.0,23.0,0.0,1.0,638.0,1.0,21.0,13.0,11.0
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,33.0,31.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,2.0,2.0,28.0,3.0,0.0,2.0,0.0,30.0,0.0,0.0,1.0,0.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,467.0,441.0,26.0,0.0,0.0,169.0,13.0,8.0,0.0,0.0,0.0,0.0,244.0,144.0,79.0,251.0,85.0,45.0,1.0,15.0,355.0,2.0,8.0,10.0,12.0
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,1828.0,1785.0,43.0,26.0,1.0,180.0,67.0,3.0,0.0,0.0,0.0,0.0,1579.0,115.0,134.0,369.0,1363.0,62.0,17.0,5.0,1698.0,3.0,23.0,15.0,11.0
Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,442.0,352.0,90.0,3.0,1.0,62.0,6.0,8.0,0.0,0.0,0.0,0.0,243.0,103.0,96.0,63.0,253.0,30.0,87.0,1.0,346.0,4.0,11.0,5.0,15.0
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,1701.0,1618.0,83.0,51.0,0.0,216.0,28.0,8.0,0.0,0.0,0.0,0.0,1286.0,163.0,252.0,1283.0,234.0,104.0,32.0,6.0,1469.0,0.0,33.0,17.0,17.0
Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,89.0,79.0,10.0,1.0,0.0,17.0,4.0,6.0,0.0,0.0,0.0,0.0,62.0,13.0,14.0,64.0,14.0,2.0,9.0,0.0,70.0,2.0,3.0,1.0,3.0
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,1995,5.8,160.0,159.0,1.0,0.0,1.0,32.0,0.0,7.0,1.0,0.0,0.0,0.0,132.0,16.0,12.0,18.0,134.0,5.0,0.0,0.0,122.0,0.0,4.0,4.0,6.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,271.0,257.0,14.0,8.0,0.0,25.0,6.0,0.0,0.0,0.0,0.0,0.0,203.0,28.0,40.0,33.0,212.0,16.0,6.0,2.0,229.0,0.0,6.0,4.0,8.0
Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,169.0,162.0,7.0,5.0,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,128.0,13.0,28.0,17.0,140.0,6.0,2.0,2.0,140.0,0.0,8.0,3.0,4.0
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,2137.0,1846.0,291.0,27.0,7.0,397.0,48.0,103.0,5.0,0.0,0.0,0.0,1463.0,314.0,360.0,1606.0,203.0,52.0,259.0,1.0,1768.0,10.0,32.0,29.0,61.0
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,1104.0,858.0,246.0,6.0,3.0,155.0,8.0,26.0,0.0,0.0,0.0,0.0,598.0,267.0,239.0,72.0,737.0,47.0,239.0,3.0,837.0,4.0,27.0,18.0,42.0
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,391.0,373.0,18.0,1.0,1.0,83.0,5.0,9.0,0.0,0.0,0.0,0.0,262.0,87.0,42.0,50.0,282.0,29.0,1.0,7.0,304.0,1.0,6.0,10.0,11.0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2686.0,2366.0,320.0,52.0,1.0,356.0,35.0,85.0,1.0,0.0,0.0,0.0,1995.0,414.0,277.0,2002.0,334.0,70.0,267.0,7.0,2305.0,6.0,24.0,60.0,71.0
Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,1992,22.1,1479.0,1247.0,232.0,50.0,9.0,285.0,76.0,42.0,135.0,17.0,22.0,8.0,999.0,165.0,315.0,68.0,1343.0,27.0,26.0,7.0,1121.0,9.0,22.0,40.0,39.0
Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1126.0,1094.0,32.0,32.0,1.0,117.0,54.0,3.0,0.0,0.0,0.0,0.0,820.0,112.0,194.0,134.0,917.0,45.0,0.0,5.0,1000.0,1.0,18.0,3.0,11.0
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,1990,18.4,972.0,765.0,207.0,18.0,0.0,126.0,21.0,44.0,2.0,0.0,1.0,0.0,489.0,234.0,249.0,627.0,98.0,50.0,187.0,3.0,725.0,6.0,24.0,17.0,34.0
Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,1989,18.1,776.0,745.0,31.0,6.0,1.0,205.0,40.0,81.0,10.0,0.0,0.0,0.0,423.0,106.0,247.0,60.0,664.0,29.0,14.0,2.0,459.0,10.0,22.0,24.0,62.0
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,274.0,246.0,28.0,0.0,1.0,46.0,0.0,6.0,0.0,0.0,0.0,0.0,186.0,49.0,39.0,43.0,212.0,14.0,1.0,1.0,210.0,2.0,3.0,6.0,5.0
Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,843.0,797.0,46.0,46.0,0.0,102.0,37.0,3.0,0.0,0.0,0.0,0.0,575.0,93.0,175.0,38.0,729.0,54.0,0.0,2.0,698.0,1.0,31.0,12.0,6.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2573.0,2431.0,142.0,72.0,4.0,360.0,143.0,16.0,61.0,19.0,1.0,14.0,1866.0,281.0,426.0,144.0,2299.0,81.0,8.0,19.0,2327.0,3.0,33.0,26.0,20.0
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,1748.0,1641.0,107.0,91.0,0.0,300.0,120.0,19.0,16.0,4.0,3.0,1.0,1195.0,177.0,376.0,236.0,1395.0,90.0,0.0,8.0,1435.0,6.0,43.0,17.0,26.0
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,2342.0,2262.0,80.0,70.0,2.0,258.0,96.0,3.0,0.0,0.0,0.0,0.0,1714.0,159.0,469.0,449.0,1752.0,109.0,10.0,7.0,2067.0,8.0,44.0,7.0,13.0
Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1992,1.6,38.0,35.0,3.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,12.0,6.0,12.0,18.0,3.0,0.0,0.0,24.0,0.0,0.0,1.0,4.0
Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Iván Alejo,es ESP,"MF,FW",Getafe,es La Liga,23,1995,1.6,41.0,36.0,5.0,3.0,0.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,20.0,9.0,12.0,6.0,27.0,4.0,2.0,0.0,16.0,1.0,4.0,1.0,5.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,587.0,575.0,12.0,5.0,1.0,106.0,13.0,1.0,1.0,0.0,0.0,0.0,497.0,59.0,31.0,545.0,29.0,4.0,6.0,1.0,540.0,2.0,4.0,6.0,9.0
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,831.0,554.0,277.0,74.0,0.0,48.0,36.0,0.0,0.0,0.0,0.0,0.0,391.0,37.0,403.0,75.0,618.0,3.0,0.0,105.0,581.0,3.0,30.0,1.0,4.0
Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,7.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,4.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,2213.0,1781.0,432.0,44.0,5.0,321.0,113.0,111.0,73.0,22.0,15.0,2.0,1152.0,324.0,737.0,178.0,1669.0,47.0,315.0,3.0,1644.0,13.0,66.0,32.0,78.0
Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,383.0,364.0,19.0,0.0,0.0,104.0,8.0,23.0,0.0,0.0,0.0,0.0,233.0,88.0,62.0,67.0,244.0,36.0,4.0,6.0,273.0,0.0,15.0,9.0,11.0
Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,1262.0,969.0,293.0,85.0,0.0,153.0,63.0,0.0,0.0,0.0,0.0,0.0,793.0,100.0,369.0,100.0,924.0,1.0,0.0,197.0,1039.0,2.0,33.0,6.0,2.0
Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,466.0,290.0,176.0,50.0,0.0,29.0,7.0,0.0,0.0,0.0,0.0,0.0,149.0,12.0,305.0,27.0,342.0,0.0,0.0,71.0,288.0,0.0,24.0,1.0,0.0
Allan,br BRA,"MF,DF",Eint Frankfurt,de Bundesliga,21,1997,2.0,65.0,63.0,2.0,1.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,41.0,13.0,11.0,48.0,8.0,5.0,0.0,2.0,43.0,0.0,3.0,4.0,0.0
Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,2235.0,2128.0,107.0,69.0,12.0,271.0,43.0,9.0,1.0,0.0,0.0,0.0,1644.0,307.0,284.0,152.0,2006.0,48.0,17.0,9.0,1981.0,13.0,21.0,38.0,43.0
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,22,1996,20.3,1050.0,1018.0,32.0,9.0,13.0,255.0,18.0,17.0,2.0,0.0,0.0,0.0,815.0,97.0,138.0,45.0,943.0,37.0,11.0,6.0,843.0,7.0,15.0,24.0,38.0
Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,eng Premier League,24,1994,8.4,260.0,256.0,4.0,0.0,2.0,71.0,13.0,19.0,1.0,0.0,1.0,0.0,189.0,40.0,31.0,235.0,11.0,9.0,1.0,2.0,188.0,0.0,5.0,7.0,15.0
Júnior Alonso,py PAR,"DF,MF",Celta Vigo,es La Liga,25,1993,6.0,319.0,288.0,31.0,4.0,1.0,34.0,10.0,13.0,0.0,0.0,0.0,0.0,186.0,56.0,77.0,217.0,39.0,26.0,27.0,1.0,237.0,1.0,10.0,5.0,11.0
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2226.0,1950.0,276.0,26.0,2.0,402.0,48.0,77.0,0.0,0.0,0.0,0.0,1544.0,326.0,356.0,1674.0,177.0,85.0,250.0,5.0,1838.0,4.0,41.0,39.0,61.0
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,307.0,246.0,61.0,6.0,0.0,32.0,1.0,15.0,0.0,0.0,0.0,0.0,153.0,36.0,118.0,23.0,199.0,22.0,55.0,1.0,197.0,0.0,12.0,2.0,13.0
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,444.0,296.0,148.0,24.0,0.0,45.0,8.0,0.0,0.0,0.0,0.0,0.0,182.0,15.0,247.0,49.0,330.0,0.0,0.0,43.0,293.0,4.0,8.0,4.0,1.0
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,26,1992,11.9,496.0,488.0,8.0,8.0,0.0,69.0,12.0,1.0,0.0,0.0,0.0,0.0,329.0,56.0,111.0,57.0,377.0,41.0,0.0,2.0,404.0,2.0,12.0,5.0,3.0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,1247.0,1190.0,57.0,52.0,1.0,143.0,31.0,3.0,0.0,0.0,0.0,0.0,873.0,110.0,264.0,85.0,1045.0,86.0,4.0,5.0,1027.0,3.0,31.0,15.0,9.0
Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,1204.0,1132.0,72.0,69.0,0.0,168.0,66.0,16.0,0.0,0.0,0.0,0.0,695.0,168.0,341.0,132.0,913.0,106.0,0.0,11.0,963.0,12.0,26.0,10.0,12.0
Dani Alves,br BRA,"MF,DF",Paris S-G,fr Ligue 1,35,1983,18.0,1589.0,1505.0,84.0,17.0,18.0,360.0,42.0,45.0,6.0,0.0,0.0,0.0,1167.0,195.0,227.0,164.0,1328.0,29.0,61.0,3.0,1327.0,11.0,28.0,27.0,45.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,es La Liga,25,1993,8.5,365.0,358.0,7.0,6.0,0.0,89.0,11.0,2.0,0.0,0.0,0.0,0.0,264.0,49.0,52.0,49.0,278.0,23.0,0.0,2.0,313.0,2.0,7.0,3.0,13.0
Romain Amalfitano,fr FRA,"MF,FW",Dijon,fr Ligue 1,28,1989,28.0,1071.0,1050.0,21.0,9.0,4.0,182.0,53.0,17.0,0.0,0.0,0.0,0.0,721.0,125.0,225.0,116.0,887.0,43.0,12.0,4.0,839.0,5.0,24.0,16.0,24.0
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,433.0,380.0,53.0,3.0,0.0,50.0,7.0,4.0,0.0,0.0,0.0,0.0,286.0,58.0,89.0,36.0,314.0,24.0,50.0,4.0,354.0,1.0,8.0,9.0,4.0
Jordi Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,1289.0,1216.0,73.0,66.0,0.0,179.0,59.0,1.0,0.0,0.0,0.0,0.0,936.0,137.0,216.0,263.0,917.0,86.0,7.0,3.0,1081.0,6.0,31.0,11.0,17.0
Amath,sn SEN,"MF,FW",Getafe,es La Liga,22,1996,11.1,217.0,215.0,2.0,0.0,0.0,36.0,3.0,18.0,1.0,0.0,0.0,0.0,143.0,33.0,41.0,55.0,133.0,17.0,0.0,4.0,151.0,5.0,5.0,10.0,10.0
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,1295.0,1051.0,244.0,19.0,1.0,243.0,24.0,62.0,0.0,0.0,0.0,0.0,713.0,235.0,347.0,698.0,236.0,92.0,225.0,2.0,967.0,3.0,36.0,23.0,51.0
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,1188.0,956.0,232.0,30.0,1.0,191.0,20.0,17.0,0.0,0.0,0.0,0.0,714.0,211.0,263.0,158.0,748.0,50.0,202.0,2.0,938.0,4.0,29.0,27.0,27.0
Nadiem Amiri,de GER,"MF,FW",Hoffenheim,de Bundesliga,21,1996,8.4,382.0,370.0,12.0,5.0,0.0,71.0,4.0,13.0,1.0,1.0,0.0,0.0,279.0,68.0,35.0,54.0,306.0,14.0,6.0,1.0,327.0,1.0,1.0,5.0,8.0
Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,2048.0,1957.0,91.0,89.0,0.0,284.0,118.0,1.0,0.0,0.0,0.0,0.0,1551.0,174.0,323.0,350.0,1546.0,100.0,2.0,5.0,1816.0,3.0,35.0,22.0,14.0
Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,25,1993,33.8,1819.0,1688.0,131.0,57.0,10.0,313.0,83.0,76.0,46.0,1.0,5.0,0.0,1243.0,223.0,353.0,202.0,1531.0,47.0,26.0,8.0,1328.0,9.0,28.0,49.0,108.0
Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,180.0,173.0,7.0,0.0,0.0,49.0,2.0,9.0,0.0,0.0,0.0,0.0,104.0,42.0,34.0,18.0,112.0,25.0,0.0,3.0,122.0,0.0,8.0,5.0,10.0
Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,1479.0,1444.0,35.0,27.0,3.0,336.0,24.0,11.0,0.0,0.0,0.0,0.0,1019.0,233.0,227.0,187.0,1105.0,90.0,1.0,7.0,1182.0,10.0,30.0,39.0,33.0
Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,69.0,69.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,4.0,11.0,9.0,54.0,6.0,0.0,0.0,62.0,0.0,1.0,0.0,1.0
Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,233.0,226.0,7.0,7.0,0.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,153.0,22.0,58.0,51.0,160.0,10.0,0.0,2.0,191.0,1.0,9.0,0.0,1.0
