Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen touches,Def 3rd touches,Mid 3rd touches,Att 3rd touches,Touches in Box,Live ball touches,Successful Dribbles,Attempted Dribbles,Successful Dribble %,Players dribbled past,Megs,Carries,Total Distance carries,ProgDist carries,Pass Targets,Passes Received,Passes Received %,Miscon,Passes Dispossed
Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,de Bundesliga,27,1992,3.0,94.0,2.0,6.0,34.0,56.0,23.0,91.0,10.0,14.0,71.4,10.0,0.0,69.0,405.0,214.0,163.0,79.0,48.5,5.0,6.0
Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,25,1994,20.2,1075.0,54.0,315.0,681.0,156.0,9.0,1060.0,22.0,30.0,73.3,23.0,0.0,777.0,4415.0,1996.0,775.0,709.0,91.5,19.0,21.0
Raoul Bellanova,it ITA,DF,Bordeaux,fr Ligue 1,19,2000,0.7,36.0,2.0,20.0,11.0,8.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,23.0,110.0,56.0,27.0,22.0,81.5,1.0,2.0
Raoul Bellanova,it ITA,DF,Atalanta,it Serie A,19,2000,0.2,15.0,0.0,2.0,5.0,8.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,13.0,44.0,15.0,14.0,14.0,100.0,0.0,0.0
Karim Bellarabi,de GER,"FW,DF",Leverkusen,de Bundesliga,29,1990,15.8,933.0,9.0,94.0,404.0,537.0,95.0,884.0,50.0,87.0,57.5,53.0,5.0,763.0,5866.0,3898.0,881.0,713.0,80.9,27.0,41.0
Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,21,1998,16.6,920.0,21.0,184.0,574.0,251.0,25.0,896.0,32.0,50.0,64.0,35.0,0.0,679.0,4647.0,2393.0,717.0,619.0,86.3,34.0,36.0
Héctor Bellerín,es ESP,DF,Arsenal,eng Premier League,24,1995,12.9,837.0,34.0,254.0,430.0,212.0,28.0,710.0,16.0,35.0,45.7,21.0,2.0,489.0,2887.0,1810.0,548.0,500.0,91.2,11.0,16.0
Andrea Belotti,it ITA,FW,Torino,it Serie A,25,1993,33.4,1234.0,22.0,86.0,601.0,668.0,216.0,1173.0,41.0,78.0,52.6,43.0,2.0,829.0,6911.0,4749.0,1513.0,906.0,59.9,86.0,80.0
Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,20,1999,20.3,1047.0,36.0,237.0,671.0,215.0,14.0,1016.0,17.0,26.0,65.4,18.0,1.0,775.0,4169.0,1673.0,857.0,751.0,87.6,22.0,28.0
Sami Ben Amar,ma MAR,FW,Nîmes,fr Ligue 1,21,1998,0.2,13.0,0.0,3.0,5.0,6.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,7.0,63.0,53.0,10.0,7.0,70.0,0.0,2.0
Hatem Ben Arfa,fr FRA,"MF,FW",Valladolid,es La Liga,32,1987,1.8,77.0,1.0,12.0,51.0,26.0,3.0,72.0,10.0,15.0,66.7,11.0,0.0,69.0,587.0,312.0,71.0,60.0,84.5,3.0,9.0
Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,28,1990,24.0,1064.0,11.0,72.0,502.0,582.0,158.0,1013.0,37.0,56.0,66.1,39.0,2.0,800.0,4978.0,3018.0,1258.0,823.0,65.4,55.0,46.0
Marco Benassi,it ITA,MF,Fiorentina,it Serie A,24,1994,10.9,449.0,12.0,95.0,193.0,195.0,29.0,438.0,7.0,13.0,53.8,7.0,0.0,295.0,1541.0,837.0,371.0,302.0,81.4,9.0,11.0
Cristian Benavente,pe PER,"MF,FW",Nantes,fr Ligue 1,25,1994,3.9,207.0,0.0,18.0,122.0,81.0,25.0,199.0,4.0,10.0,40.0,4.0,0.0,138.0,739.0,361.0,226.0,156.0,69.0,12.0,8.0
Lars Bender,de GER,"DF,MF",Leverkusen,de Bundesliga,30,1989,15.3,1263.0,44.0,318.0,751.0,278.0,32.0,1109.0,12.0,16.0,75.0,13.0,2.0,749.0,4118.0,2311.0,846.0,784.0,92.7,14.0,7.0
Sven Bender,de GER,DF,Leverkusen,de Bundesliga,30,1989,30.3,2864.0,235.0,1405.0,1552.0,80.0,30.0,2812.0,5.0,5.0,100.0,5.0,1.0,1987.0,9503.0,3832.0,2086.0,2046.0,98.1,6.0,8.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darío Benedetto,ar ARG,FW,Marseille,fr Ligue 1,33,1986,23.3,739.0,23.0,53.0,378.0,335.0,98.0,684.0,21.0,30.0,70.0,22.0,1.0,423.0,2123.0,629.0,948.0,529.0,55.8,42.0,31.0
László Bénes,sk SVK,MF,M'Gladbach,de Bundesliga,21,1997,10.0,622.0,5.0,101.0,333.0,225.0,16.0,548.0,12.0,16.0,75.0,12.0,1.0,403.0,1844.0,1065.0,486.0,406.0,83.5,12.0,6.0
Walter Benítez,ar ARG,GK,Nice,fr Ligue 1,26,1993,26.0,842.0,775.0,841.0,5.0,0.0,0.0,600.0,0.0,0.0,0.0,0.0,0.0,367.0,1581.0,814.0,357.0,354.0,99.2,1.0,1.0
Loris Benito,ch SUI,DF,Bordeaux,fr Ligue 1,27,1992,21.1,1518.0,83.0,444.0,913.0,284.0,26.0,1330.0,8.0,16.0,50.0,10.0,1.0,975.0,5826.0,3054.0,1048.0,981.0,93.6,19.0,14.0
Bilal Benkhedim,fr FRA,"MF,FW",Saint-Étienne,fr Ligue 1,18,2001,1.5,86.0,0.0,11.0,52.0,34.0,4.0,80.0,1.0,3.0,33.3,1.0,0.0,66.0,438.0,217.0,63.0,51.0,81.0,3.0,6.0
Ismaël Bennacer,dz ALG,MF,Milan,it Serie A,21,1997,27.6,2083.0,65.0,495.0,1340.0,418.0,12.0,1971.0,66.0,82.0,80.5,68.0,0.0,1538.0,8989.0,4462.0,1453.0,1384.0,95.3,19.0,42.0
Ryan Bennett,eng ENG,DF,Wolves,eng Premier League,29,1990,6.7,315.0,50.0,169.0,133.0,27.0,7.0,300.0,0.0,0.0,0.0,0.0,0.0,144.0,478.0,237.0,162.0,157.0,96.9,0.0,3.0
Ryan Bennett,eng ENG,DF,Leicester City,eng Premier League,29,1990,3.7,248.0,12.0,105.0,138.0,22.0,0.0,228.0,0.0,0.0,0.0,0.0,0.0,132.0,728.0,372.0,162.0,155.0,95.7,0.0,0.0
Keanen Bennetts,eng ENG,MF,M'Gladbach,de Bundesliga,20,1999,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,0.0,0.0
Yassine Benrahou,fr FRA,"FW,MF",Bordeaux,fr Ligue 1,20,1999,1.9,139.0,2.0,20.0,71.0,62.0,2.0,125.0,1.0,3.0,33.3,2.0,0.0,99.0,485.0,217.0,122.0,93.0,76.2,7.0,7.0
Yassine Benrahou,fr FRA,"MF,FW",Nîmes,fr Ligue 1,20,1999,8.5,453.0,1.0,47.0,184.0,246.0,25.0,383.0,19.0,39.0,48.7,21.0,2.0,327.0,2004.0,1056.0,396.0,296.0,74.7,29.0,32.0
