Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fouls commited,Fouls drawn,Offsides,Crosses,Interceptions,Tackles won,Penalties won,Penalties conceded,Own goals,Recoveries,Aerial Duels won,Aerial Duels lost,Aerial win %,% of dribblers tackled,A-xA,Assists,Att 3rd Pressures,Att 3rd tackles,Att 3rd touches,Attempted Dribbles,Blocked pass,Blocked shots,Blocks,CK in,CK out,CK str,Carries,Clearances,Corner Kicks,Crosses into Penalty Area,Dead Ball passes,Def 3rd Pressures,Def 3rd tackles,Def 3rd touches,Def Pen touches,Errors,Free Kick passes,G-xG,GCA OG,GCA dribbled,GCA fouls,GCA pass dead,GCA pass live,GCA shots,Goal-Creating Actions,Goal-Creating Actions p90,Goals,Goals per shot,Goals per shot on target,Ground passes,Head passes,High passes,Key Passes,Left passes,Live Ball passes,Live ball touches,Long Pass Completion %,Long Passes Attempted,Long Passes Completed,Low passes,Medium Pass Completion %,Medium Passes Attempted,Medium Passes Completed,Megs,Mid 3rd Pressures,Mid 3rd tackles,Mid 3rd touches,Miscon,No Tackels won,No of times dribbled past,No. Tackels,Non-penalty xG,Other passes,Pass Completion %,Pass Targets,Pass out of bounds,Passes Attempted,Passes Completed,Passes Dispossed,Passes Received,Passes Received %,Passes blocked,Passes completed,Passes intercepted,Passes into Final Third,Passes into Penalty Area,Passes offside,Passes under pressure,Penalty Kicks attempted,Penalty Kicks scored,Players dribbled past,Pressures,PrgDist,ProgDist carries,Progressive Passes,Right passes,SCA from dribbles,SCA from fouls,SCA pass dead,SCA pass live,SCA shots,ShSv,Short Pass Completion %,Short Passes Attempted,Short Passes Completed,Shot-Creating Actions,Shot-Creating Actions p90,Shots,Shots Total p90,Shots from Free Kicks,Shots on Target,Shots on Target %,Shots on Target p90,Succ Pressures,Succ Pressures %,Successful Dribble %,Successful Dribbles,Switches,Tackles v Dribble attempts,Tackles v Dribbles,Through Balls,Throw ins,Tkl+Int,TotDist,Total Distance carries,Touches,Touches in Box,np:G-xG,npxG/Sh,xA,xG
Che Adams,eng ENG,FW,Southampton,eng Premier League,23,1996,12.3,0.0,0.0,0.0,17.0,16.0,10.0,12.0,3.0,6.0,1.0,0.0,0.0,73.0,29.0,86.0,25.2,0.0,0.8,2.0,125.0,2.0,235.0,27.0,9.0,1.0,10.0,0.0,0.0,0.0,308.0,10.0,0.0,0.0,8.0,9.0,2.0,35.0,10.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,5.0,0.41,4.0,0.11,0.44,160.0,11.0,38.0,11.0,18.0,257.0,433.0,56.8,44.0,25.0,67.0,76.4,195.0,149.0,1.0,97.0,4.0,204.0,44.0,6.0,5.0,8.0,4.0,5.0,69.4,657.0,9.0,265.0,184.0,29.0,315.0,47.9,20.0,184.0,8.0,12.0,3.0,1.0,73.0,0.0,0.0,15.0,231.0,631.0,847.0,19.0,211.0,3.0,4.0,0.0,15.0,2.0,0.0,38.5,26.0,10.0,24.0,1.94,37.0,3.0,0.0,9.0,24.3,0.73,58.0,25.1,55.6,15.0,8.0,5.0,0.0,3.0,0.0,11.0,2931.0,1841.0,441.0,68.0,0.0,0.11,1.2,4.0
Tyler Adams,us USA,"DF,MF",RB Leipzig,de Bundesliga,20,1999,10.6,0.0,0.0,0.0,9.0,16.0,0.0,9.0,7.0,12.0,0.0,0.0,0.0,106.0,10.0,16.0,38.5,30.0,-0.5,0.0,27.0,2.0,196.0,11.0,21.0,1.0,22.0,0.0,0.0,0.0,501.0,16.0,0.0,2.0,79.0,79.0,13.0,206.0,20.0,0.0,21.0,-0.4,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.19,0.0,0.0,0.0,479.0,33.0,94.0,6.0,73.0,620.0,737.0,76.7,116.0,89.0,126.0,89.2,554.0,494.0,0.0,88.0,8.0,453.0,9.0,12.0,21.0,23.0,0.4,2.0,85.1,602.0,8.0,699.0,595.0,13.0,554.0,92.0,18.0,595.0,19.0,30.0,8.0,1.0,80.0,0.0,0.0,6.0,194.0,2653.0,1118.0,52.0,524.0,0.0,1.0,1.0,14.0,2.0,0.0,41.4,29.0,12.0,18.0,1.7,7.0,0.66,0.0,1.0,14.3,0.09,60.0,30.9,54.5,6.0,4.0,30.0,9.0,1.0,58.0,30.0,9793.0,2484.0,813.0,13.0,-0.4,0.06,0.5,0.4
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,26,1993,8.3,1.0,0.0,0.0,12.0,7.0,7.0,6.0,3.0,4.0,1.0,0.0,0.0,47.0,14.0,40.0,25.9,16.7,0.1,1.0,83.0,3.0,164.0,24.0,4.0,1.0,5.0,0.0,0.0,0.0,206.0,5.0,0.0,2.0,12.0,33.0,2.0,29.0,7.0,0.0,0.0,0.9,0.0,0.0,1.0,0.0,3.0,0.0,4.0,0.48,5.0,0.25,0.5,109.0,10.0,33.0,7.0,28.0,179.0,297.0,68.0,25.0,17.0,49.0,79.3,150.0,119.0,0.0,93.0,5.0,134.0,25.0,4.0,20.0,10.0,4.1,5.0,73.3,404.0,1.0,191.0,140.0,20.0,212.0,52.5,14.0,140.0,2.0,5.0,4.0,0.0,42.0,0.0,0.0,13.0,209.0,429.0,834.0,17.0,132.0,1.0,2.0,0.0,16.0,1.0,0.0,25.0,16.0,4.0,20.0,2.41,20.0,2.41,0.0,10.0,50.0,1.21,45.0,21.5,45.8,11.0,3.0,24.0,4.0,0.0,6.0,13.0,2008.0,1591.0,309.0,46.0,0.9,0.2,0.9,4.1
Antonio Adán,es ESP,GK,Atlético Madrid,es La Liga,32,1987,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,5.0,6.0,50.0,4.0,2.0,0.0,100.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,66.7,1.0,0.0,6.0,4.0,0.0,1.0,100.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0
Bobby Adekanye,nl NED,FW,Lazio,it Serie A,20,1999,2.1,1.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,10.0,1.0,6.0,14.3,20.0,-0.1,0.0,19.0,0.0,30.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,1.0,0.0,0.0,2.0,4.0,0.0,9.0,0.0,0.0,0.0,-0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.25,38.0,1.0,3.0,2.0,39.0,44.0,68.0,100.0,5.0,5.0,5.0,87.2,39.0,34.0,0.0,37.0,4.0,35.0,5.0,3.0,4.0,4.0,1.7,0.0,89.1,82.0,0.0,46.0,41.0,4.0,50.0,61.0,0.0,41.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,4.0,60.0,68.0,241.0,1.0,4.0,0.0,2.0,0.0,3.0,1.0,0.0,100.0,2.0,2.0,6.0,2.87,5.0,2.39,0.0,4.0,80.0,1.91,10.0,16.7,100.0,4.0,0.0,5.0,1.0,0.0,1.0,6.0,546.0,410.0,70.0,13.0,-0.7,0.34,0.1,1.7
Claud Adjapong,it ITA,DF,Hellas Verona,it Serie A,21,1998,2.6,0.0,0.0,0.0,3.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,12.0,4.0,2.0,66.7,0.0,0.0,0.0,11.0,1.0,37.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,66.0,9.0,0.0,0.0,15.0,28.0,2.0,35.0,14.0,0.0,1.0,-0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,5.0,17.0,0.0,10.0,65.0,98.0,60.0,20.0,12.0,23.0,82.5,57.0,47.0,0.0,11.0,2.0,52.0,5.0,3.0,2.0,5.0,0.6,0.0,76.3,76.0,1.0,80.0,61.0,1.0,63.0,82.9,1.0,61.0,2.0,6.0,0.0,0.0,18.0,0.0,0.0,2.0,50.0,358.0,214.0,8.0,49.0,1.0,0.0,0.0,0.0,0.0,0.0,66.7,3.0,2.0,1.0,0.39,3.0,1.17,0.0,1.0,33.3,0.39,12.0,24.0,33.3,1.0,1.0,2.0,0.0,0.0,14.0,8.0,1113.0,440.0,112.0,7.0,-0.6,0.18,0.0,0.6
Amine Adli,fr FRA,"MF,FW",Toulouse,fr Ligue 1,19,2000,0.5,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,50.0,0.0,-0.1,0.0,1.0,0.0,14.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,25.0,0.0,3.0,0.0,5.0,6.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,5.0,2.0,22.0,22.0,28.0,33.3,6.0,2.0,8.0,90.5,21.0,19.0,0.0,10.0,0.0,20.0,3.0,0.0,3.0,0.0,0.0,0.0,77.8,26.0,1.0,27.0,21.0,1.0,23.0,88.5,0.0,21.0,0.0,4.0,1.0,0.0,4.0,0.0,0.0,3.0,17.0,127.0,144.0,5.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,5.87,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.5,75.0,3.0,3.0,3.0,0.0,0.0,1.0,1.0,336.0,259.0,33.0,1.0,0.0,0.0,0.1,0.0
Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,19,2000,11.3,3.0,0.0,0.0,13.0,18.0,0.0,11.0,9.0,18.0,0.0,0.0,0.0,85.0,9.0,14.0,39.1,32.3,1.0,3.0,90.0,6.0,210.0,42.0,11.0,0.0,11.0,8.0,7.0,3.0,554.0,4.0,19.0,0.0,41.0,72.0,6.0,73.0,13.0,0.0,18.0,2.1,0.0,2.0,0.0,1.0,3.0,1.0,7.0,0.62,3.0,0.17,0.5,441.0,8.0,64.0,18.0,62.0,540.0,695.0,64.8,142.0,92.0,76.0,85.5,422.0,361.0,3.0,166.0,15.0,512.0,27.0,18.0,21.0,27.0,0.9,1.0,79.2,612.0,9.0,581.0,460.0,32.0,549.0,89.7,7.0,460.0,22.0,50.0,8.0,3.0,144.0,0.0,0.0,28.0,328.0,1964.0,1986.0,67.0,498.0,4.0,1.0,5.0,25.0,2.0,0.0,41.2,17.0,7.0,37.0,3.26,18.0,1.59,1.0,6.0,33.3,0.53,86.0,26.2,57.1,24.0,22.0,31.0,10.0,1.0,3.0,36.0,8420.0,3296.0,735.0,13.0,2.1,0.05,2.0,0.9
Adrián,es ESP,GK,Liverpool,eng Premier League,32,1987,9.7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,95.0,2.0,0.0,338.0,301.0,2.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,1.0,140.0,0.0,31.0,219.0,244.0,58.4,202.0,118.0,24.0,99.1,108.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,49.0,72.3,155.0,9.0,314.0,227.0,0.0,154.0,99.4,1.0,227.0,0.0,3.0,0.0,0.0,40.0,0.0,0.0,0.0,2.0,3815.0,355.0,0.0,217.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,4.0,2.0,2.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,6819.0,641.0,338.0,0.0,0.0,0.0,0.0,0.0
Aritz Aduriz,es ESP,FW,Athletic Club,es La Liga,38,1981,2.3,3.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,20.0,6.0,76.9,0.0,0.0,0.0,7.0,0.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,0.0,0.0,0.0,4.0,0.0,7.0,2.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.17,0.33,21.0,8.0,20.0,0.0,3.0,57.0,81.0,12.5,8.0,1.0,16.0,66.7,48.0,32.0,0.0,5.0,1.0,39.0,4.0,1.0,0.0,1.0,0.6,3.0,57.9,117.0,5.0,57.0,33.0,2.0,64.0,54.7,1.0,33.0,0.0,3.0,0.0,0.0,22.0,1.0,0.0,2.0,16.0,88.0,46.0,3.0,26.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.87,6.0,2.6,0.0,3.0,50.0,1.3,4.0,25.0,100.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,428.0,147.0,82.0,11.0,0.4,0.1,0.0,1.3
