Player,Nation,Pos,Squad,Comp,Age,Born,90s,Shot-Creating Actions,Shot-Creating Actions p90,SCA pass live,SCA pass dead,SCA from dribbles,SCA shots,SCA from fouls,Goal-Creating Actions,Goal-Creating Actions p90,GCA pass live,GCA pass dead,GCA dribbled,GCA shots,GCA fouls,GCA OG
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,34.0,2.53,26.0,0.0,2.0,3.0,3.0,6.0,0.45,4.0,0.0,0.0,1.0,1.0,0.0
Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,12.0,0.58,10.0,0.0,0.0,2.0,0.0,2.0,0.1,2.0,0.0,0.0,0.0,0.0,0.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,77.0,2.88,58.0,13.0,2.0,0.0,4.0,8.0,0.3,6.0,2.0,0.0,0.0,0.0,0.0
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,55.0,1.66,34.0,6.0,5.0,2.0,8.0,4.0,0.12,2.0,0.0,1.0,0.0,1.0,0.0
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,30.0,0.92,24.0,0.0,1.0,5.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1992,1.6,5.0,3.21,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iván Alejo,es ESP,"MF,FW",Getafe,es La Liga,23,1995,1.6,2.0,1.23,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,24.0,3.39,22.0,0.0,0.0,1.0,1.0,5.0,0.71,4.0,0.0,0.0,1.0,0.0,0.0
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,2.0,0.08,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,83.0,3.03,52.0,23.0,5.0,2.0,1.0,17.0,0.62,13.0,4.0,0.0,0.0,0.0,0.0
Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,31.0,2.23,24.0,0.0,3.0,4.0,0.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0
Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,4.0,0.11,1.0,3.0,0.0,0.0,0.0,2.0,0.05,0.0,2.0,0.0,0.0,0.0,0.0
Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,85.0,2.92,72.0,0.0,7.0,3.0,3.0,9.0,0.31,8.0,0.0,0.0,1.0,0.0,0.0
Allan,br BRA,"MF,DF",Eint Frankfurt,de Bundesliga,21,1997,2.0,4.0,2.05,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,22,1996,20.3,61.0,3.01,47.0,1.0,5.0,3.0,5.0,5.0,0.25,3.0,0.0,0.0,1.0,1.0,0.0
Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,eng Premier League,24,1994,8.4,27.0,3.2,22.0,0.0,1.0,2.0,2.0,2.0,0.24,0.0,0.0,0.0,1.0,1.0,0.0
Júnior Alonso,py PAR,"DF,MF",Celta Vigo,es La Liga,25,1993,6.0,5.0,0.84,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,61.0,1.99,52.0,1.0,0.0,5.0,3.0,11.0,0.36,6.0,0.0,0.0,3.0,2.0,0.0
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,14.0,2.21,11.0,2.0,0.0,1.0,0.0,1.0,0.16,0.0,0.0,0.0,1.0,0.0,0.0
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,26,1992,11.9,6.0,0.51,6.0,0.0,0.0,0.0,0.0,1.0,0.08,1.0,0.0,0.0,0.0,0.0,0.0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,4.0,0.14,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,19.0,0.59,14.0,4.0,0.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Dani Alves,br BRA,"MF,DF",Paris S-G,fr Ligue 1,35,1983,18.0,55.0,3.05,51.0,1.0,0.0,1.0,2.0,10.0,0.55,10.0,0.0,0.0,0.0,0.0,0.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,es La Liga,25,1993,8.5,8.0,0.94,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Romain Amalfitano,fr FRA,"MF,FW",Dijon,fr Ligue 1,28,1989,28.0,32.0,1.14,26.0,0.0,1.0,2.0,3.0,2.0,0.07,1.0,0.0,0.0,1.0,0.0,0.0
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,8.0,1.12,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordi Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,14.0,0.46,11.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amath,sn SEN,"MF,FW",Getafe,es La Liga,22,1996,11.1,24.0,2.16,19.0,0.0,1.0,2.0,2.0,2.0,0.18,1.0,0.0,0.0,1.0,0.0,0.0
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,40.0,1.65,33.0,3.0,2.0,1.0,1.0,3.0,0.12,3.0,0.0,0.0,0.0,0.0,0.0
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,25.0,0.78,18.0,4.0,2.0,1.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Nadiem Amiri,de GER,"MF,FW",Hoffenheim,de Bundesliga,21,1996,8.4,30.0,3.58,22.0,2.0,3.0,1.0,1.0,3.0,0.36,1.0,0.0,0.0,0.0,1.0,1.0
Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,25.0,0.78,21.0,1.0,1.0,2.0,0.0,3.0,0.09,3.0,0.0,0.0,0.0,0.0,0.0
Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,25,1993,33.8,129.0,3.82,87.0,19.0,10.0,5.0,8.0,14.0,0.41,9.0,1.0,2.0,2.0,0.0,0.0
Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,13.0,1.33,6.0,0.0,2.0,3.0,2.0,2.0,0.2,0.0,0.0,1.0,1.0,0.0,0.0
Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,56.0,2.02,44.0,1.0,2.0,1.0,8.0,5.0,0.18,4.0,0.0,0.0,0.0,1.0,0.0
Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,2.0,0.28,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,85.0,2.53,52.0,26.0,3.0,2.0,2.0,6.0,0.18,5.0,1.0,0.0,0.0,0.0,0.0
Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,31,1986,20.1,53.0,2.64,37.0,5.0,7.0,2.0,1.0,5.0,0.25,3.0,0.0,1.0,0.0,0.0,1.0
Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,59.0,2.49,42.0,0.0,6.0,5.0,6.0,5.0,0.21,3.0,0.0,1.0,0.0,1.0,0.0
Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,21.0,0.62,17.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luca Antonelli,it ITA,"DF,MF",Empoli,it Serie A,31,1987,8.4,10.0,1.19,7.0,0.0,0.0,1.0,2.0,2.0,0.24,2.0,0.0,0.0,0.0,0.0,0.0
Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,1.0,1.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michail Antonio,eng ENG,"FW,MF",West Ham,eng Premier League,28,1990,23.4,55.0,2.35,36.0,0.0,7.0,6.0,6.0,9.0,0.39,4.0,0.0,0.0,3.0,2.0,0.0
Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,30,1987,20.7,43.0,2.08,35.0,2.0,4.0,0.0,2.0,2.0,0.1,1.0,0.0,1.0,0.0,0.0,0.0
Vitorino Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,55.0,2.27,31.0,17.0,3.0,3.0,1.0,5.0,0.21,5.0,0.0,0.0,0.0,0.0,0.0
Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12.0,6.0,0.5,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,18.0,1.58,11.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34.0,107.0,3.15,83.0,0.0,4.0,11.0,9.0,18.0,0.53,10.0,0.0,0.0,3.0,5.0,0.0
Emmanuel Apeh,ng NGA,MF,Celta Vigo,es La Liga,21,1996,0.2,1.0,6.43,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mauro Arambarri,uy URU,MF,Getafe,es La Liga,22,1995,29.7,32.0,1.08,22.0,1.0,2.0,0.0,7.0,3.0,0.1,1.0,1.0,0.0,0.0,1.0,0.0
Guilherme Arana,br BRA,"MF,DF",Sevilla,es La Liga,21,1997,7.0,5.0,0.72,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,29,1989,21.0,59.0,2.81,54.0,2.0,0.0,2.0,1.0,9.0,0.43,9.0,0.0,0.0,0.0,0.0,0.0
Luiz Araújo,br BRA,"FW,MF",Lille,fr Ligue 1,22,1996,8.7,26.0,3.0,18.0,3.0,2.0,2.0,1.0,4.0,0.46,3.0,0.0,1.0,0.0,0.0,0.0
Néstor Araujo,mx MEX,DF,Celta Vigo,es La Liga,26,1991,29.8,13.0,0.44,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anaitz Arbilla,es ESP,DF,Eibar,es La Liga,31,1987,21.7,14.0,0.65,12.0,0.0,0.0,1.0,1.0,3.0,0.14,3.0,0.0,0.0,0.0,0.0,0.0
Joaquín Ardaiz,uy URU,FW,Frosinone,it Serie A,19,1999,0.2,1.0,4.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphonse Areola,fr FRA,GK,Paris S-G,fr Ligue 1,25,1993,21.0,1.0,0.05,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santiago Arias,co COL,DF,Atlético Madrid,es La Liga,26,1992,19.7,32.0,1.63,28.0,1.0,1.0,0.0,2.0,3.0,0.15,3.0,0.0,0.0,0.0,0.0,0.0
Lorenzo Ariaudo,it ITA,DF,Frosinone,it Serie A,29,1989,18.7,10.0,0.54,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolò Armini,it ITA,DF,Lazio,it Serie A,17,2001,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
