Player,Nation,Pos,Squad,Comp,Age,Born,90s,No. Tackels,No Tackels won,Def 3rd tackles,Mid 3rd tackles,Att 3rd tackles,Tackles v Dribbles,Tackles v Dribble attempts,% of dribblers tackled,No of times dribbled past,Pressures,Succ Pressures,Succ Pressures %,Def 3rd Pressures,Mid 3rd Pressures,Att 3rd Pressures,Blocks,Blocked shots,ShSv,Blocked pass,Interceptions,Tkl+Int,Clearances,Errors
Ola Aina,ng NGA,DF,Torino,it Serie A,22,1996,23.1,49.0,28.0,26.0,19.0,4.0,24.0,49.0,49.0,25.0,328.0,95.0,29.0,140.0,130.0,58.0,70.0,9.0,0.0,61.0,26.0,75.0,56.0,1.0
Youssef Aït Bennasser,ma MAR,MF,Bordeaux,fr Ligue 1,23,1996,6.0,11.0,7.0,7.0,4.0,0.0,2.0,25.0,8.0,23.0,164.0,48.0,29.3,41.0,108.0,15.0,12.0,2.0,0.0,10.0,5.0,16.0,7.0,0.0
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,18,2001,14.2,32.0,18.0,13.0,11.0,8.0,6.0,24.0,25.0,18.0,224.0,83.0,37.1,104.0,83.0,37.0,32.0,1.0,0.0,31.0,13.0,45.0,51.0,0.0
Albian Ajeti,ch SUI,"MF,FW",West Ham,eng Premier League,22,1997,1.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,1.0,4.8,3.0,6.0,12.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,25,1994,22.9,18.0,14.0,3.0,13.0,2.0,3.0,19.0,15.8,16.0,280.0,75.0,26.8,19.0,146.0,115.0,11.0,2.0,0.0,9.0,3.0,21.0,23.0,0.0
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,24,1995,25.7,44.0,23.0,29.0,13.0,2.0,17.0,30.0,56.7,13.0,223.0,86.0,38.6,129.0,83.0,11.0,35.0,11.0,0.0,24.0,18.0,62.0,85.0,3.0
Marley Aké,fr FRA,"FW,MF",Marseille,fr Ligue 1,18,2001,1.1,4.0,2.0,2.0,2.0,0.0,1.0,2.0,50.0,1.0,15.0,4.0,26.7,3.0,10.0,2.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,24,1995,27.8,25.0,11.0,20.0,5.0,0.0,7.0,24.0,29.2,17.0,222.0,66.0,29.7,146.0,66.0,10.0,59.0,30.0,0.0,29.0,27.0,52.0,176.0,1.0
Chadrac Akolo,cd COD,"FW,MF",Amiens,fr Ligue 1,24,1995,6.0,17.0,13.0,7.0,7.0,3.0,3.0,17.0,17.6,14.0,140.0,43.0,30.7,40.0,71.0,29.0,8.0,1.0,0.0,7.0,5.0,22.0,4.0,0.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,24,1995,12.7,27.0,11.0,19.0,8.0,0.0,15.0,32.0,46.9,17.0,169.0,56.0,33.1,106.0,54.0,9.0,31.0,10.0,0.0,21.0,11.0,38.0,67.0,1.0
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,27,1992,27.8,27.0,17.0,10.0,17.0,0.0,10.0,24.0,41.7,14.0,208.0,80.0,38.5,79.0,109.0,20.0,40.0,11.0,0.0,29.0,11.0,38.0,65.0,0.0
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,21,1998,15.6,49.0,30.0,28.0,12.0,9.0,25.0,49.0,51.0,24.0,250.0,78.0,31.2,124.0,81.0,45.0,23.0,2.0,0.0,21.0,18.0,67.0,35.0,2.0
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,26,1992,13.0,7.0,2.0,1.0,3.0,3.0,3.0,10.0,30.0,7.0,185.0,51.0,27.6,5.0,72.0,108.0,9.0,2.0,0.0,7.0,2.0,9.0,5.0,0.0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,30,1989,24.3,25.0,14.0,10.0,9.0,6.0,8.0,30.0,26.7,22.0,231.0,68.0,29.4,89.0,95.0,47.0,40.0,5.0,0.0,35.0,25.0,50.0,42.0,1.0
Luis Alberto,es ESP,MF,Lazio,it Serie A,26,1992,34.6,52.0,34.0,24.0,22.0,6.0,22.0,91.0,24.2,69.0,677.0,202.0,29.8,188.0,323.0,166.0,43.0,1.0,0.0,42.0,16.0,68.0,16.0,0.0
Raúl Albiol,es ESP,DF,Villarreal,es La Liga,33,1985,36.0,50.0,33.0,31.0,18.0,1.0,18.0,33.0,54.5,15.0,278.0,85.0,30.6,172.0,102.0,4.0,40.0,21.0,0.0,19.0,17.0,67.0,254.0,4.0
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,23.0,11.0,11.0,11.0,1.0,7.0,29.0,24.1,22.0,191.0,65.0,34.0,46.0,94.0,51.0,18.0,1.0,0.0,17.0,9.0,32.0,7.0,0.0
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,4.0,2.0,2.0,2.0,0.0,1.0,12.0,8.3,11.0,146.0,43.0,29.5,18.0,67.0,61.0,10.0,2.0,0.0,8.0,2.0,6.0,9.0,0.0
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,2.0,2.0,0.0,2.0,0.0,1.0,8.0,12.5,7.0,88.0,22.0,25.0,4.0,39.0,45.0,3.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,54.0,38.0,19.0,29.0,6.0,14.0,40.0,35.0,26.0,292.0,101.0,34.6,68.0,167.0,57.0,21.0,4.0,0.0,17.0,23.0,77.0,19.0,1.0
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,59.0,36.0,34.0,20.0,5.0,23.0,61.0,37.7,38.0,444.0,130.0,29.3,184.0,232.0,28.0,57.0,20.0,0.0,37.0,16.0,75.0,68.0,0.0
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,44.0,24.0,24.0,17.0,3.0,14.0,36.0,38.9,22.0,258.0,83.0,32.2,169.0,79.0,10.0,69.0,34.0,1.0,35.0,11.0,55.0,229.0,3.0
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,44.0,28.0,24.0,17.0,3.0,20.0,50.0,40.0,30.0,374.0,105.0,28.1,170.0,160.0,44.0,55.0,13.0,1.0,42.0,26.0,70.0,98.0,1.0
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,28.6,1.0,8.0,12.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,2.0,1.0,1.0,1.0,0.0,1.0,5.0,20.0,4.0,38.0,6.0,15.8,10.0,21.0,7.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0
Carles Aleñá,es ESP,"MF,FW",Betis,es La Liga,21,1998,8.2,20.0,11.0,4.0,10.0,6.0,7.0,20.0,35.0,13.0,137.0,26.0,19.0,34.0,69.0,34.0,9.0,2.0,0.0,7.0,1.0,21.0,4.0,0.0
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,24,1995,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,20,1998,35.3,58.0,25.0,38.0,14.0,6.0,34.0,85.0,40.0,51.0,409.0,131.0,32.0,193.0,123.0,93.0,53.0,9.0,0.0,44.0,34.0,92.0,98.0,2.0
Enrico Alfonso,it ITA,GK,Brescia,it Serie A,31,1988,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rachid Alioui,ma MAR,FW,Angers,fr Ligue 1,27,1992,17.4,13.0,11.0,2.0,8.0,3.0,4.0,13.0,30.8,9.0,373.0,84.0,22.5,10.0,213.0,150.0,4.0,0.0,0.0,4.0,4.0,17.0,10.0,0.0
Alisson,br BRA,GK,Liverpool,eng Premier League,26,1992,28.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,1.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
Allan,br BRA,MF,Napoli,it Serie A,28,1991,14.2,55.0,36.0,21.0,25.0,9.0,17.0,50.0,34.0,33.0,411.0,105.0,25.5,121.0,218.0,72.0,26.0,3.0,0.0,23.0,5.0,60.0,16.0,0.0
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,23,1996,20.5,41.0,29.0,10.0,24.0,7.0,8.0,32.0,25.0,24.0,479.0,135.0,28.2,108.0,234.0,137.0,53.0,7.0,0.0,46.0,7.0,48.0,17.0,0.0
Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,eng Premier League,25,1994,33.6,62.0,36.0,34.0,17.0,11.0,13.0,46.0,28.3,33.0,732.0,175.0,23.9,238.0,277.0,217.0,44.0,1.0,0.0,43.0,20.0,82.0,16.0,0.0
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,28,1990,15.9,27.0,19.0,17.0,6.0,4.0,5.0,28.0,17.9,23.0,215.0,88.0,40.9,89.0,84.0,42.0,30.0,1.0,0.0,29.0,14.0,41.0,48.0,0.0
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,30,1989,15.3,43.0,19.0,30.0,10.0,3.0,16.0,34.0,47.1,18.0,221.0,59.0,26.7,122.0,81.0,18.0,38.0,5.0,0.0,33.0,13.0,56.0,82.0,0.0
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,32,1986,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,27,1992,12.7,37.0,20.0,14.0,22.0,1.0,9.0,34.0,26.5,25.0,265.0,80.0,30.2,84.0,150.0,31.0,25.0,3.0,0.0,22.0,9.0,46.0,58.0,0.0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,24,1995,31.2,39.0,25.0,27.0,11.0,1.0,13.0,31.0,41.9,18.0,222.0,79.0,35.6,145.0,64.0,13.0,58.0,23.0,2.0,35.0,34.0,73.0,264.0,2.0
Bruno Alves,pt POR,DF,Parma,it Serie A,37,1981,29.7,23.0,11.0,17.0,6.0,0.0,9.0,14.0,64.3,5.0,172.0,49.0,28.5,133.0,32.0,7.0,40.0,26.0,1.0,14.0,15.0,38.0,189.0,3.0
Steven Alzate,co COL,"MF,DF",Brighton,eng Premier League,20,1998,13.2,28.0,23.0,23.0,3.0,2.0,10.0,22.0,45.5,12.0,235.0,77.0,32.8,99.0,94.0,42.0,26.0,3.0,0.0,23.0,10.0,38.0,14.0,0.0
Ibrahim Amadou,fr FRA,"DF,MF",Norwich City,eng Premier League,26,1993,8.4,21.0,7.0,12.0,8.0,1.0,3.0,11.0,27.3,8.0,107.0,26.0,24.3,64.0,40.0,3.0,8.0,6.0,0.0,2.0,11.0,32.0,58.0,1.0
Ibrahim Amadou,fr FRA,MF,Leganés,es La Liga,26,1993,8.6,16.0,9.0,7.0,9.0,0.0,3.0,10.0,30.0,7.0,161.0,42.0,26.1,53.0,90.0,18.0,7.0,0.0,0.0,7.0,5.0,21.0,8.0,0.0
Romain Amalfitano,fr FRA,MF,Dijon,fr Ligue 1,29,1989,18.8,43.0,22.0,20.0,20.0,3.0,14.0,57.0,24.6,43.0,438.0,123.0,28.1,155.0,242.0,41.0,25.0,8.0,0.0,17.0,17.0,60.0,22.0,1.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amath,sn SEN,MF,Getafe,es La Liga,23,1996,0.7,2.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,36.0,10.0,27.8,8.0,16.0,12.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,25,1994,24.0,62.0,28.0,40.0,17.0,5.0,31.0,68.0,45.6,37.0,287.0,88.0,30.7,142.0,98.0,47.0,53.0,5.0,0.0,48.0,30.0,92.0,131.0,1.0
Thierry Ambrose,fr FRA,FW,Metz,fr Ligue 1,22,1997,6.1,7.0,5.0,1.0,4.0,2.0,1.0,8.0,12.5,7.0,122.0,37.0,30.3,25.0,53.0,44.0,5.0,0.0,0.0,5.0,4.0,11.0,3.0,0.0
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,21,1998,18.1,27.0,15.0,22.0,4.0,1.0,9.0,23.0,39.1,14.0,218.0,51.0,23.4,128.0,56.0,34.0,25.0,9.0,0.0,16.0,12.0,39.0,61.0,2.0
Nadiem Amiri,de GER,"MF,FW",Leverkusen,de Bundesliga,22,1996,20.6,18.0,13.0,7.0,8.0,3.0,4.0,26.0,15.4,22.0,287.0,99.0,34.5,49.0,154.0,84.0,28.0,2.0,0.0,26.0,14.0,32.0,9.0,1.0
Ethan Ampadu,wal WAL,DF,RB Leipzig,de Bundesliga,18,2000,0.9,5.0,3.0,4.0,1.0,0.0,1.0,2.0,50.0,1.0,15.0,8.0,53.3,9.0,6.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0,7.0,0.0
Opoku Ampomah,gh GHA,FW,Düsseldorf,de Bundesliga,23,1996,5.6,10.0,6.0,4.0,4.0,2.0,3.0,12.0,25.0,9.0,90.0,21.0,23.3,21.0,42.0,27.0,4.0,0.0,0.0,4.0,3.0,13.0,5.0,0.0
Sofyan Amrabat,ma MAR,MF,Hellas Verona,it Serie A,22,1996,32.4,63.0,42.0,28.0,25.0,10.0,20.0,65.0,30.8,45.0,594.0,171.0,28.8,164.0,315.0,115.0,43.0,13.0,0.0,30.0,27.0,90.0,31.0,2.0
Joachim Andersen,dk DEN,DF,Lyon,fr Ligue 1,23,1996,17.0,18.0,10.0,16.0,2.0,0.0,6.0,19.0,31.6,13.0,107.0,34.0,31.8,79.0,24.0,4.0,22.0,14.0,0.0,8.0,8.0,26.0,95.0,2.0
Djavan Anderson,nl NED,"DF,MF",Lazio,it Serie A,24,1995,1.9,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,20.8,10.0,9.0,5.0,5.0,0.0,0.0,5.0,1.0,2.0,2.0,0.0
Felipe Anderson,br BRA,"MF,FW",West Ham,eng Premier League,26,1993,16.6,45.0,30.0,20.0,18.0,7.0,11.0,48.0,22.9,37.0,370.0,104.0,28.1,92.0,189.0,89.0,21.0,1.0,0.0,20.0,14.0,59.0,14.0,0.0
Sebastian Andersson,se SWE,FW,Union Berlin,de Bundesliga,28,1991,29.8,18.0,11.0,1.0,9.0,8.0,8.0,25.0,32.0,17.0,579.0,143.0,24.7,25.0,294.0,260.0,31.0,5.0,0.0,26.0,6.0,24.0,40.0,0.0
Florin Andone,ro ROU,"MF,FW",Brighton,eng Premier League,26,1993,0.8,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,14.3,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0
Benjamin André,fr FRA,MF,Lille,fr Ligue 1,28,1990,22.8,83.0,63.0,34.0,44.0,5.0,37.0,100.0,37.0,63.0,593.0,190.0,32.0,191.0,313.0,89.0,45.0,12.0,0.0,33.0,45.0,128.0,47.0,0.0
Lorenzo Andrenacci,it ITA,GK,Brescia,it Serie A,24,1995,5.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,50.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Andrich,de GER,MF,Union Berlin,de Bundesliga,24,1994,28.6,78.0,46.0,38.0,32.0,8.0,27.0,69.0,39.1,42.0,639.0,158.0,24.7,193.0,372.0,74.0,39.0,7.0,0.0,32.0,37.0,115.0,65.0,0.0
Victorien Angban,ci CIV,MF,Metz,fr Ligue 1,22,1996,11.4,25.0,16.0,14.0,10.0,1.0,14.0,30.0,46.7,16.0,243.0,62.0,25.5,68.0,148.0,27.0,15.0,2.0,0.0,13.0,9.0,34.0,8.0,0.0
Miguel Ángel Guerrero,es ESP,FW,Leganés,es La Liga,29,1990,8.8,1.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,6.0,129.0,28.0,21.7,2.0,77.0,50.0,5.0,0.0,0.0,5.0,1.0,2.0,5.0,0.0
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,35,1984,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
José Ángel,es ESP,DF,Eibar,es La Liga,29,1989,26.2,62.0,31.0,30.0,29.0,3.0,25.0,43.0,58.1,18.0,251.0,83.0,33.1,107.0,108.0,36.0,40.0,6.0,0.0,34.0,27.0,89.0,102.0,0.0
Angeliño,es ESP,DF,RB Leipzig,de Bundesliga,22,1997,12.2,14.0,8.0,7.0,4.0,3.0,7.0,20.0,35.0,13.0,127.0,50.0,39.4,36.0,58.0,33.0,35.0,1.0,0.0,34.0,10.0,24.0,24.0,0.0
Angeliño,es ESP,DF,Manchester City,eng Premier League,22,1997,4.7,8.0,5.0,4.0,3.0,1.0,5.0,6.0,83.3,1.0,47.0,18.0,38.3,14.0,25.0,8.0,4.0,0.0,0.0,4.0,5.0,13.0,18.0,0.0
Faustino Anjorin,eng ENG,FW,Chelsea,eng Premier League,17,2001,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
Peter Ankersen,dk DEN,DF,Genoa,it Serie A,28,1990,11.8,10.0,5.0,5.0,4.0,1.0,2.0,15.0,13.3,13.0,151.0,34.0,22.5,64.0,45.0,42.0,29.0,5.0,0.0,24.0,9.0,19.0,22.0,2.0
