Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen touches,Def 3rd touches,Mid 3rd touches,Att 3rd touches,Touches in Box,Live ball touches,Successful Dribbles,Attempted Dribbles,Successful Dribble %,Players dribbled past,Megs,Carries,Total Distance carries,ProgDist carries,Pass Targets,Passes Received,Passes Received %,Miscon,Passes Dispossed
Luis Advíncula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,1470.0,82.0,453.0,704.0,415.0,31.0,1257.0,41.0,66.0,62.1,45.0,1.0,987.0,5543.0,3145.0,1007.0,867.0,86.1,32.0,32.0
Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,1208.0,88.0,392.0,634.0,253.0,8.0,997.0,28.0,39.0,71.8,29.0,1.0,642.0,3695.0,2395.0,635.0,570.0,89.8,18.0,14.0
Nayef Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,735.0,74.0,346.0,396.0,39.0,10.0,698.0,5.0,6.0,83.3,5.0,0.0,469.0,2433.0,1285.0,470.0,453.0,96.4,2.0,4.0
Sergio Agüero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,1142.0,5.0,28.0,426.0,779.0,241.0,1090.0,29.0,55.0,52.7,32.0,5.0,903.0,5906.0,3194.0,1389.0,892.0,64.2,66.0,65.0
Ruben Aguilar,fr FRA,"DF,MF",Montpellier,fr Ligue 1,25,1993,28.1,1973.0,68.0,449.0,989.0,670.0,36.0,1695.0,58.0,79.0,73.4,59.0,2.0,1309.0,7342.0,4529.0,1366.0,1194.0,87.4,38.0,38.0
Juan Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,212.0,4.0,28.0,154.0,42.0,4.0,208.0,1.0,2.0,50.0,2.0,0.0,156.0,762.0,415.0,167.0,150.0,89.8,2.0,2.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emmanuel Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,56.0,4.0,13.0,30.0,14.0,3.0,56.0,0.0,4.0,0.0,0.0,0.0,25.0,98.0,37.0,45.0,34.0,75.6,3.0,1.0
Jean-Eudes Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,659.0,10.0,120.0,457.0,142.0,21.0,650.0,7.0,13.0,53.8,7.0,0.0,481.0,2935.0,1732.0,492.0,454.0,92.3,16.0,13.0
Antonis Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,43.0,1.0,5.0,16.0,23.0,1.0,35.0,0.0,1.0,0.0,0.0,0.0,22.0,110.0,57.0,20.0,17.0,85.0,0.0,0.0
Ola Aina,ng NGA,"DF,MF",Torino,it Serie A,21,1996,24.0,1483.0,66.0,407.0,692.0,477.0,44.0,1244.0,37.0,68.0,54.4,39.0,1.0,847.0,5968.0,3697.0,880.0,766.0,87.0,26.0,30.0
Youssef Aït Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,751.0,12.0,167.0,535.0,94.0,1.0,739.0,14.0,16.0,87.5,14.0,0.0,583.0,2472.0,1185.0,598.0,566.0,94.6,7.0,10.0
Youssef Aït Bennasser,ma MAR,MF,Monaco,fr Ligue 1,22,1996,11.9,831.0,36.0,255.0,569.0,74.0,1.0,809.0,22.0,27.0,81.5,23.0,0.0,637.0,3429.0,1995.0,587.0,565.0,96.3,3.0,6.0
Rayan Aït Nouri,fr FRA,DF,Angers,fr Ligue 1,17,2001,0.6,39.0,2.0,6.0,22.0,13.0,2.0,37.0,0.0,1.0,0.0,0.0,0.0,27.0,130.0,101.0,29.0,27.0,93.1,0.0,0.0
Ludovic Ajorque,re REU,FW,Strasbourg,fr Ligue 1,24,1994,17.0,651.0,11.0,38.0,367.0,277.0,82.0,623.0,14.0,24.0,58.3,15.0,0.0,393.0,1721.0,766.0,838.0,506.0,60.4,50.0,20.0
Manuel Akanji,ch SUI,DF,Dortmund,de Bundesliga,23,1995,24.5,2035.0,161.0,837.0,1286.0,84.0,19.0,1995.0,8.0,11.0,72.7,8.0,0.0,1558.0,10146.0,5574.0,1591.0,1579.0,99.2,8.0,7.0
Carlos Akapo,gq EQG,DF,Huesca,es La Liga,25,1993,11.4,574.0,43.0,193.0,290.0,139.0,15.0,485.0,13.0,18.0,72.2,13.0,0.0,319.0,2425.0,1505.0,298.0,268.0,89.9,9.0,8.0
Nathan Aké,nl NED,DF,Bournemouth,eng Premier League,23,1995,37.9,2147.0,358.0,1344.0,779.0,142.0,44.0,2070.0,3.0,6.0,50.0,3.0,0.0,1262.0,6673.0,3410.0,1342.0,1283.0,95.6,16.0,5.0
Sergio Akieme,es ESP,DF,Rayo Vallecano,es La Liga,20,1997,2.0,112.0,6.0,35.0,60.0,26.0,0.0,102.0,3.0,4.0,75.0,3.0,0.0,79.0,573.0,351.0,78.0,69.0,88.5,2.0,2.0
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,de Bundesliga,23,1995,5.8,249.0,0.0,26.0,130.0,109.0,20.0,248.0,8.0,13.0,61.5,10.0,0.0,191.0,920.0,498.0,251.0,171.0,68.1,15.0,14.0
Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,23,1995,5.5,343.0,41.0,142.0,195.0,14.0,0.0,329.0,1.0,1.0,100.0,1.0,0.0,199.0,1063.0,534.0,199.0,195.0,98.0,0.0,5.0
Kevin Akpoguma,ng NGA,DF,Hannover 96,de Bundesliga,23,1995,3.5,210.0,17.0,94.0,130.0,9.0,0.0,203.0,2.0,2.0,100.0,2.0,0.0,142.0,960.0,560.0,136.0,133.0,97.8,0.0,4.0
David Alaba,at AUT,DF,Bayern Munich,de Bundesliga,26,1992,28.1,2381.0,50.0,484.0,1232.0,811.0,74.0,2079.0,26.0,35.0,74.3,26.0,1.0,1722.0,8241.0,4132.0,1797.0,1667.0,92.8,28.0,18.0
Sofiane Alakouch,fr FRA,DF,Nîmes,fr Ligue 1,20,1998,21.1,1379.0,65.0,428.0,624.0,412.0,20.0,1141.0,26.0,38.0,68.4,28.0,0.0,753.0,3918.0,2575.0,777.0,715.0,92.0,20.0,19.0
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,572.0,13.0,67.0,257.0,272.0,87.0,555.0,4.0,16.0,25.0,7.0,1.0,379.0,1646.0,675.0,700.0,451.0,64.4,39.0,28.0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2990.0,97.0,712.0,1348.0,1057.0,104.0,2675.0,20.0,29.0,69.0,20.0,1.0,2102.0,8068.0,4685.0,2307.0,2108.0,91.4,28.0,18.0
Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,1992,22.1,1757.0,12.0,170.0,851.0,901.0,67.0,1527.0,24.0,54.0,44.4,32.0,3.0,1287.0,8185.0,5309.0,1459.0,1235.0,84.6,35.0,46.0
Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1287.0,157.0,594.0,725.0,31.0,7.0,1255.0,1.0,2.0,50.0,1.0,0.0,885.0,4255.0,2292.0,899.0,885.0,98.4,4.0,2.0
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,1990,18.4,1165.0,56.0,357.0,570.0,317.0,15.0,964.0,9.0,22.0,40.9,10.0,1.0,700.0,3597.0,1954.0,720.0,647.0,89.9,20.0,19.0
Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,1989,18.1,991.0,42.0,198.0,429.0,428.0,27.0,963.0,22.0,45.0,48.9,24.0,3.0,765.0,4444.0,1955.0,835.0,676.0,81.0,27.0,36.0
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,403.0,6.0,17.0,162.0,233.0,78.0,370.0,7.0,11.0,63.6,9.0,0.0,252.0,869.0,407.0,479.0,295.0,61.6,31.0,13.0
Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,1125.0,191.0,702.0,443.0,39.0,20.0,1080.0,4.0,6.0,66.7,5.0,0.0,618.0,3321.0,1746.0,636.0,612.0,96.2,6.0,4.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2823.0,55.0,555.0,1896.0,567.0,32.0,2690.0,52.0,61.0,85.2,54.0,0.0,2197.0,10616.0,5476.0,2171.0,2100.0,96.7,13.0,24.0
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,2164.0,91.0,579.0,1399.0,334.0,21.0,2069.0,24.0,41.0,58.5,27.0,1.0,1520.0,8129.0,3821.0,1408.0,1330.0,94.5,30.0,33.0
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,2632.0,297.0,1387.0,1309.0,115.0,20.0,2554.0,2.0,4.0,50.0,2.0,0.0,1830.0,9346.0,4915.0,1925.0,1899.0,98.6,3.0,3.0
Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1992,1.6,62.0,0.0,7.0,31.0,31.0,8.0,59.0,5.0,11.0,45.5,6.0,0.0,46.0,251.0,92.0,80.0,45.0,56.3,6.0,2.0
Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,3.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,5.0,3.0,60.0,1.0,1.0
Iván Alejo,es ESP,"MF,FW",Getafe,es La Liga,23,1995,1.6,68.0,1.0,10.0,37.0,31.0,1.0,65.0,7.0,9.0,77.8,7.0,0.0,55.0,615.0,322.0,64.0,48.0,75.0,6.0,8.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,665.0,3.0,64.0,423.0,233.0,13.0,654.0,11.0,17.0,64.7,11.0,0.0,571.0,3011.0,1584.0,626.0,580.0,92.7,13.0,9.0
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,897.0,727.0,894.0,4.0,0.0,0.0,624.0,3.0,3.0,100.0,3.0,0.0,458.0,1692.0,905.0,374.0,374.0,100.0,2.0,0.0
Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,9.0,0.0,3.0,3.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,3.0,4.0,4.0,100.0,0.0,0.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,2492.0,84.0,585.0,1171.0,862.0,44.0,2056.0,20.0,39.0,51.3,23.0,3.0,1608.0,6356.0,3731.0,1647.0,1543.0,93.7,28.0,16.0
Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,525.0,7.0,30.0,225.0,301.0,57.0,502.0,11.0,17.0,64.7,12.0,0.0,332.0,1734.0,850.0,607.0,374.0,61.6,24.0,9.0
Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,1341.0,1133.0,1335.0,8.0,0.0,0.0,1049.0,1.0,1.0,100.0,1.0,0.0,777.0,2859.0,1587.0,671.0,671.0,100.0,2.0,1.0
Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,514.0,439.0,513.0,1.0,0.0,0.0,345.0,0.0,0.0,0.0,0.0,0.0,230.0,1172.0,748.0,146.0,146.0,100.0,0.0,0.0
Allan,br BRA,"MF,DF",Eint Frankfurt,de Bundesliga,21,1997,2.0,85.0,1.0,15.0,50.0,32.0,1.0,83.0,1.0,2.0,50.0,1.0,0.0,49.0,287.0,116.0,49.0,45.0,91.8,0.0,1.0
Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,2583.0,80.0,551.0,1680.0,519.0,34.0,2489.0,56.0,78.0,71.8,58.0,2.0,2066.0,10334.0,5832.0,1998.0,1886.0,94.4,30.0,38.0
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,22,1996,20.3,1313.0,31.0,168.0,667.0,567.0,104.0,1282.0,28.0,57.0,49.1,33.0,6.0,1001.0,5342.0,2817.0,1214.0,965.0,79.5,41.0,33.0
Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,eng Premier League,24,1994,8.4,384.0,9.0,60.0,168.0,199.0,30.0,380.0,7.0,16.0,43.8,10.0,4.0,294.0,2515.0,1610.0,391.0,242.0,61.9,21.0,14.0
Júnior Alonso,py PAR,"DF,MF",Celta Vigo,es La Liga,25,1993,6.0,375.0,22.0,108.0,215.0,63.0,8.0,344.0,2.0,6.0,33.3,2.0,0.0,226.0,784.0,412.0,251.0,230.0,91.6,4.0,2.0
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,2614.0,119.0,720.0,1157.0,903.0,88.0,2336.0,22.0,36.0,61.1,25.0,0.0,1798.0,9200.0,5471.0,1866.0,1706.0,91.4,28.0,42.0
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,379.0,25.0,109.0,170.0,120.0,8.0,319.0,3.0,3.0,100.0,3.0,0.0,212.0,1326.0,851.0,207.0,193.0,93.2,6.0,5.0
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,480.0,435.0,480.0,0.0,0.0,0.0,333.0,0.0,0.0,0.0,0.0,0.0,246.0,1135.0,713.0,193.0,193.0,100.0,0.0,0.0
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,26,1992,11.9,621.0,48.0,184.0,410.0,54.0,8.0,613.0,3.0,3.0,100.0,3.0,0.0,370.0,1769.0,660.0,353.0,337.0,95.5,2.0,8.0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,1623.0,177.0,803.0,883.0,56.0,19.0,1566.0,4.0,6.0,66.7,5.0,0.0,930.0,5708.0,3319.0,925.0,910.0,98.4,7.0,12.0
Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,1549.0,323.0,960.0,609.0,76.0,30.0,1471.0,5.0,5.0,100.0,5.0,0.0,793.0,5046.0,2672.0,824.0,806.0,97.8,4.0,3.0
Dani Alves,br BRA,"MF,DF",Paris S-G,fr Ligue 1,35,1983,18.0,1775.0,28.0,272.0,1078.0,547.0,41.0,1693.0,24.0,36.0,66.7,25.0,0.0,1383.0,5602.0,3192.0,1513.0,1407.0,93.0,13.0,28.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,6.0,2.0,2.0,3.0,2.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,4.0,2.0,2.0,100.0,0.0,0.0
Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,es La Liga,25,1993,8.5,450.0,31.0,157.0,265.0,54.0,6.0,444.0,7.0,10.0,70.0,8.0,0.0,283.0,1308.0,626.0,306.0,279.0,91.2,4.0,3.0
Romain Amalfitano,fr FRA,"MF,FW",Dijon,fr Ligue 1,28,1989,28.0,1395.0,55.0,307.0,914.0,260.0,17.0,1378.0,28.0,49.0,57.1,33.0,1.0,1009.0,6168.0,3030.0,1029.0,911.0,88.5,39.0,38.0
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,497.0,42.0,188.0,275.0,62.0,3.0,444.0,1.0,3.0,33.3,2.0,0.0,306.0,1156.0,577.0,289.0,274.0,94.8,2.0,4.0
Jordi Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,1598.0,166.0,811.0,850.0,53.0,14.0,1527.0,21.0,24.0,87.5,21.0,0.0,979.0,6286.0,3626.0,959.0,927.0,96.7,9.0,9.0
Amath,sn SEN,"MF,FW",Getafe,es La Liga,22,1996,11.1,390.0,11.0,57.0,177.0,189.0,49.0,388.0,22.0,41.0,53.7,24.0,2.0,289.0,2305.0,1466.0,393.0,237.0,60.3,32.0,27.0
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,1640.0,84.0,489.0,830.0,437.0,26.0,1405.0,27.0,45.0,60.0,28.0,3.0,933.0,5976.0,3659.0,914.0,841.0,92.0,28.0,35.0
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,1527.0,122.0,554.0,782.0,307.0,17.0,1297.0,26.0,40.0,65.0,29.0,1.0,835.0,5276.0,3215.0,822.0,734.0,89.3,16.0,19.0
Nadiem Amiri,de GER,"MF,FW",Hoffenheim,de Bundesliga,21,1996,8.4,488.0,8.0,70.0,284.0,181.0,30.0,477.0,18.0,26.0,69.2,19.0,2.0,383.0,2507.0,1423.0,399.0,352.0,88.2,6.0,14.0
Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,4.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0
Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,2307.0,345.0,1135.0,1281.0,69.0,18.0,2222.0,14.0,15.0,93.3,14.0,0.0,1529.0,8727.0,5431.0,1598.0,1576.0,98.6,3.0,8.0
Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,25,1993,33.8,2299.0,33.0,332.0,1185.0,1039.0,127.0,2177.0,84.0,153.0,54.9,89.0,13.0,1822.0,14372.0,9118.0,1922.0,1650.0,85.8,71.0,71.0
Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,343.0,14.0,52.0,146.0,175.0,47.0,336.0,13.0,32.0,40.6,16.0,3.0,221.0,1691.0,971.0,544.0,241.0,44.3,42.0,32.0
Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,1855.0,65.0,370.0,1156.0,444.0,51.0,1823.0,27.0,42.0,64.3,31.0,0.0,1240.0,6403.0,3107.0,1377.0,1205.0,87.5,35.0,39.0
Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,82.0,13.0,45.0,40.0,1.0,1.0,82.0,0.0,0.0,0.0,0.0,0.0,52.0,184.0,98.0,62.0,60.0,96.8,0.0,0.0
Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,315.0,45.0,192.0,127.0,6.0,4.0,308.0,1.0,1.0,100.0,1.0,0.0,164.0,701.0,263.0,193.0,186.0,96.4,2.0,1.0
Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,3.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,100.0,0.0,1.0
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,393.0,336.0,389.0,5.0,0.0,0.0,291.0,1.0,1.0,100.0,1.0,0.0,212.0,839.0,521.0,188.0,187.0,99.5,1.0,0.0
José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,2498.0,99.0,600.0,1307.0,780.0,21.0,1984.0,53.0,68.0,77.9,54.0,1.0,1416.0,8793.0,4512.0,1289.0,1235.0,95.8,20.0,17.0
Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,31,1986,20.1,1141.0,44.0,259.0,506.0,510.0,45.0,951.0,59.0,95.0,62.1,61.0,2.0,785.0,6957.0,4177.0,778.0,665.0,85.5,25.0,34.0
Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,821.0,6.0,58.0,392.0,432.0,104.0,779.0,29.0,51.0,56.9,29.0,0.0,641.0,3955.0,1592.0,968.0,622.0,64.3,66.0,47.0
Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,2105.0,264.0,1209.0,987.0,92.0,31.0,2032.0,21.0,27.0,77.8,22.0,0.0,1337.0,9330.0,5060.0,1265.0,1241.0,98.1,13.0,19.0
Luca Antonelli,it ITA,"DF,MF",Empoli,it Serie A,31,1987,8.4,494.0,39.0,162.0,240.0,131.0,23.0,445.0,5.0,8.0,62.5,5.0,0.0,296.0,1814.0,1261.0,307.0,285.0,92.8,12.0,4.0
Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,49.0,3.0,16.0,32.0,7.0,0.0,47.0,0.0,2.0,0.0,0.0,0.0,35.0,205.0,120.0,29.0,28.0,96.6,0.0,3.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michail Antonio,eng ENG,"FW,MF",West Ham,eng Premier League,28,1990,23.4,1225.0,39.0,175.0,564.0,594.0,116.0,1168.0,57.0,92.0,62.0,63.0,1.0,853.0,7047.0,4366.0,1284.0,849.0,66.1,84.0,89.0
Antoñito,es ESP,"DF,MF",Valladolid,es La Liga,30,1987,20.7,1101.0,47.0,280.0,517.0,395.0,20.0,945.0,29.0,42.0,69.0,30.0,2.0,714.0,4378.0,2665.0,785.0,672.0,85.6,28.0,27.0
Vitorino Antunes,pt POR,DF,Getafe,es La Liga,31,1987,24.2,1439.0,76.0,385.0,670.0,463.0,21.0,1088.0,23.0,35.0,65.7,23.0,2.0,726.0,4186.0,2209.0,729.0,629.0,86.3,20.0,18.0
Anuar,ma MAR,MF,Valladolid,es La Liga,23,1995,12.0,535.0,35.0,168.0,324.0,83.0,15.0,525.0,3.0,5.0,60.0,4.0,0.0,311.0,2186.0,1216.0,399.0,294.0,73.7,10.0,12.0
Dennis Aogo,de GER,MF,Stuttgart,de Bundesliga,31,1987,11.4,645.0,22.0,152.0,406.0,123.0,9.0,587.0,4.0,6.0,66.7,4.0,1.0,416.0,1787.0,788.0,428.0,406.0,94.9,4.0,6.0
Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,20,1998,34.0,2472.0,37.0,354.0,1629.0,682.0,122.0,2447.0,67.0,103.0,65.0,72.0,1.0,2048.0,11707.0,6001.0,2207.0,1977.0,89.6,62.0,50.0
