Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals,Shots,Shots on Target,Shots on Target %,Shots Total p90,Shots on Target p90,Goals per shot,Goals per shot on target,Shots from Free Kicks,Penalty Kicks scored,Penalty Kicks attempted,xG,Non-penalty xG,npxG/Sh,G-xG,np:G-xG
Fodé Ballo-Touré,fr FRA,DF,Monaco,fr Ligue 1,21,1997,17.7,0.0,4.0,1.0,25.0,0.23,0.06,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.08,-0.3,-0.3
Florent Balmont,fr FRA,MF,Dijon,fr Ligue 1,38,1980,12.0,0.0,5.0,0.0,0.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.02,-0.1,-0.1
Leon Balogun,ng NGA,DF,Brighton,eng Premier League,30,1988,6.6,1.0,3.0,1.0,33.3,0.45,0.15,0.33,1.0,0.0,0.0,0.0,0.2,0.2,0.07,0.8,0.8
Mario Balotelli,it ITA,FW,Nice,fr Ligue 1,27,1990,8.4,0.0,35.0,8.0,22.9,4.19,0.96,0.0,0.0,5.0,0.0,0.0,2.4,2.4,0.07,-2.4,-2.4
Mario Balotelli,it ITA,FW,Marseille,fr Ligue 1,27,1990,10.4,8.0,43.0,16.0,37.2,4.15,1.54,0.19,0.5,3.0,0.0,0.0,5.6,5.6,0.13,2.4,2.4
Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,28,1990,28.6,0.0,7.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.02,-0.2,-0.2
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jonathan Bamba,fr FRA,"FW,MF",Lille,fr Ligue 1,22,1996,33.4,13.0,66.0,27.0,40.9,1.98,0.81,0.18,0.44,1.0,1.0,1.0,8.2,7.4,0.11,4.8,4.6
Sol Bamba,ci CIV,DF,Cardiff City,eng Premier League,33,1985,27.5,4.0,21.0,8.0,38.1,0.76,0.29,0.19,0.5,0.0,0.0,0.0,2.6,2.6,0.13,1.4,1.4
Yacine Bammou,ma MAR,"FW,MF",Caen,fr Ligue 1,26,1991,10.3,2.0,15.0,4.0,26.7,1.46,0.39,0.07,0.25,0.0,1.0,1.0,1.2,0.5,0.03,0.8,0.5
Éver Banega,ar ARG,MF,Sevilla,es La Liga,30,1988,29.6,3.0,32.0,8.0,25.0,1.08,0.27,0.03,0.13,7.0,2.0,2.0,3.2,1.7,0.05,-0.2,-0.7
Mattia Bani,it ITA,DF,Chievo,it Serie A,24,1993,29.0,0.0,14.0,3.0,21.4,0.48,0.1,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.08,-1.1,-1.1
Léo Baptistão,br BRA,"FW,MF",Espanyol,es La Liga,25,1992,13.7,2.0,40.0,15.0,37.5,2.92,1.09,0.03,0.07,0.0,1.0,1.0,4.7,4.0,0.1,-2.7,-3.0
Antonín Barák,cz CZE,"MF,FW",Udinese,it Serie A,23,1994,3.7,0.0,4.0,0.0,0.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.07,-0.3,-0.3
Federico Barba,it ITA,DF,Chievo,it Serie A,24,1993,27.6,0.0,9.0,3.0,33.3,0.33,0.11,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.08,-0.7,-0.7
Danilo Barbosa,br BRA,MF,Nice,fr Ligue 1,22,1996,17.2,0.0,25.0,8.0,32.0,1.45,0.47,0.0,0.0,5.0,0.0,0.0,2.6,2.6,0.11,-2.6,-2.6
