Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Completed,Passes Attempted,Pass Completion %,TotDist,PrgDist,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,xA,A-xA,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
Marc Albrighton,eng ENG,"MF,DF",Leicester City,eng Premier League,29,1989,9.6,344.0,507.0,67.9,6189.0,2444.0,6.0,31.0,19.4,271.0,330.0,82.1,67.0,146.0,45.9,3.0,2.0,1.0,18.0,31.0,20.0,9.0,65.0
Paco Alcácer,es ESP,FW,Villarreal,es La Liga,25,1993,10.3,181.0,230.0,78.7,2575.0,372.0,6.0,14.0,42.9,156.0,183.0,85.2,19.0,33.0,57.6,1.0,1.6,-0.6,9.0,6.0,6.0,0.0,9.0
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,25,1993,5.9,84.0,112.0,75.0,1133.0,186.0,4.0,8.0,50.0,75.0,92.0,81.5,5.0,12.0,41.7,1.0,1.0,0.0,5.0,2.0,2.0,0.0,7.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,28,1991,19.7,1649.0,1840.0,89.6,34565.0,8766.0,30.0,51.0,58.8,1153.0,1249.0,92.3,466.0,540.0,86.3,0.0,1.0,-1.0,22.0,185.0,18.0,1.0,206.0
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,28,1991,21.4,831.0,1059.0,78.5,19154.0,4979.0,11.0,39.0,28.2,544.0,616.0,88.3,276.0,404.0,68.3,2.0,0.8,1.2,14.0,95.0,4.0,1.0,104.0
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,30,1989,32.9,1567.0,1895.0,82.7,37304.0,9766.0,10.0,26.0,38.5,968.0,1040.0,93.1,589.0,829.0,71.0,2.0,1.1,0.9,11.0,130.0,16.0,1.0,89.0
Haitam Aleesami,no NOR,DF,Amiens,fr Ligue 1,28,1991,21.3,910.0,1170.0,77.8,15008.0,6447.0,14.0,35.0,40.0,764.0,896.0,85.3,132.0,239.0,55.2,1.0,1.3,-0.3,13.0,67.0,12.0,6.0,150.0
Álex Alegría,es ESP,FW,Mallorca,es La Liga,26,1992,1.2,23.0,35.0,65.7,329.0,41.0,2.0,3.0,66.7,18.0,28.0,64.3,3.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,21,1998,1.9,143.0,156.0,91.7,2693.0,591.0,3.0,6.0,50.0,106.0,109.0,97.2,34.0,41.0,82.9,0.0,0.0,0.0,0.0,18.0,1.0,0.0,14.0
