Player,Nation,Pos,Squad,Comp,Age,Born,90s,Passes Completed,Passes Attempted,Pass Completion %,TotDist,PrgDist,Short Passes Completed,Short Passes Attempted,Short Pass Completion %,Medium Passes Completed,Medium Passes Attempted,Medium Pass Completion %,Long Passes Completed,Long Passes Attempted,Long Pass Completion %,Assists,xA,A-xA,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Progressive Passes
Lucas Alario,ar ARG,FW,Leverkusen,de Bundesliga,25,1992,14.1,304.0,391.0,77.7,4025.0,659.0,20.0,33.0,60.6,257.0,323.0,79.6,27.0,35.0,77.1,3.0,1.9,1.1,15.0,8.0,8.0,1.0,21.0
Jordi Alba,es ESP,DF,Barcelona,es La Liga,29,1989,33.2,2305.0,2686.0,85.8,36567.0,13309.0,21.0,74.0,28.4,2028.0,2235.0,90.7,256.0,377.0,67.9,8.0,5.1,2.9,44.0,141.0,60.0,18.0,263.0
Luis Alberto,es ESP,"MF,FW",Lazio,it Serie A,25,1992,22.1,1121.0,1479.0,75.8,20363.0,7417.0,20.0,51.0,39.2,893.0,1019.0,87.6,208.0,409.0,50.9,5.0,6.1,-1.1,80.0,141.0,62.0,8.0,241.0
Raúl Albiol,es ESP,DF,Napoli,it Serie A,32,1985,19.0,1000.0,1126.0,88.8,24705.0,7512.0,4.0,16.0,25.0,556.0,589.0,94.4,440.0,521.0,84.5,0.0,1.0,-1.0,5.0,89.0,4.0,1.0,63.0
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,de Bundesliga,27,1990,18.4,725.0,972.0,74.6,13709.0,5478.0,4.0,29.0,13.8,550.0,644.0,85.4,171.0,299.0,57.2,3.0,1.4,1.6,16.0,55.0,22.0,8.0,116.0
Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,28,1989,18.1,459.0,776.0,59.1,8932.0,3604.0,11.0,62.0,17.7,346.0,455.0,76.0,102.0,259.0,39.4,2.0,3.1,-1.1,30.0,48.0,29.0,12.0,101.0
Paco Alcácer,es ESP,FW,Dortmund,de Bundesliga,24,1993,13.5,210.0,274.0,76.6,2570.0,462.0,9.0,12.0,75.0,187.0,235.0,79.6,14.0,27.0,51.9,0.0,2.5,-2.5,17.0,10.0,8.0,0.0,18.0
Pedro Alcalá,es ESP,DF,Girona,es La Liga,29,1989,20.8,698.0,843.0,82.8,16867.0,5451.0,1.0,9.0,11.1,432.0,471.0,91.7,265.0,363.0,73.0,1.0,0.3,0.7,4.0,37.0,6.0,0.0,44.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiago Alcántara,es ESP,MF,Bayern Munich,de Bundesliga,27,1991,26.8,2327.0,2573.0,90.4,49919.0,12379.0,12.0,30.0,40.0,1610.0,1704.0,94.5,705.0,839.0,84.0,6.0,2.8,3.2,34.0,276.0,26.0,0.0,279.0
Rubén Alcaraz,es ESP,MF,Valladolid,es La Liga,27,1991,33.1,1435.0,1748.0,82.1,30948.0,7169.0,19.0,45.0,42.2,1002.0,1111.0,90.2,414.0,592.0,69.9,2.0,1.3,0.7,20.0,170.0,2.0,0.0,125.0
Toby Alderweireld,be BEL,DF,Tottenham,eng Premier League,29,1989,32.5,2067.0,2342.0,88.3,50426.0,14985.0,2.0,12.0,16.7,1242.0,1326.0,93.7,823.0,1004.0,82.0,0.0,0.6,-0.6,7.0,193.0,23.0,1.0,133.0
Álex Alegría,es ESP,"FW,MF",Rayo Vallecano,es La Liga,25,1992,1.6,24.0,38.0,63.2,367.0,75.0,1.0,4.0,25.0,20.0,28.0,71.4,3.0,6.0,50.0,0.0,0.3,-0.3,3.0,2.0,1.0,0.0,3.0
Alexis Alegue,fr FRA,FW,Nantes,fr Ligue 1,21,1996,0.1,1.0,1.0,100.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iván Alejo,es ESP,"MF,FW",Getafe,es La Liga,23,1995,1.6,16.0,41.0,39.0,329.0,108.0,1.0,2.0,50.0,10.0,23.0,43.5,5.0,16.0,31.3,0.0,0.1,-0.1,1.0,2.0,2.0,1.0,4.0
Carles Aleñá,es ESP,MF,Barcelona,es La Liga,20,1998,7.1,540.0,587.0,92.0,9394.0,1852.0,6.0,14.0,42.9,432.0,456.0,94.7,102.0,117.0,87.2,0.0,0.7,-0.7,9.0,58.0,5.0,0.0,40.0
Rúnar Alex Rúnarsson,is ISL,GK,Dijon,fr Ligue 1,23,1995,25.0,581.0,831.0,69.9,20037.0,13462.0,1.0,3.0,33.3,243.0,252.0,96.4,337.0,576.0,58.5,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
Alexander,ar ARG,DF,Leganés,es La Liga,29,1988,0.1,4.0,7.0,57.1,45.0,34.0,0.0,0.0,0.0,4.0,4.0,100.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,19,1998,27.4,1644.0,2213.0,74.3,34938.0,13658.0,13.0,56.0,23.2,1165.0,1375.0,84.7,466.0,782.0,59.6,12.0,6.1,5.9,48.0,129.0,59.0,25.0,322.0
Rachid Alioui,ma MAR,FW,Nîmes,fr Ligue 1,26,1992,13.9,273.0,383.0,71.3,3904.0,805.0,16.0,30.0,53.3,232.0,297.0,78.1,25.0,56.0,44.6,0.0,1.2,-1.2,19.0,16.0,16.0,3.0,33.0
Alisson,br BRA,GK,Liverpool,eng Premier League,25,1992,38.0,1039.0,1262.0,82.3,30318.0,16760.0,1.0,2.0,50.0,513.0,520.0,98.7,525.0,740.0,70.9,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Bobby Allain,fr FRA,GK,Dijon,fr Ligue 1,26,1991,13.0,288.0,466.0,61.8,11722.0,9063.0,0.0,0.0,0.0,92.0,96.0,95.8,196.0,370.0,53.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
Allan,br BRA,MF,Napoli,it Serie A,27,1991,29.1,1981.0,2235.0,88.6,36605.0,9892.0,17.0,48.0,35.4,1557.0,1699.0,91.6,407.0,488.0,83.4,3.0,3.4,-0.4,36.0,267.0,37.0,1.0,206.0
Allan,br BRA,"MF,DF",Eint Frankfurt,de Bundesliga,21,1997,2.0,43.0,65.0,66.2,934.0,248.0,1.0,2.0,50.0,26.0,42.0,61.9,16.0,21.0,76.2,0.0,0.0,0.0,1.0,5.0,1.0,0.0,6.0
Dele Alli,eng ENG,"MF,FW",Tottenham,eng Premier League,22,1996,20.3,843.0,1050.0,80.3,13914.0,3358.0,22.0,58.0,37.9,702.0,821.0,85.5,119.0,171.0,69.6,3.0,2.4,0.6,28.0,81.0,32.0,2.0,99.0
Miguel Almirón,py PAR,"FW,MF",Newcastle Utd,eng Premier League,24,1994,8.4,188.0,260.0,72.3,3320.0,863.0,4.0,24.0,16.7,146.0,180.0,81.1,38.0,56.0,67.9,0.0,0.8,-0.8,12.0,16.0,14.0,9.0,28.0
Júnior Alonso,py PAR,"DF,MF",Celta Vigo,es La Liga,25,1993,6.0,237.0,319.0,74.3,4324.0,1897.0,3.0,8.0,37.5,192.0,232.0,82.8,42.0,79.0,53.2,0.0,0.2,-0.2,5.0,20.0,4.0,3.0,30.0
Marcos Alonso,es ESP,DF,Chelsea,eng Premier League,27,1990,30.7,1838.0,2226.0,82.6,29324.0,9874.0,27.0,73.0,37.0,1608.0,1805.0,89.1,203.0,348.0,58.3,4.0,3.9,0.1,31.0,114.0,23.0,9.0,175.0
Mickaël Alphonse,GPE,DF,Dijon,fr Ligue 1,29,1989,6.3,197.0,307.0,64.2,3517.0,1385.0,2.0,10.0,20.0,153.0,190.0,80.5,42.0,107.0,39.3,0.0,0.4,-0.4,8.0,18.0,4.0,2.0,39.0
Sergio Álvarez,es ESP,GK,Celta Vigo,es La Liga,31,1986,13.0,293.0,444.0,66.0,10207.0,7465.0,0.0,1.0,0.0,135.0,136.0,99.3,158.0,307.0,51.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
Sergio Álvarez,es ESP,"MF,DF",Eibar,es La Liga,26,1992,11.9,404.0,496.0,81.5,8804.0,1867.0,2.0,9.0,22.2,275.0,313.0,87.9,127.0,174.0,73.0,0.0,0.0,0.0,2.0,35.0,0.0,0.0,26.0
Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,23,1995,29.0,1027.0,1247.0,82.4,22656.0,8314.0,4.0,11.0,36.4,687.0,762.0,90.2,336.0,474.0,70.9,0.0,0.0,0.0,1.0,78.0,5.0,1.0,78.0
Bruno Alves,pt POR,DF,Parma,it Serie A,36,1981,32.5,963.0,1204.0,80.0,24965.0,9484.0,3.0,11.0,27.3,503.0,582.0,86.4,457.0,611.0,74.8,1.0,1.3,-0.3,10.0,63.0,2.0,2.0,72.0
Dani Alves,br BRA,"MF,DF",Paris S-G,fr Ligue 1,35,1983,18.0,1327.0,1589.0,83.5,21324.0,7177.0,30.0,74.0,40.5,1127.0,1240.0,90.9,170.0,275.0,61.8,7.0,7.0,0.0,33.0,143.0,50.0,12.0,187.0
Player,Nation,Pos,Squad,Comp,Age,Born,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alfons Amade,de GER,MF,Hoffenheim,de Bundesliga,18,1999,0.1,1.0,2.0,50.0,13.0,3.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ibrahim Amadou,fr FRA,"MF,DF",Sevilla,es La Liga,25,1993,8.5,313.0,365.0,85.8,5925.0,1258.0,5.0,13.0,38.5,236.0,264.0,89.4,72.0,88.0,81.8,0.0,0.1,-0.1,4.0,17.0,2.0,0.0,25.0
Romain Amalfitano,fr FRA,"MF,FW",Dijon,fr Ligue 1,28,1989,28.0,839.0,1071.0,78.3,17547.0,4607.0,13.0,29.0,44.8,593.0,696.0,85.2,233.0,346.0,67.3,0.0,0.9,-0.9,15.0,107.0,29.0,6.0,114.0
Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,7.1,354.0,433.0,81.8,6665.0,2943.0,2.0,5.0,40.0,279.0,315.0,88.6,73.0,113.0,64.6,0.0,0.2,-0.2,3.0,31.0,0.0,0.0,42.0
Jordi Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,30.7,1081.0,1289.0,83.9,23563.0,8418.0,9.0,26.0,34.6,733.0,819.0,89.5,339.0,444.0,76.4,0.0,0.1,-0.1,4.0,71.0,0.0,0.0,87.0
Amath,sn SEN,"MF,FW",Getafe,es La Liga,22,1996,11.1,151.0,217.0,69.6,2506.0,840.0,0.0,10.0,0.0,130.0,168.0,77.4,21.0,39.0,53.8,2.0,0.7,1.3,9.0,13.0,10.0,4.0,27.0
Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,24.2,967.0,1295.0,74.7,18118.0,5676.0,9.0,48.0,18.8,746.0,906.0,82.3,212.0,341.0,62.2,2.0,1.9,0.1,24.0,58.0,20.0,14.0,145.0
Kelvin Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32.0,938.0,1188.0,79.0,15948.0,6779.0,19.0,49.0,38.8,769.0,885.0,86.9,150.0,254.0,59.1,1.0,0.7,0.3,8.0,75.0,10.0,3.0,137.0
Nadiem Amiri,de GER,"MF,FW",Hoffenheim,de Bundesliga,21,1996,8.4,327.0,382.0,85.6,5679.0,1463.0,5.0,12.0,41.7,266.0,293.0,90.8,56.0,77.0,72.7,1.0,1.7,-0.7,17.0,26.0,10.0,2.0,51.0
Yanis Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Luke Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,0.0,1.0,2.0,50.0,13.0,3.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joachim Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32.0,1816.0,2048.0,88.7,40867.0,12600.0,11.0,21.0,52.4,1225.0,1308.0,93.7,580.0,719.0,80.7,1.0,0.5,0.5,6.0,150.0,6.0,1.0,143.0
Felipe Anderson,br BRA,"FW,MF",West Ham,eng Premier League,25,1993,33.8,1328.0,1819.0,73.0,22850.0,7749.0,52.0,125.0,41.6,1042.0,1271.0,82.0,234.0,423.0,55.3,4.0,6.7,-2.7,60.0,109.0,89.0,13.0,223.0
Florin Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,9.8,122.0,180.0,67.8,1667.0,216.0,10.0,19.0,52.6,104.0,142.0,73.2,8.0,19.0,42.1,0.0,0.1,-0.1,2.0,4.0,2.0,1.0,6.0
Benjamin André,fr FRA,MF,Rennes,fr Ligue 1,27,1990,27.7,1182.0,1479.0,79.9,20444.0,5361.0,25.0,61.0,41.0,951.0,1130.0,84.2,206.0,288.0,71.5,1.0,1.3,-0.3,22.0,111.0,23.0,2.0,136.0
Marco Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,1.2,62.0,69.0,89.9,1502.0,392.0,0.0,0.0,0.0,32.0,33.0,97.0,30.0,36.0,83.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0
Marco Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,7.2,191.0,233.0,82.0,4437.0,1197.0,0.0,2.0,0.0,126.0,139.0,90.6,65.0,92.0,70.7,0.0,0.0,0.0,0.0,9.0,0.0,0.0,8.0
Yoann Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,0.0,1.0,1.0,100.0,10.0,9.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Miguel Ángel Moyá,es ESP,GK,Real Sociedad,es La Liga,34,1984,11.0,292.0,362.0,80.7,9462.0,5487.0,0.0,0.0,0.0,105.0,106.0,99.1,187.0,256.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
José Ángel,es ESP,DF,Eibar,es La Liga,28,1989,33.6,1403.0,2147.0,65.3,32444.0,15589.0,11.0,65.0,16.9,909.0,1086.0,83.7,483.0,996.0,48.5,1.0,3.6,-2.6,53.0,181.0,76.0,30.0,383.0
Cristian Ansaldi,ar ARG,"DF,MF",Torino,it Serie A,31,1986,20.1,579.0,878.0,65.9,12315.0,5296.0,11.0,34.0,32.4,404.0,491.0,82.3,164.0,353.0,46.5,2.0,2.6,-0.6,32.0,49.0,48.0,32.0,165.0
Mirco Antenucci,it ITA,FW,SPAL,it Serie A,33,1984,23.7,425.0,563.0,75.5,6241.0,1069.0,14.0,40.0,35.0,374.0,463.0,80.8,37.0,60.0,61.7,0.0,1.5,-1.5,19.0,26.0,14.0,3.0,33.0
Waldemar Anton,de GER,DF,Hannover 96,de Bundesliga,22,1996,34.0,1434.0,1704.0,84.2,32643.0,9331.0,10.0,35.0,28.6,914.0,1030.0,88.7,510.0,639.0,79.8,0.0,0.2,-0.2,5.0,84.0,1.0,1.0,88.0
Luca Antonelli,it ITA,"DF,MF",Empoli,it Serie A,31,1987,8.4,273.0,379.0,72.0,4724.0,2100.0,1.0,7.0,14.3,230.0,285.0,80.7,42.0,87.0,48.3,1.0,0.2,0.8,4.0,23.0,5.0,1.0,40.0
Mauro Antonio Burruchaga,ar ARG,MF,Chievo,it Serie A,20,1998,0.6,31.0,37.0,83.8,514.0,243.0,0.0,1.0,0.0,28.0,31.0,90.3,3.0,5.0,60.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,8.0
